year,county_name,housing_occupancy_total_housing_units,housing_occupancy_occupied_housing_units,housing_occupancy_vacant_housing_units,housing_occupancy_homeowner_vacancy_rate,housing_occupancy_rental_vacancy_rate,units_in_structure_total_housing_units,units_in_structure_1_unit_detached,units_in_structure_1_unit_attached,units_in_structure_2_units,units_in_structure_3_or_4_units,units_in_structure_5_to_9_units,units_in_structure_10_to_19_units,units_in_structure_20_or_more_units,units_in_structure_mobile_home,units_in_structure_boat_rv_van_etc.,year_structure_built_total_housing_units,year_structure_built_built_2005_or_later,year_structure_built_built_2000_to_2004,year_structure_built_built_1990_to_1999,year_structure_built_built_1980_to_1989,year_structure_built_built_1970_to_1979,year_structure_built_built_1960_to_1969,year_structure_built_built_1950_to_1959,year_structure_built_built_1940_to_1949,year_structure_built_built_1939_or_earlier,rooms_total_housing_units,rooms_1_room,rooms_2_rooms,rooms_3_rooms,rooms_4_rooms,rooms_5_rooms,rooms_6_rooms,rooms_7_rooms,rooms_8_rooms,rooms_9_rooms_or_more,state_fips,county_fips,rooms_median_rooms,bedrooms_total_housing_units,bedrooms_no_bedroom,bedrooms_1_bedroom,bedrooms_2_bedrooms,bedrooms_3_bedrooms,bedrooms_4_bedrooms,bedrooms_5_or_more_bedrooms,housing_tenure_occupied_housing_units,housing_tenure_owner_occupied,housing_tenure_renter_occupied,housing_tenure_average_household_size_of_owner_occ,housing_tenure_average_household_size_of_renter_oc,year_householder_moved_into_unit_occupied_housing_,year_householder_moved_into_unit_moved_in_2005_or_,year_householder_moved_into_unit_moved_in_2000_to_,year_householder_moved_into_unit_moved_in_1990_to_,year_householder_moved_into_unit_moved_in_1980_to_,year_householder_moved_into_unit_moved_in_1970_to_,year_householder_moved_into_unit_moved_in_1969_or_,vehicles_available_occupied_housing_units,vehicles_available_no_vehicles_available,vehicles_available_1_vehicle_available,vehicles_available_2_vehicles_available,vehicles_available_3_or_more_vehicles_available,house_heating_fuel_occupied_housing_units,house_heating_fuel_utility_gas,house_heating_fuel_bottled_tank_or_lp_gas,house_heating_fuel_electricity,house_heating_fuel_fuel_oil_kerosene_etc.,house_heating_fuel_coal_or_coke,house_heating_fuel_wood,house_heating_fuel_solar_energy,house_heating_fuel_other_fuel,house_heating_fuel_no_fuel_used,selected_characteristics_occupied_housing_units,selected_characteristics_lacking_complete_plumbing,selected_characteristics_lacking_complete_kitchen_,selected_characteristics_no_telephone_service_avai,occupants_per_room_occupied_housing_units,occupants_per_room_1.00_or_less,occupants_per_room_1.01_to_1.50,occupants_per_room_1.51_or_more,value_owner_occupied_units,value_less_than_50000,value_50000_to_99999,value_100000_to_149999,value_150000_to_199999,value_200000_to_299999,value_300000_to_499999,value_500000_to_999999,value_1000000_or_more,value_median_dollars,mortgage_status_owner_occupied_units,mortgage_status_housing_units_with_a_mortgage,mortgage_status_housing_units_without_a_mortgage,selected_monthly_owner_costs_smoc_housing_units_wi,selected_monthly_owner_costs_smoc_less_than_300,selected_monthly_owner_costs_smoc_300_to_499,selected_monthly_owner_costs_smoc_500_to_699,selected_monthly_owner_costs_smoc_700_to_999,selected_monthly_owner_costs_smoc_1000_to_1499,selected_monthly_owner_costs_smoc_1500_to_1999,selected_monthly_owner_costs_smoc_2000_or_more,selected_monthly_owner_costs_smoc_median_dollars,selected_monthly_owner_costs_smoc_housing_units_wi,selected_monthly_owner_costs_smoc_less_than_100,selected_monthly_owner_costs_smoc_100_to_199,selected_monthly_owner_costs_smoc_200_to_299,selected_monthly_owner_costs_smoc_300_to_399,selected_monthly_owner_costs_smoc_400_or_more,selected_monthly_owner_costs_smoc_median_dollars,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,gross_rent_occupied_units_paying_rent,gross_rent_less_than_200,gross_rent_200_to_299,gross_rent_300_to_499,gross_rent_500_to_749,gross_rent_750_to_999,gross_rent_1000_to_1499,gross_rent_1500_or_more,gross_rent_median_dollars,gross_rent_no_rent_paid,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra
2011,Warren County; Tennessee,17754,15292,2462,2.1,9.9,17754,13371,111,587,213,546,351,112,2463,0,17754,596,1122,2965,2348,3976,2569,2080,1079,1019,17754,245,127,797,2935,4685,3993,2189,1274,1509,47,177,5.5,17754,284,713,5082,9318,1983,374,15292,11119,4173,2.59,2.43,15292,5156,2827,3228,1563,1163,1355,15292,683,4775,5830,4004,15292,4178,726,9710,168,0,449,8,31,22,15292,164,151,629,15292,15113,112,67,11119,1767,4504,1991,1236,986,437,168,30,90500,11119,5882,5237,5882,26,375,1242,1976,1581,479,203,903,5237,71,811,1804,1187,1364,296,5810,2203,801,761,553,1492,72,5215,2531,935,626,369,246,142,366,22,3396,169,336,891,1365,490,145,0,557,777,3219,438,645,473,289,192,1182,954
2011,Washington County; Tennessee,56563,50523,6040,3.6,5.7,56563,36705,1218,1835,2498,3902,2185,1893,6327,0,56563,4425,5606,11230,7238,9187,6904,4181,2492,5300,56563,518,820,3391,10965,13782,9548,6575,4983,5981,47,179,5.4,56563,581,4169,16988,24574,8017,2234,50523,33542,16981,2.41,2.14,50523,22498,9133,9144,3687,2956,3105,50523,3016,16749,20153,10605,50523,7415,1467,39705,921,13,737,0,10,255,50523,95,320,1559,50523,50117,329,77,33542,3034,6696,8005,6214,5348,3194,874,177,142900,33542,20380,13162,20380,125,533,2039,5592,6564,2970,2557,1119,13162,258,1436,3686,3545,4237,329,20336,8197,3049,2884,1643,4563,44,13020,6348,2390,1365,908,568,361,1080,142,15527,599,689,2639,6576,3203,1487,334,636,1454,14896,2613,1926,1544,1574,1291,5948,2085
2011,Weakley County; Tennessee,15509,13958,1551,1.8,4.7,15509,10888,244,964,690,402,291,155,1849,26,15509,570,1204,3398,1707,2551,1982,1682,1001,1414,15509,117,146,800,2983,3370,3494,2297,1206,1096,47,183,5.6,15509,129,1162,4948,7226,1794,250,13958,9126,4832,2.37,2.24,13958,5995,1918,2881,1130,928,1106,13958,952,4717,5451,2838,13958,3711,1132,8671,24,7,383,0,30,0,13958,67,44,789,13958,13795,160,3,9126,2028,3369,1625,981,623,367,112,21,84400,9126,4603,4523,4603,0,201,915,1574,1212,419,282,925,4523,81,693,1660,1124,965,287,4596,2193,713,522,304,864,7,4487,1897,998,523,327,219,86,437,36,4345,193,266,1258,1818,602,196,12,539,487,4076,530,491,547,374,287,1847,756
2011,Benton County; Tennessee,8987,7023,1964,3.1,9.4,8987,5822,71,61,22,117,61,60,2773,0,8987,270,743,1977,1628,1693,1044,932,317,383,8987,72,110,547,1328,2568,2118,1182,450,612,47,005,5.4,8987,72,374,2687,4932,658,264,7023,5651,1372,2.34,2.20,7023,2102,1506,1788,792,520,315,7023,548,2082,2637,1756,7023,2640,776,3175,35,0,368,0,13,16,7023,66,41,269,7023,6878,110,35,5651,1769,1949,751,568,346,218,0,50,73800,5651,2421,3230,2421,5,230,380,955,598,204,49,909,3230,30,727,951,806,716,290,2393,1040,309,198,142,704,28,3230,1227,809,359,280,184,99,272,0,1036,22,114,389,387,124,0,0,495,336,994,305,88,43,85,43,430,378
2011,Bledsoe County; Tennessee,5691,4505,1186,1.4,4.5,5691,3678,57,58,80,58,0,29,1675,56,5691,330,602,1652,886,870,257,309,251,534,5691,100,95,279,1254,1381,860,585,556,581,47,007,5.3,5691,100,339,2071,2254,700,227,4505,3548,957,2.69,2.25,4505,1508,951,1114,420,245,267,4505,276,1232,1486,1511,4505,946,766,2096,140,0,536,0,0,21,4505,84,8,283,4505,4412,61,32,3548,712,899,745,467,353,273,68,31,109500,3548,1554,1994,1554,0,51,380,422,458,104,139,960,1994,43,351,657,531,412,291,1528,443,253,137,211,484,26,1952,994,374,165,149,28,74,168,42,741,47,63,239,306,32,54,0,507,216,732,170,77,28,124,51,282,225
2011,Campbell County; Tennessee,19835,16027,3808,4.2,4.4,19835,14129,108,277,340,678,548,311,3430,14,19835,817,2355,4152,2887,3652,1885,1294,1303,1490,19835,79,131,1083,3401,5462,4636,2161,1442,1440,47,013,5.5,19835,102,1272,6391,9585,1823,662,16027,11579,4448,2.53,2.42,16027,5322,2966,3827,1668,1496,748,16027,1186,5519,6102,3220,16027,3806,1756,9239,469,172,545,0,14,26,16027,90,146,1078,16027,15818,180,29,11579,3036,3647,2343,1319,589,365,227,53,87900,11579,5390,6189,5390,11,233,1176,2121,1198,422,229,868,6189,186,1201,2315,1214,1273,274,5346,2236,910,516,345,1339,44,6067,2607,984,932,464,379,61,640,122,3557,374,407,1133,1250,290,103,0,480,891,3406,413,405,418,461,427,1282,1042
2011,Cannon County; Tennessee,6002,5364,638,2.0,6.9,6002,4498,41,86,59,41,66,43,1168,0,6002,283,544,1112,782,955,804,628,253,641,6002,14,70,296,949,1808,1103,772,613,377,47,015,5.4,6002,14,413,1874,2998,605,98,5364,4090,1274,2.52,2.54,5364,1740,1295,1045,519,410,355,5364,291,1481,1986,1606,5364,1687,345,2959,38,0,282,0,0,53,5364,30,59,185,5364,5239,108,17,4090,456,1216,927,531,615,237,92,16,114700,4090,2177,1913,2177,5,31,227,652,908,226,128,1073,1913,10,285,725,433,460,291,2169,615,424,213,214,703,8,1869,710,378,248,131,55,121,226,44,1057,50,93,304,480,122,8,0,540,217,1015,232,160,149,142,76,256,259
2011,Houston County; Tennessee,4173,3451,722,0.6,8.8,4173,2956,33,89,98,15,32,16,934,0,4173,218,302,843,501,744,585,363,166,451,4173,65,24,168,721,1066,963,609,273,284,47,083,5.5,4173,65,148,1128,2301,458,73,3451,2473,978,2.32,2.48,3451,1089,659,726,367,349,261,3451,276,985,1254,936,3451,504,405,2141,24,0,368,0,9,0,3451,24,41,84,3451,3351,84,16,2473,509,1024,375,277,174,67,34,13,88200,2473,1179,1294,1179,0,56,181,419,399,71,53,954,1294,17,118,415,450,294,319,1163,556,144,182,128,153,16,1289,470,233,179,125,63,65,154,5,802,38,50,239,349,93,33,0,559,176,796,98,107,165,99,113,214,182
2011,Maury County; Tennessee,35035,31811,3224,2.8,6.7,35035,25609,620,1250,526,1307,1025,462,4186,50,35035,3742,3392,7500,4529,5094,3280,2427,1424,3647,35035,374,330,1693,4945,8279,7599,5140,3320,3355,47,119,5.7,35035,431,1671,8859,18458,4865,751,31811,23026,8785,2.51,2.39,31811,13755,5792,6584,2328,1776,1576,31811,1514,9780,12512,8005,31811,10665,2852,17226,181,11,802,21,9,44,31811,163,297,967,31811,31264,402,145,23026,2059,4910,5866,4139,3965,1494,369,224,138200,23026,14840,8186,14840,33,190,1045,3468,6324,2414,1366,1178,8186,33,698,1886,2608,2961,356,14816,6052,2190,1809,1454,3311,24,8140,3691,1589,838,725,290,247,760,46,7989,146,338,1352,3363,1961,715,114,652,796,7857,1133,797,1197,959,806,2965,928
2011,Coffee County; Tennessee,23277,21042,2235,1.9,5.7,23277,16655,308,1159,374,715,194,331,3515,26,23277,1234,1994,4308,3400,3869,3296,3250,986,940,23277,103,281,1133,3937,5546,4440,3344,2285,2208,47,031,5.6,23277,137,1315,5881,12094,3309,541,21042,14739,6303,2.51,2.35,21042,8371,3845,4645,1931,1184,1066,21042,1231,6233,8228,5350,21042,5909,1226,13121,117,0,628,0,23,18,21042,86,236,1014,21042,20487,431,124,14739,1747,4009,3680,2490,1774,717,256,66,118600,14739,8374,6365,8374,37,280,910,2400,2930,1197,620,1078,6365,35,651,1632,1854,2193,344,8332,3141,1293,963,719,2216,42,6242,2675,1307,818,450,232,84,676,123,5668,239,347,843,2866,1016,345,12,618,635,5455,580,814,653,724,478,2206,848
