year,county_name,housing_occupancy_total_housing_units,housing_occupancy_occupied_housing_units,housing_occupancy_vacant_housing_units,housing_occupancy_homeowner_vacancy_rate,housing_occupancy_rental_vacancy_rate,units_in_structure_total_housing_units,units_in_structure_1_unit_detached,units_in_structure_1_unit_attached,units_in_structure_2_units,units_in_structure_3_or_4_units,units_in_structure_5_to_9_units,units_in_structure_10_to_19_units,units_in_structure_20_or_more_units,units_in_structure_mobile_home,units_in_structure_boat_rv_van_etc.,year_structure_built_total_housing_units,year_structure_built_built_2010_or_later,year_structure_built_built_2000_to_2009,year_structure_built_built_1990_to_1999,year_structure_built_built_1980_to_1989,year_structure_built_built_1970_to_1979,year_structure_built_built_1960_to_1969,year_structure_built_built_1950_to_1959,year_structure_built_built_1940_to_1949,year_structure_built_built_1939_or_earlier,rooms_total_housing_units,rooms_1_room,rooms_2_rooms,rooms_3_rooms,rooms_4_rooms,rooms_5_rooms,rooms_6_rooms,rooms_7_rooms,rooms_8_rooms,rooms_9_rooms_or_more,rooms_median_rooms,bedrooms_total_housing_units,bedrooms_no_bedroom,bedrooms_1_bedroom,bedrooms_2_bedrooms,bedrooms_3_bedrooms,bedrooms_4_bedrooms,bedrooms_5_or_more_bedrooms,housing_tenure_occupied_housing_units,housing_tenure_owner_occupied,state_fips,county_fips,housing_tenure_renter_occupied,housing_tenure_average_household_size_of_owner_occ,housing_tenure_average_household_size_of_renter_oc,year_householder_moved_into_unit_occupied_housing_,year_householder_moved_into_unit_moved_in_2010_or_,year_householder_moved_into_unit_moved_in_2000_to_,year_householder_moved_into_unit_moved_in_1990_to_,year_householder_moved_into_unit_moved_in_1980_to_,year_householder_moved_into_unit_moved_in_1970_to_,year_householder_moved_into_unit_moved_in_1969_or_,vehicles_available_occupied_housing_units,vehicles_available_no_vehicles_available,vehicles_available_1_vehicle_available,vehicles_available_2_vehicles_available,vehicles_available_3_or_more_vehicles_available,house_heating_fuel_occupied_housing_units,house_heating_fuel_utility_gas,house_heating_fuel_bottled_tank_or_lp_gas,house_heating_fuel_electricity,house_heating_fuel_fuel_oil_kerosene_etc.,house_heating_fuel_coal_or_coke,house_heating_fuel_wood,house_heating_fuel_solar_energy,house_heating_fuel_other_fuel,house_heating_fuel_no_fuel_used,selected_characteristics_occupied_housing_units,selected_characteristics_lacking_complete_plumbing,selected_characteristics_lacking_complete_kitchen_,selected_characteristics_no_telephone_service_avai,occupants_per_room_occupied_housing_units,occupants_per_room_1.00_or_less,occupants_per_room_1.01_to_1.50,occupants_per_room_1.51_or_more,value_owner_occupied_units,value_less_than_50000,value_50000_to_99999,value_100000_to_149999,value_150000_to_199999,value_200000_to_299999,value_300000_to_499999,value_500000_to_999999,value_1000000_or_more,value_median_dollars,mortgage_status_owner_occupied_units,mortgage_status_housing_units_with_a_mortgage,mortgage_status_housing_units_without_a_mortgage,selected_monthly_owner_costs_smoc_housing_units_wi,selected_monthly_owner_costs_smoc_less_than_300,selected_monthly_owner_costs_smoc_300_to_499,selected_monthly_owner_costs_smoc_500_to_699,selected_monthly_owner_costs_smoc_700_to_999,selected_monthly_owner_costs_smoc_1000_to_1499,selected_monthly_owner_costs_smoc_1500_to_1999,selected_monthly_owner_costs_smoc_2000_or_more,selected_monthly_owner_costs_smoc_median_dollars,selected_monthly_owner_costs_smoc_housing_units_wi,selected_monthly_owner_costs_smoc_less_than_100,selected_monthly_owner_costs_smoc_100_to_199,selected_monthly_owner_costs_smoc_200_to_299,selected_monthly_owner_costs_smoc_300_to_399,selected_monthly_owner_costs_smoc_400_or_more,selected_monthly_owner_costs_smoc_median_dollars,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,gross_rent_occupied_units_paying_rent,gross_rent_less_than_200,gross_rent_200_to_299,gross_rent_300_to_499,gross_rent_500_to_749,gross_rent_750_to_999,gross_rent_1000_to_1499,gross_rent_1500_or_more,gross_rent_median_dollars,gross_rent_no_rent_paid,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra
2012,Union County; Ohio,19432,18113,1319,3.2,4.1,19432,15191,609,314,696,1018,383,334,887,0,19432,42,4477,4578,1572,2528,1134,1026,665,3410,19432,28,164,953,2411,3118,3657,3427,2597,3077,6.3,19432,48,1060,4509,8701,4392,722,18113,13864,39,159,4249,2.83,2.31,18113,1589,9778,3703,1342,917,784,18113,831,4259,8016,5007,18113,8959,4075,3618,543,0,654,0,236,28,18113,31,50,429,18113,17951,131,31,13864,733,1293,2921,3534,3033,1712,525,113,172800,13864,10614,3250,10614,2,48,296,1005,3232,3027,3004,1619,3250,8,137,250,643,2212,493,10614,3701,2187,1490,1102,2134,0,3250,1071,706,479,318,170,128,378,0,3940,136,81,236,1379,1277,667,164,787,309,3940,565,568,655,550,369,1233,309
2012,Pike County; Ohio,12475,10730,1745,1.6,3.5,12475,8524,87,181,222,319,10,189,2915,28,12475,69,1885,2591,1731,1852,1016,1696,519,1116,12475,79,124,554,2197,3497,2339,1585,829,1271,5.4,12475,79,662,3953,5715,1632,434,10730,7745,39,131,2985,2.66,2.56,10730,706,5189,2407,935,695,798,10730,842,3208,3839,2841,10730,2393,2321,4561,495,63,819,0,75,3,10730,141,197,592,10730,10583,92,55,7745,1519,2438,1717,1130,557,235,39,110,98500,7745,4049,3696,4049,0,178,383,1110,1598,583,197,1103,3696,65,414,899,901,1417,345,4035,1526,603,521,286,1099,14,3696,1427,761,492,340,167,96,413,0,2517,85,179,406,893,668,286,0,670,468,2465,386,288,222,138,287,1144,520
2012,Paulding County; Ohio,8755,7700,1055,1.3,8.5,8755,6950,57,72,238,193,34,137,1072,2,8755,0,792,1143,747,1514,1169,999,333,2058,8755,92,40,418,842,1840,2022,1557,1049,895,6.1,8755,96,429,2034,4601,1302,293,7700,6131,39,125,1569,2.53,2.48,7700,448,3352,1545,735,852,768,7700,350,2093,3116,2141,7700,2179,1751,3151,210,0,290,0,85,34,7700,46,96,265,7700,7632,27,41,6131,890,2625,1208,723,477,126,63,19,92100,6131,3605,2526,3605,21,152,480,1057,1204,512,179,1030,2526,17,291,629,588,1001,344,3605,1619,515,478,238,755,0,2470,1218,482,288,153,64,73,192,56,1357,28,64,455,487,225,50,48,553,212,1352,150,144,252,138,56,612,217
2012,Hamilton County; Ohio,377624,326023,51601,2.6,11.5,377624,215943,17562,21774,29250,26051,32805,30587,3490,162,377624,477,19546,28019,31065,44309,58528,63406,29689,102585,377624,6986,9406,44396,56495,67098,64450,46552,36436,45805,5.6,377624,8076,65220,104516,118770,66914,14128,326023,196521,39,061,129502,2.57,2.16,326023,36390,167199,55730,28723,19197,18784,326023,40478,120602,109828,55115,326023,226341,5078,83775,5745,13,971,66,2048,1986,326023,1046,2578,7690,326023,321268,3349,1406,196521,8276,37912,55177,33189,31686,19619,8440,2222,146900,196521,143154,53367,143154,151,1624,5135,19384,53332,31351,32177,1425,53367,101,945,3626,8100,40595,529,142802,57702,23440,16466,11339,33855,352,52903,18963,11286,6854,4296,2609,1866,7029,464,124776,4812,4604,17369,45375,25035,21694,5887,689,4726,120633,16054,14383,14322,12749,10822,52303,8869
2012,Franklin County; Ohio,527886,464018,63868,2.9,9.5,527886,286135,51811,17051,42703,50784,34694,39831,4828,49,527886,1183,63553,79636,67277,79215,73087,73043,29145,61747,527886,6901,11505,51950,96213,105264,93010,64106,47550,51387,5.4,527886,7922,62603,167294,192340,86285,11442,464018,259089,39,049,204929,2.57,2.33,464018,65550,259882,72766,30483,19469,15868,464018,39037,181020,174689,69272,464018,348984,5582,105127,2107,43,774,8,695,698,464018,2238,4261,13617,464018,454871,7486,1661,259089,11218,47015,66709,54702,47841,23147,7257,1200,153600,259089,201444,57645,201444,241,2287,6875,26271,72741,49242,43787,1448,57645,141,1295,4677,10324,41208,513,200735,76948,36804,25459,16897,44627,709,56936,20901,12169,7704,4694,2975,2045,6448,709,200126,3613,4701,13251,60738,67166,41177,9480,804,4803,192704,22359,26533,25824,23010,17493,77485,12225
2012,Marion County; Ohio,27843,24736,3107,2.9,5.2,27843,21405,538,1275,1061,826,399,1004,1322,13,27843,67,1989,2241,1399,4041,4071,3310,1794,8931,27843,390,208,1585,2645,5406,7149,4863,2815,2782,6.0,27843,454,2334,6099,14227,3985,744,24736,16968,39,101,7768,2.45,2.42,24736,2624,11064,4529,2419,2237,1863,24736,1833,7967,9587,5349,24736,16149,2135,4839,908,30,456,11,153,55,24736,100,355,786,24736,24472,197,67,16968,2311,6202,4081,2433,1454,296,157,34,99800,16968,10195,6773,10195,24,408,854,2758,4097,1395,659,1104,6773,18,305,1432,1884,3134,387,10161,4296,1561,1294,991,2019,34,6718,2562,1188,894,756,366,182,770,55,7363,212,344,1203,2770,2023,725,86,684,405,7266,975,788,860,1007,546,3090,502
2012,Tuscarawas County; Ohio,40123,36298,3825,0.9,9.3,40123,29575,825,2410,1763,534,287,689,4029,11,40123,47,4049,5058,3606,5386,3637,4262,1862,12216,40123,431,561,2012,5398,8314,9188,5981,4418,3820,5.9,40123,455,3453,10714,19566,5021,914,36298,26556,39,157,9742,2.58,2.33,36298,2809,17017,7320,3453,2939,2760,36298,2251,11370,13660,9017,36298,22782,2651,7278,1730,32,1378,6,432,9,36298,90,353,1219,36298,35774,444,80,26556,2934,8738,6721,4328,2580,867,225,163,110300,26556,16101,10455,16101,20,610,1885,5173,5562,2071,780,1029,10455,64,1011,2224,2874,4282,366,16013,7324,2794,1498,1120,3277,88,10338,3923,2721,1328,697,497,268,904,117,8981,216,388,2087,3772,2063,414,41,616,761,8860,1351,1463,1079,944,741,3282,882
2012,Wayne County; Ohio,45826,42354,3472,1.8,5.1,45826,33241,1792,2737,1500,1730,633,766,3427,0,45826,59,4756,6404,4534,8624,4687,5011,2140,9611,45826,455,469,2613,5990,8793,8870,7208,5117,6311,6.0,45826,505,2989,11630,21312,7343,2047,42354,31525,39,169,10829,2.74,2.26,42354,3545,19869,8832,4515,3000,2593,42354,3638,12251,16532,9933,42354,26366,2740,7331,2355,205,2827,14,358,158,42354,379,677,2122,42354,41495,640,219,31525,2620,6162,9373,6754,4551,1443,351,271,136600,31525,19870,11655,19870,44,578,1606,4076,8230,3544,1792,1198,11655,80,591,1612,3234,6138,410,19855,7895,3235,2843,1560,4322,15,11564,5324,2202,1467,757,484,455,875,91,10129,262,379,1547,4464,2737,637,103,656,700,9973,1560,1325,1417,1436,1036,3199,856
2012,Brown County; Ohio,19273,16289,2984,2.4,9.2,19273,14043,180,306,461,405,211,220,3447,0,19273,64,2597,4178,3238,2640,1360,1419,805,2972,19273,160,103,911,2988,4707,4429,2714,1709,1552,5.7,19273,163,1177,4684,10711,2166,372,16289,12705,39,015,3584,2.75,2.58,16289,1216,7246,4062,1881,928,956,16289,907,4091,6402,4889,16289,2281,2139,9310,1293,3,1050,0,198,15,16289,97,70,573,16289,16052,191,46,12705,1553,3409,3256,2026,1582,746,51,82,119100,12705,8411,4294,8411,11,162,741,2380,3179,1450,488,1127,4294,10,236,1004,1124,1920,381,8378,2774,1624,1048,837,2095,33,4212,1407,956,611,385,332,113,408,82,3220,118,249,594,1066,782,395,16,664,364,3126,380,461,465,395,309,1116,458
2012,Butler County; Ohio,148006,134945,13061,2.0,7.3,148006,106926,5863,4135,6652,7222,9898,3304,3976,30,148006,226,20144,23942,18630,25282,14031,18693,7488,19570,148006,1187,1270,8382,20189,28574,27501,20982,17469,22452,6.0,148006,1336,10873,37234,58804,35157,4602,134945,95854,39,017,39091,2.70,2.49,134945,12869,70733,27256,10473,7649,5965,134945,7590,41027,54961,31367,134945,76684,4087,43359,7873,0,1531,16,972,423,134945,753,1175,2429,134945,133053,1410,482,95854,5180,16792,21721,21632,20908,7871,1357,393,158800,95854,71394,24460,71394,100,869,2910,10833,23174,17871,15637,1453,24460,77,609,2438,4847,16489,477,71222,27618,14018,9313,5280,14993,172,24233,9001,5326,3152,1796,1333,830,2795,227,37402,710,889,2732,11767,12247,7096,1961,792,1689,36614,4098,4307,4837,3618,3159,16595,2477
