year,county_name,housing_tenure_occupied_housing_units_renter_occup,housing_tenure_average_household_size_of_owner_occ,housing_tenure_average_household_size_of_renter_oc,year_householder_moved_into_unit_occupied_housing_,year_householder_moved_into_unit_occupied_housing_,year_householder_moved_into_unit_occupied_housing_,year_householder_moved_into_unit_occupied_housing_,year_householder_moved_into_unit_occupied_housing_,year_householder_moved_into_unit_occupied_housing_,year_householder_moved_into_unit_occupied_housing_,vehicles_available_occupied_housing_units,vehicles_available_occupied_housing_units_no_vehic,vehicles_available_occupied_housing_units_1_vehicl,vehicles_available_occupied_housing_units_2_vehicl,vehicles_available_occupied_housing_units_3_or_mor,house_heating_fuel_occupied_housing_units,house_heating_fuel_occupied_housing_units_utility_,house_heating_fuel_occupied_housing_units_bottled_,house_heating_fuel_occupied_housing_units_electric,house_heating_fuel_occupied_housing_units_fuel_oil,house_heating_fuel_occupied_housing_units_coal_or_,house_heating_fuel_occupied_housing_units_wood,house_heating_fuel_occupied_housing_units_solar_en,house_heating_fuel_occupied_housing_units_other_fu,house_heating_fuel_occupied_housing_units_no_fuel_,selected_characteristics_occupied_housing_units,selected_characteristics_occupied_housing_units_la,selected_characteristics_occupied_housing_units_la,selected_characteristics_occupied_housing_units_no,occupants_per_room_occupied_housing_units,occupants_per_room_occupied_housing_units_1.00_or_,occupants_per_room_occupied_housing_units_1.01_to_,occupants_per_room_occupied_housing_units_1.51_or_,value_owner_occupied_units,value_owner_occupied_units_less_than_50000,value_owner_occupied_units_50000_to_99999,value_owner_occupied_units_100000_to_149999,value_owner_occupied_units_150000_to_199999,value_owner_occupied_units_200000_to_299999,value_owner_occupied_units_300000_to_499999,value_owner_occupied_units_500000_to_999999,value_owner_occupied_units_1000000_or_more,value_owner_occupied_units_median_dollars,mortgage_status_owner_occupied_units,mortgage_status_owner_occupied_units_housing_units,state_fips,county_fips,mortgage_status_owner_occupied_units_housing_units,selected_monthly_owner_costs_smoc_housing_units_wi,selected_monthly_owner_costs_smoc_housing_units_wi,selected_monthly_owner_costs_smoc_housing_units_wi,selected_monthly_owner_costs_smoc_housing_units_wi,selected_monthly_owner_costs_smoc_housing_units_wi,selected_monthly_owner_costs_smoc_housing_units_wi,selected_monthly_owner_costs_smoc_housing_units_wi,selected_monthly_owner_costs_smoc_housing_units_wi,selected_monthly_owner_costs_smoc_housing_units_wi,selected_monthly_owner_costs_smoc_housing_units_wi,selected_monthly_owner_costs_smoc_housing_units_wi,selected_monthly_owner_costs_smoc_housing_units_wi,selected_monthly_owner_costs_smoc_housing_units_wi,selected_monthly_owner_costs_smoc_housing_units_wi,selected_monthly_owner_costs_smoc_housing_units_wi,selected_monthly_owner_costs_smoc_housing_units_wi,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,selected_monthly_owner_costs_as_a_percentage_of_ho,gross_rent_occupied_units_paying_rent,gross_rent_occupied_units_paying_rent_less_than_20,gross_rent_occupied_units_paying_rent_200_to_299,gross_rent_occupied_units_paying_rent_300_to_499,gross_rent_occupied_units_paying_rent_500_to_749,gross_rent_occupied_units_paying_rent_750_to_999,gross_rent_occupied_units_paying_rent_1000_to_1499,gross_rent_occupied_units_paying_rent_1500_or_more,gross_rent_occupied_units_paying_rent_median_dolla,gross_rent_no_rent_paid,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra
2013,Onondaga County; New York,63989,2.58,2.15,184855,29219,80009,31980,18909,11589,13149,184855,23332,69598,67943,23982,184855,138179,5089,26864,8872,888,2612,45,1614,692,184855,687,1384,8067,184855,182501,1779,575,120866,6241,30878,33614,22470,17495,7099,2563,506,132300,120866,80403,36,067,40463,80403,81,1126,3571,14013,28832,16704,16076,1368,40463,199,994,3266,6401,29603,542,80142,36811,13339,9405,5949,14638,261,40162,14373,9036,5506,3346,2176,1210,4515,301,61860,1125,2533,5964,20492,18894,10430,2422,759,2129,59846,8233,7851,7365,6063,5003,25331,4143
2013,Bronx County; New York,382734,3.00,2.82,474842,67508,227052,88500,43000,32109,16673,474842,285624,140845,39513,8860,474842,164627,5803,36461,256961,383,220,126,4697,5564,474842,3406,4420,16845,474842,419766,34565,20511,92108,7764,4010,5492,5202,9513,39761,18870,1496,374500,92108,56657,36,005,35451,56657,884,789,1276,3207,7423,8047,35031,2406,35451,5368,2309,1810,1573,24391,714,56358,13809,6343,5646,5121,25439,299,34994,14066,4765,3532,2354,1999,1536,6742,457,374618,6670,25212,31270,39914,72377,145657,53518,1032,8116,367223,37335,36564,37667,40270,35039,180348,15511
2013,Clinton County; New York,10295,2.49,1.96,31901,4743,13707,5863,3541,2135,1912,31901,2974,10656,12590,5681,31901,3517,1171,9278,13849,167,3497,0,358,64,31901,183,272,558,31901,31385,381,135,21606,2690,5206,5518,3480,3088,937,446,241,122900,21606,12527,36,019,9079,12527,13,170,914,2391,4475,2480,2084,1312,9079,65,453,1162,1813,5586,455,12517,5764,2037,1543,806,2367,10,8952,3767,1823,884,688,478,278,1034,127,9451,182,357,1289,3348,2625,1215,435,719,844,9315,1170,1020,1213,1057,812,4043,980
2013,Seneca County; New York,3430,2.50,2.12,13429,1824,5191,2651,1656,1050,1057,13429,937,4666,5618,2208,13429,5953,2524,1398,2077,650,659,0,115,53,13429,102,128,493,13429,13273,139,17,9999,1514,3944,2026,1125,711,435,183,61,94400,9999,5879,36,099,4120,5879,0,138,485,1461,2435,819,541,1151,4120,50,188,485,638,2759,482,5871,2591,913,754,468,1145,8,4071,1397,793,603,325,194,192,567,49,3174,44,149,334,1490,744,360,53,674,256,3102,402,485,277,422,241,1275,328
2013,Putnam County; New York,5829,2.93,2.25,34496,2774,14654,7855,4148,3087,1978,34496,1712,8312,14733,9739,34496,2551,1099,6641,22865,24,995,0,291,30,34496,45,213,243,34496,33829,383,284,28667,421,472,685,1085,5670,13428,6410,496,372200,28667,20959,36,079,7708,20959,0,94,63,283,1264,2462,16793,2745,7708,0,24,40,293,7351,1001,20925,5216,3314,3100,2030,7265,34,7640,1665,1577,1012,833,480,337,1736,68,5348,37,76,259,357,674,2078,1867,1259,481,5241,510,703,517,570,337,2604,588
2013,Herkimer County; New York,7912,2.43,2.17,26815,3537,10425,5125,3184,2165,2379,26815,2715,9805,9942,4353,26815,11621,1774,3089,7321,228,2268,78,334,102,26815,163,196,554,26815,26443,298,74,18903,2471,8038,3564,2203,1359,833,378,57,92500,18903,10129,36,043,8774,10129,16,217,843,2916,3943,1404,790,1107,8774,44,381,1072,1730,5547,466,10068,4940,1685,991,668,1784,61,8703,2959,1794,1202,808,437,360,1143,71,7323,100,529,1491,3080,1540,503,80,614,589,7214,1126,794,1040,862,725,2667,698
2013,Ontario County; New York,11511,2.53,1.99,43794,6747,19219,8657,4213,2746,2212,43794,2963,14539,17948,8344,43794,25420,5044,6001,4108,543,2153,0,400,125,43794,326,671,932,43794,43331,295,168,32283,2776,6195,9036,5395,5067,2732,869,213,138100,32283,21650,36,069,10633,21650,49,260,1081,3956,7235,4707,4362,1377,10633,103,348,583,1319,8280,562,21631,9718,3616,2576,1692,4029,19,10609,3345,2184,1447,1099,645,460,1429,24,10981,141,348,898,3572,3561,1690,771,778,530,10794,1267,1378,1614,1242,1084,4209,717
2013,Steuben County; New York,11883,2.42,2.14,41503,5504,17535,7643,4923,2870,3028,41503,3477,14957,15532,7537,41503,22051,4588,4349,3425,1901,4530,3,549,107,41503,363,490,1547,41503,40900,363,240,29620,5451,12437,5148,2958,2158,1017,351,100,86800,29620,15943,36,101,13677,15943,36,434,1456,4764,6015,1828,1410,1089,13677,183,1037,1927,2503,8027,446,15909,7557,2599,1798,1057,2898,34,13505,5226,3082,1576,1010,722,552,1337,172,10863,97,757,1854,4654,2258,1033,210,644,1020,10749,2088,1725,1315,1051,893,3677,1134
2013,Hamilton County; New York,299,2.60,2.21,1854,109,661,376,332,181,195,1854,88,631,845,290,1854,62,422,89,790,0,462,0,29,0,1854,6,4,27,1854,1845,9,0,1555,65,270,319,285,244,243,119,10,164700,1555,649,36,041,906,649,0,21,43,158,192,160,75,1223,906,4,51,147,201,503,434,641,254,109,63,52,163,8,905,342,196,107,49,48,42,121,1,240,6,21,44,109,43,11,6,610,59,240,64,76,6,29,9,56,59
2013,Chautauqua County; New York,16960,2.40,2.16,54863,7965,21992,9905,6435,4214,4352,54863,6314,20930,19624,7995,54863,37820,3993,7002,1515,136,3430,20,851,96,54863,390,694,2183,54863,54091,493,279,37903,7330,16241,6559,3989,2213,1070,418,83,83500,37903,21098,36,013,16805,21098,31,558,2697,6913,6807,2424,1668,1021,16805,105,836,2491,3484,9889,444,20999,10423,2988,2050,1365,4173,99,16624,5583,3513,2246,1272,1147,605,2258,181,15739,263,826,3512,7031,2900,940,267,609,1221,15185,2160,2014,1780,1562,1075,6594,1775
