year,county_name,housing_occupancy_total_housing_units,housing_occupancy_total_housing_units_occupied_hou,housing_occupancy_total_housing_units_vacant_housi,housing_occupancy_homeowner_vacancy_rate,housing_occupancy_rental_vacancy_rate,units_in_structure_total_housing_units,units_in_structure_total_housing_units_1_unit_deta,units_in_structure_total_housing_units_1_unit_atta,units_in_structure_total_housing_units_2_units,units_in_structure_total_housing_units_3_or_4_unit,units_in_structure_total_housing_units_5_to_9_unit,units_in_structure_total_housing_units_10_to_19_un,units_in_structure_total_housing_units_20_or_more_,units_in_structure_total_housing_units_mobile_home,units_in_structure_total_housing_units_boat_rv_van,year_structure_built_total_housing_units,year_structure_built_total_housing_units_built_201,year_structure_built_total_housing_units_built_200,year_structure_built_total_housing_units_built_199,year_structure_built_total_housing_units_built_198,year_structure_built_total_housing_units_built_197,year_structure_built_total_housing_units_built_196,year_structure_built_total_housing_units_built_195,year_structure_built_total_housing_units_built_194,year_structure_built_total_housing_units_built_193,rooms_total_housing_units,rooms_total_housing_units_1_room,rooms_total_housing_units_2_rooms,rooms_total_housing_units_3_rooms,rooms_total_housing_units_4_rooms,rooms_total_housing_units_5_rooms,rooms_total_housing_units_6_rooms,rooms_total_housing_units_7_rooms,rooms_total_housing_units_8_rooms,rooms_total_housing_units_9_rooms_or_more,rooms_total_housing_units_median_rooms,bedrooms_total_housing_units,bedrooms_total_housing_units_no_bedroom,bedrooms_total_housing_units_1_bedroom,bedrooms_total_housing_units_2_bedrooms,bedrooms_total_housing_units_3_bedrooms,bedrooms_total_housing_units_4_bedrooms,bedrooms_total_housing_units_5_or_more_bedrooms,housing_tenure_occupied_housing_units,housing_tenure_occupied_housing_units_owner_occupi,state_fips,county_fips,housing_tenure_occupied_housing_units_renter_occup,housing_tenure_average_household_size_of_owner_occ,housing_tenure_average_household_size_of_renter_oc,year_householder_moved_into_unit_occupied_housing_,year_householder_moved_into_unit_occupied_housing_,year_householder_moved_into_unit_occupied_housing_,year_householder_moved_into_unit_occupied_housing_,year_householder_moved_into_unit_occupied_housing_,year_householder_moved_into_unit_occupied_housing_,year_householder_moved_into_unit_occupied_housing_,vehicles_available_occupied_housing_units,vehicles_available_occupied_housing_units_no_vehic,vehicles_available_occupied_housing_units_1_vehicl,vehicles_available_occupied_housing_units_2_vehicl,vehicles_available_occupied_housing_units_3_or_mor,house_heating_fuel_occupied_housing_units,house_heating_fuel_occupied_housing_units_utility_,house_heating_fuel_occupied_housing_units_bottled_,house_heating_fuel_occupied_housing_units_electric,house_heating_fuel_occupied_housing_units_fuel_oil,house_heating_fuel_occupied_housing_units_coal_or_,house_heating_fuel_occupied_housing_units_wood,house_heating_fuel_occupied_housing_units_solar_en,house_heating_fuel_occupied_housing_units_other_fu,house_heating_fuel_occupied_housing_units_no_fuel_,selected_characteristics_occupied_housing_units,selected_characteristics_occupied_housing_units_la,selected_characteristics_occupied_housing_units_la,selected_characteristics_occupied_housing_units_no,occupants_per_room_occupied_housing_units,occupants_per_room_occupied_housing_units_1.00_or_,occupants_per_room_occupied_housing_units_1.01_to_,occupants_per_room_occupied_housing_units_1.51_or_,value_owner_occupied_units,value_owner_occupied_units_less_than_50000,value_owner_occupied_units_50000_to_99999,value_owner_occupied_units_100000_to_149999,value_owner_occupied_units_150000_to_199999,value_owner_occupied_units_200000_to_299999,value_owner_occupied_units_300000_to_499999,value_owner_occupied_units_500000_to_999999,value_owner_occupied_units_1000000_or_more,value_owner_occupied_units_median_dollars,mortgage_status_owner_occupied_units,mortgage_status_owner_occupied_units_housing_units
2013,James City County; Virginia,30253,26883,3370,1.6,10.6,30253,20235,3333,443,1003,1478,1267,1078,1416,0,30253,350,9508,7085,6619,3872,1170,838,441,370,30253,226,424,1552,3294,4886,5084,4056,3896,6835,6.4,30253,226,1849,5974,12415,7872,1917,26883,20490,51,095,6393,2.54,2.37,26883,3964,14676,5273,1842,789,339,26883,1028,7296,12206,6353,26883,12982,538,12426,699,0,152,0,51,35,26883,84,197,297,26883,26695,110,78,20490,853,316,928,2014,4901,7166,3894,418,327100,20490,14516
2013,Russell County; Virginia,13440,11191,2249,2.1,10.2,13440,8799,216,148,227,199,123,110,3608,10,13440,18,1465,2367,2119,2923,1565,950,710,1323,13440,112,67,616,2407,3095,3053,2012,964,1114,5.6,13440,112,604,4532,6535,1437,220,11191,8750,51,167,2441,2.59,2.29,11191,971,4209,2403,1362,1339,907,11191,961,3270,3578,3382,11191,221,337,8660,1050,248,604,22,6,43,11191,82,71,393,11191,11130,30,31,8750,2383,2526,1340,928,784,620,112,57,91100,8750,3381
2013,Smyth County; Virginia,15374,12650,2724,1.7,10.8,15374,10137,91,293,335,308,482,180,3548,0,15374,46,1353,2247,1854,3333,1888,1968,950,1735,15374,199,79,527,3013,4232,2885,1931,1386,1122,5.4,15374,199,566,4905,7434,1734,536,12650,8950,51,173,3700,2.41,2.61,12650,1846,4842,2384,1160,1381,1037,12650,1068,4173,4378,3031,12650,946,451,7609,2386,16,1167,0,29,46,12650,70,89,113,12650,12545,69,36,8950,1874,3122,1733,1169,675,306,60,11,91200,8950,4331
2013,Bedford city; Virginia,3141,2800,341,1.3,6.8,3141,2086,26,223,31,155,367,92,161,0,3141,15,240,263,405,595,484,357,299,483,3141,71,21,243,573,830,580,217,249,357,5.3,3141,71,339,893,1276,424,138,2800,1644,51,515,1156,2.42,1.57,2800,335,1534,454,118,213,146,2800,495,1084,754,467,2800,17,24,2059,574,0,82,0,34,10,2800,0,21,109,2800,2800,0,0,1644,199,206,462,274,298,119,86,0,146400,1644,1048
2013,Lexington city; Virginia,1950,1709,241,4.2,4.5,1950,1273,115,181,53,118,13,136,61,0,1950,6,118,123,42,275,281,382,154,569,1950,39,94,181,417,189,165,275,256,334,5.8,1950,46,350,440,571,440,103,1709,949,51,678,760,2.06,2.04,1709,306,835,266,137,98,67,1709,201,630,690,188,1709,872,20,753,49,0,15,0,0,0,1709,0,5,46,1709,1672,37,0,949,62,112,62,125,226,233,120,9,262700,949,582
2013,Campbell County; Virginia,24802,21774,3028,0.6,5.5,24802,17237,549,718,719,440,298,313,4528,0,24802,86,3428,4402,3351,5267,3352,2099,1089,1728,24802,56,213,1327,4207,5698,4802,3449,2427,2623,5.7,24802,56,1015,7067,12349,3604,711,21774,16545,51,031,5229,2.50,2.50,21774,2687,9252,4071,2487,1843,1434,21774,1305,5872,8257,6340,21774,487,1274,16708,2090,26,1089,0,21,79,21774,40,19,288,21774,21491,234,49,16545,2501,2189,3559,3993,2887,1097,268,51,150300,16545,10087
2013,Henry County; Virginia,26166,22690,3476,1.6,11.9,26166,18382,333,257,463,773,518,310,5130,0,26166,43,1807,3871,4043,5224,4563,3651,1511,1453,26166,304,157,1354,4689,7626,4834,3174,1782,2246,5.4,26166,319,1036,8236,12767,2959,849,22690,16919,51,089,5771,2.30,2.41,22690,2687,8245,3835,2417,2877,2629,22690,1533,6964,7314,6879,22690,743,1562,16049,3002,37,974,0,184,139,22690,57,80,641,22690,22193,346,151,16919,3196,5864,3805,1943,1392,432,185,102,94600,16919,8492
2013,Mathews County; Virginia,5674,3856,1818,4.1,6.9,5674,4650,31,14,11,205,0,77,686,0,5674,27,653,1032,545,785,600,273,264,1495,5674,20,31,330,808,1176,1179,911,604,615,5.9,5674,20,308,1301,3002,732,311,3856,3078,51,115,778,2.25,2.45,3856,399,1446,1032,363,297,319,3856,117,961,1465,1313,3856,61,473,2759,361,0,149,0,53,0,3856,18,71,18,3856,3811,45,0,3078,239,181,602,250,560,667,501,78,238500,3078,1529
2013,King George County; Virginia,9533,8314,1219,1.0,8.5,9533,7349,454,161,142,242,280,45,860,0,9533,82,2657,1890,1312,1312,625,696,269,690,9533,16,39,308,1243,1432,1614,1666,1119,2096,6.6,9533,16,311,1854,4255,2284,813,8314,6114,51,099,2200,2.78,3.10,8314,1274,4444,1203,675,404,314,8314,404,1497,3577,2836,8314,162,965,6114,771,0,248,0,20,34,8314,23,6,187,8314,8212,86,16,6114,393,135,270,632,2045,1991,601,47,278900,6114,4600
2013,Lancaster County; Virginia,7469,5182,2287,2.6,5.9,7469,6198,268,86,130,125,37,123,484,18,7469,45,893,1164,1293,1125,574,660,492,1223,7469,85,152,169,1048,1479,1867,1263,611,795,5.9,7469,140,369,1940,4048,848,124,5182,4106,51,103,1076,2.08,2.36,5182,460,2185,1093,601,461,382,5182,380,1739,1785,1278,5182,29,696,3217,1058,0,171,1,2,8,5182,79,71,45,5182,5141,36,5,4106,317,439,419,636,717,642,755,181,233400,4106,2069
2013,Lee County; Virginia,11703,9653,2050,1.7,5.9,11703,8582,59,114,302,114,65,71,2396,0,11703,62,1127,1656,1626,2311,1168,1008,1151,1594,11703,22,206,313,2474,3393,2730,1267,677,621,5.3,11703,52,615,3955,5918,1015,148,9653,7177,51,105,2476,2.47,2.56,9653,1326,3315,1681,1399,1162,770,9653,809,2893,3382,2569,9653,70,349,7415,812,213,749,0,20,25,9653,274,194,393,9653,9497,143,13,7177,2136,2518,1100,507,535,238,121,22,74300,7177,2730
2013,Prince Edward County; Virginia,9170,7453,1717,1.8,3.9,9170,5738,110,182,406,173,496,171,1878,16,9170,60,1590,1966,1394,1207,1083,689,272,909,9170,21,73,522,1290,2702,1548,819,1207,988,5.5,9170,21,610,2451,4349,1450,289,7453,4856,51,147,2597,2.62,2.20,7453,1350,3222,1373,398,576,534,7453,723,2322,2403,2005,7453,105,908,4628,1072,0,712,0,28,0,7453,97,86,206,7453,7242,211,0,4856,642,789,923,876,1066,445,113,2,153400,4856,2730
