year,county_name,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,state_fips,county_fips
2013,Lafayette County; Wisconsin,156,164,124,107,392,203,55,065
2013,Rock County; Wisconsin,1954,2152,2202,1657,7424,1083,55,105
2013,Waushara County; Wisconsin,210,259,161,166,606,267,55,137
2013,Bayfield County; Wisconsin,117,120,169,121,285,203,55,007
2013,Pierce County; Wisconsin,459,500,627,262,1452,324,55,093
2013,Wood County; Wisconsin,1048,1066,984,632,2828,621,55,141
2013,Calumet County; Wisconsin,526,475,337,226,1018,302,55,015
2013,Florence County; Wisconsin,14,55,15,9,50,55,55,037
2013,Kenosha County; Wisconsin,2605,1761,2390,1789,8479,1124,55,059
2013,Iron County; Wisconsin,25,108,48,73,171,64,55,051
2013,Clark County; Wisconsin,414,379,309,218,757,351,55,019
2013,St. Croix County; Wisconsin,777,1101,977,585,2572,431,55,109
2013,Oconto County; Wisconsin,348,195,343,220,793,407,55,083
2013,Lincoln County; Wisconsin,401,350,248,153,1055,296,55,069
2013,Waupaca County; Wisconsin,727,575,620,250,1539,405,55,135
2013,Barron County; Wisconsin,815,604,634,435,1692,500,55,005
2013,Sawyer County; Wisconsin,195,153,166,213,605,276,55,113
2013,Green Lake County; Wisconsin,196,280,308,106,415,262,55,047
2013,Price County; Wisconsin,140,123,127,98,453,261,55,099
2013,Marquette County; Wisconsin,193,178,89,67,403,215,55,077
2013,Marinette County; Wisconsin,491,508,398,308,1461,358,55,075
2013,Milwaukee County; Wisconsin,21262,22009,19086,15181,81199,7939,55,079
2013,Racine County; Wisconsin,2355,2295,2812,2099,9272,1192,55,101
2013,Dunn County; Wisconsin,568,685,521,329,1936,389,55,033
2013,Forest County; Wisconsin,114,72,90,31,198,182,55,041
2013,Grant County; Wisconsin,609,738,544,409,1697,680,55,043
2013,Rusk County; Wisconsin,199,183,251,183,381,178,55,107
2013,Sheboygan County; Wisconsin,2072,1580,1530,1353,3830,697,55,117
2013,Menominee County; Wisconsin,102,32,30,21,71,63,55,078
2013,Outagamie County; Wisconsin,3519,2447,2028,1161,6117,985,55,087
2013,Buffalo County; Wisconsin,158,127,187,68,405,237,55,011
2013,Columbia County; Wisconsin,947,671,643,551,1736,377,55,021
2013,La Crosse County; Wisconsin,2414,1998,1464,1421,5899,999,55,063
2013,Brown County; Wisconsin,5045,4510,4017,2486,11422,1288,55,009
2013,Marathon County; Wisconsin,2004,1585,1621,1306,4435,972,55,073
2013,Oneida County; Wisconsin,352,219,354,285,1177,230,55,085
2013,Trempealeau County; Wisconsin,437,451,417,195,688,372,55,121
2013,Waukesha County; Wisconsin,5041,5072,4245,2642,12483,1404,55,133
2013,Dodge County; Wisconsin,1407,1189,831,742,2551,692,55,027
2013,Vilas County; Wisconsin,346,197,292,260,748,306,55,125
2013,Crawford County; Wisconsin,242,123,170,182,505,208,55,023
2013,Manitowoc County; Wisconsin,1061,1014,925,657,2172,785,55,071
2013,Sauk County; Wisconsin,875,1041,880,739,2553,607,55,111
2013,Burnett County; Wisconsin,203,136,146,92,539,212,55,013
2013,Chippewa County; Wisconsin,888,794,764,482,2392,526,55,017
2013,Door County; Wisconsin,454,386,372,189,914,331,55,029
2013,Fond du Lac County; Wisconsin,1875,1341,1763,904,3672,583,55,039
2013,Jackson County; Wisconsin,222,268,143,132,686,353,55,053
2013,Pepin County; Wisconsin,46,75,99,53,187,115,55,091
2013,Ozaukee County; Wisconsin,976,1158,819,722,2430,365,55,089
2013,Richland County; Wisconsin,135,199,269,129,570,298,55,103
2013,Vernon County; Wisconsin,350,315,236,177,727,332,55,123
2013,Green County; Wisconsin,481,556,417,362,1154,229,55,045
2013,Shawano County; Wisconsin,460,576,399,399,1172,385,55,115
2013,Langlade County; Wisconsin,184,172,224,195,909,201,55,067
2013,Kewaunee County; Wisconsin,153,140,184,94,436,233,55,061
2013,Eau Claire County; Wisconsin,1776,1671,1585,1171,5997,784,55,035
2013,Polk County; Wisconsin,414,426,575,375,1309,397,55,095
2013,Washburn County; Wisconsin,186,176,135,111,551,173,55,129
2013,Walworth County; Wisconsin,1526,1667,1425,1066,4830,937,55,127
2013,Juneau County; Wisconsin,298,257,217,245,748,313,55,057
2013,Washington County; Wisconsin,1879,1897,1496,929,3693,402,55,131
2013,Dane County; Wisconsin,10659,10635,9625,6660,34049,2898,55,025
2013,Douglas County; Wisconsin,724,736,775,610,2135,562,55,031
2013,Iowa County; Wisconsin,282,306,261,180,596,220,55,049
2013,Portage County; Wisconsin,1181,934,882,482,3521,630,55,097
2013,Taylor County; Wisconsin,258,206,220,172,665,247,55,119
2013,Adams County; Wisconsin,60,174,174,89,371,165,55,001
2013,Monroe County; Wisconsin,709,768,621,354,1627,592,55,081
2013,Ashland County; Wisconsin,173,227,311,148,674,125,55,003
2013,Jefferson County; Wisconsin,1110,1369,1154,782,3214,540,55,055
2013,Winnebago County; Wisconsin,4050,3119,2360,1788,7906,690,55,139
