year,county_name,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,state_fips,county_fips
2014,Churchill County; Nevada,493,436,480,202,1233,486,32,001
2014,Douglas County; Nevada,577,623,650,436,2257,464,32,005
2014,Pershing County; Nevada,96,59,58,19,232,75,32,027
2014,Eureka County; Nevada,4,17,12,9,20,85,32,011
2014,Humboldt County; Nevada,186,214,101,66,423,261,32,013
2014,White Pine County; Nevada,100,191,72,83,154,163,32,033
2014,Elko County; Nevada,883,733,228,405,1285,483,32,007
2014,Nye County; Nevada,631,455,414,512,2060,394,32,023
2014,Storey County; Nevada,0,46,0,0,18,28,32,029
2014,Clark County; Nevada,40435,43520,38524,28881,134963,16813,32,003
2014,Lyon County; Nevada,574,820,530,433,2027,385,32,019
2014,Lander County; Nevada,79,40,0,95,60,26,32,015
2014,Esmeralda County; Nevada,22,7,0,28,18,84,32,009
2014,Mineral County; Nevada,172,89,39,14,118,103,32,021
2014,Lincoln County; Nevada,127,5,98,0,237,150,32,017
2014,Washoe County; Nevada,8936,8573,7756,6394,28616,3178,32,031
2014,Carson City; Nevada,1193,1332,1184,642,3341,440,32,510
