year,county_name,housing_occupancy_total_housing_units,housing_occupancy_total_housing_units_occupied_hou,housing_occupancy_total_housing_units_vacant_housi,housing_occupancy_homeowner_vacancy_rate,housing_occupancy_rental_vacancy_rate,units_in_structure_total_housing_units,units_in_structure_total_housing_units_1_unit_deta,units_in_structure_total_housing_units_1_unit_atta,units_in_structure_total_housing_units_2_units,units_in_structure_total_housing_units_3_or_4_unit,units_in_structure_total_housing_units_5_to_9_unit,units_in_structure_total_housing_units_10_to_19_un,units_in_structure_total_housing_units_20_or_more_,units_in_structure_total_housing_units_mobile_home,units_in_structure_total_housing_units_boat_rv_van,year_structure_built_total_housing_units,year_structure_built_total_housing_units_built_201,year_structure_built_total_housing_units_built_200,year_structure_built_total_housing_units_built_199,year_structure_built_total_housing_units_built_198,year_structure_built_total_housing_units_built_197,year_structure_built_total_housing_units_built_196,year_structure_built_total_housing_units_built_195,year_structure_built_total_housing_units_built_194,year_structure_built_total_housing_units_built_193,rooms_total_housing_units,rooms_total_housing_units_1_room,rooms_total_housing_units_2_rooms,rooms_total_housing_units_3_rooms,rooms_total_housing_units_4_rooms,rooms_total_housing_units_5_rooms,rooms_total_housing_units_6_rooms,rooms_total_housing_units_7_rooms,rooms_total_housing_units_8_rooms,rooms_total_housing_units_9_rooms_or_more,rooms_total_housing_units_median_rooms,bedrooms_total_housing_units,bedrooms_total_housing_units_no_bedroom,bedrooms_total_housing_units_1_bedroom,bedrooms_total_housing_units_2_bedrooms,bedrooms_total_housing_units_3_bedrooms,bedrooms_total_housing_units_4_bedrooms,bedrooms_total_housing_units_5_or_more_bedrooms,housing_tenure_occupied_housing_units,housing_tenure_occupied_housing_units_owner_occupi,state_fips,county_fips,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra,gross_rent_as_a_percentage_of_household_income_gra
2014,Polk County; Texas,23329,17195,6134,4.0,8.6,23329,16223,260,247,218,52,51,249,5758,271,23329,308,4081,4698,4446,5386,1735,1150,574,951,23329,242,613,1722,4890,6031,5050,2651,984,1146,5.2,23329,264,1954,6392,11866,2321,532,17195,13607,48,373,233,330,379,270,1018,921
2014,Refugio County; Texas,3725,2771,954,1.9,3.3,3725,2999,50,16,26,103,0,20,506,5,3725,47,294,413,447,402,429,811,454,428,3725,56,153,334,594,1076,809,335,196,172,5.2,3725,76,432,1085,1726,366,40,2771,2154,48,391,36,17,51,64,142,189
2014,Van Zandt County; Texas,22841,18903,3938,2.7,7.1,22841,16008,165,396,357,98,78,60,5507,172,22841,417,3778,4427,3640,4592,2604,1657,627,1099,22841,505,425,1384,3726,6548,4946,2611,1337,1359,5.3,22841,588,1602,6165,11350,2640,496,18903,14749,48,467,402,392,335,232,1537,819
2014,Caldwell County; Texas,13813,12059,1754,1.8,5.1,13813,8437,186,561,342,243,189,317,3466,72,13813,294,2855,2598,2389,1839,847,770,910,1311,13813,266,324,1054,2819,3708,2524,1452,1018,648,5.2,13813,276,917,3791,6751,1848,230,12059,8007,48,055,527,387,538,328,1344,458
2014,Wilbarger County; Texas,6293,5253,1040,3.0,5.6,6293,5013,106,237,139,158,188,222,230,0,6293,128,400,315,693,976,815,1161,690,1115,6293,84,63,571,1256,1684,1152,850,428,205,5.2,6293,84,579,2464,2519,563,84,5253,3433,48,487,371,148,263,106,454,202
2014,Martin County; Texas,1837,1563,274,1.4,8.9,1837,1398,45,65,0,0,0,0,321,8,1837,32,136,250,246,273,268,405,97,130,1837,11,46,54,151,532,384,324,129,206,5.8,1837,11,83,289,1112,285,57,1563,1166,48,317,30,51,0,21,92,133
2014,Reagan County; Texas,1464,1200,264,2.4,14.0,1464,1154,0,73,5,0,0,0,232,0,1464,4,154,173,282,188,171,311,99,82,1464,22,23,118,243,377,332,201,76,72,5.4,1464,22,141,342,758,182,19,1200,872,48,383,13,25,19,0,63,57
2014,Yoakum County; Texas,2991,2594,397,0.4,7.6,2991,2335,6,76,29,23,6,0,516,0,2991,24,221,389,477,619,416,433,253,159,2991,35,101,42,637,849,676,363,197,91,5.3,2991,35,158,572,1763,393,70,2594,1964,48,501,81,41,130,23,81,172
2014,Hale County; Texas,13533,11644,1889,0.9,10.7,13533,10763,160,266,569,202,234,266,1073,0,13533,34,389,821,832,2100,3012,3124,1899,1322,13533,256,199,1067,2815,3331,3195,1361,695,614,5.2,13533,256,1253,4089,6551,1163,221,11644,7319,48,189,516,346,413,339,1159,729
2014,Shelby County; Texas,11891,9564,2327,0.8,3.8,11891,7505,112,269,280,92,17,45,3561,10,11891,282,1325,1644,1961,2229,1476,1108,972,894,11891,190,175,547,2393,3560,2539,1355,728,404,5.2,11891,190,555,3403,6434,1119,190,9564,6895,48,419,150,186,213,192,879,642
