county_name,employment_status_population_16_years_and_over,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_not,employment_status_civilian_labor_force,employment_status_civilian_labor_force_unemploymen,employment_status_females_16_years_and_over,employment_status_females_16_years_and_over_in_lab,employment_status_females_16_years_and_over_in_lab,employment_status_females_16_years_and_over_in_lab,employment_status_own_children_of_the_householder_,employment_status_own_children_of_the_householder_,employment_status_own_children_of_the_householder_,employment_status_own_children_of_the_householder_,commuting_to_work_workers_16_years_and_over,commuting_to_work_workers_16_years_and_over_car_tr,commuting_to_work_workers_16_years_and_over_car_tr,commuting_to_work_workers_16_years_and_over_public,commuting_to_work_workers_16_years_and_over_walked,commuting_to_work_workers_16_years_and_over_other_,commuting_to_work_workers_16_years_and_over_worked,commuting_to_work_workers_16_years_and_over_mean_t,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,state_fips,county_fips,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_
Apache County; Arizona,50724,21181,21169,18907,2262,12,29543,21169,-888888888,25738,10790,10785,9862,4227,1750,10929,6757,18821,15125,825,102,851,197,1721,28.1,18907,6394,3962,3935,2173,2443,18907,487,1564,300,49,1844,1332,331,326,841,7774,1334,404,2321,04,001,18907,8960,9121,786,40,21100,3601,1414,2309,2184,2506,3033,2197,2315,932,609,41438,59034,12597,73560,7800,19775,4044,26827,2332,10902,568,4788,6428,14288,1642,584,1266,1776,1866,2336,1745,1844,743,486,50074,68076,20885,6812,18818,35078,36586,51583,41906,64654,52903,21006,36525,11751,17932,2513,35803,19835,17704,14124,10111,4686,3580,2131,1394,144,1261,737,15968,11270,2300,9292,4698,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Cochise County; Arizona,102646,50749,47083,43597,3486,3666,51897,47083,-888888888,50424,22908,22399,20701,7295,4242,16735,11314,46039,34131,4212,49,1104,934,5609,23.4,43597,16760,9111,8972,4464,4290,43597,1348,3129,1620,492,5103,2642,543,1726,5053,9900,4216,2230,5595,04,003,43597,29019,11107,3446,25,50982,3168,2919,4364,4416,6592,9411,6189,7788,3888,2247,59742,78017,31499,78705,22753,22661,17524,32281,3138,10933,1583,5311,7575,31210,1290,929,1236,2172,3543,5964,4824,5825,3429,1998,77125,94081,33002,19772,36814,49730,36585,59286,47340,117980,108186,71510,63807,9794,27389,2456,59735,41701,38493,34106,27970,10089,4387,3208,2495,679,1937,713,18034,15940,8294,9972,2094,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Coconino County; Arizona,119681,74732,74556,70346,4210,176,44949,74556,-888888888,61017,36585,36556,34577,7678,5363,18612,13776,68933,44800,7452,1008,4967,1782,8924,19.3,70346,29080,15278,12840,5574,7574,70346,783,4802,5564,733,7502,3438,782,3090,6087,19758,11405,2604,3798,04,005,70346,50791,15597,3753,205,55118,3375,2016,3553,4443,5738,9154,7019,8975,5021,5824,72966,101845,43734,97915,15119,25367,12851,37480,2503,11353,1127,5693,5857,31749,1178,374,1583,1896,2823,4211,4328,6425,4024,4907,94618,124081,38920,23369,47671,66783,37260,59146,52050,143817,127972,91944,51545,15845,32904,2652,90099,67834,64213,55802,48995,8695,8411,3621,2648,1373,1511,973,22265,18571,10467,9039,3694,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Gila County; Arizona,44798,21150,21024,19541,1483,126,23648,21024,-888888888,22555,9809,9809,9314,2914,2033,5758,3871,19179,12815,3225,35,438,324,2342,21.9,19541,6302,4520,3982,2643,2094,19541,1371,1867,803,309,2060,1045,206,682,1692,4602,2504,795,1605,04,007,19541,13374,4490,1611,66,23645,1597,874,1962,1957,3031,4948,3443,3215,1266,1352,61986,79972,13623,84306,12262,25140,9197,25467,1446,10725,784,3851,3455,14375,417,258,618,925,1935,3061,2560,2356,1096,1149,74825,96534,35047,9270,37180,48560,38655,60135,45590,52766,46989,28936,29018,5777,10407,1636,26008,18371,16998,14605,12562,3342,2393,1373,847,368,479,526,7637,6468,2772,4374,1169,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Graham County; Arizona,30250,16141,16141,14898,1243,0,14109,16141,-888888888,13985,7074,7074,6650,2721,1744,6743,4213,14690,11514,2062,11,322,195,586,22.8,14898,4523,3328,2718,2658,1671,14898,2178,1286,302,164,1749,677,74,607,1010,3536,1507,538,1270,04,009,14898,11136,2901,758,103,12746,914,577,851,1203,1188,2265,1807,2279,1065,597,67325,81203,9197,86539,4756,22160,3373,25727,862,11019,382,4566,2073,8976,455,289,402,645,682,1698,1376,1926,986,517,79726,92366,27149,3770,34191,48182,36488,62570,46357,36627,33096,22140,16694,3531,10593,761,20471,14756,13670,11884,10062,2543,1786,1086,691,250,511,395,5715,5126,2373,3254,589,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Greenlee County; Arizona,7305,4072,4072,3977,95,0,3233,4072,-888888888,3319,1361,1361,1320,644,245,1709,991,3972,3484,348,0,99,4,37,19.1,3977,1350,565,352,1208,502,3977,1708,255,99,9,124,44,14,95,154,884,106,249,236,04,011,3977,3213,724,40,0,3591,121,98,416,183,300,717,833,592,110,221,71164,83384,2755,90457,1051,20458,792,22880,167,12020,14,1729,205,2292,51,30,148,79,119,516,624,446,79,200,79186,97256,32045,1299,39458,55777,54413,70159,46779,9382,9106,7768,2295,276,2428,28,5625,3883,3801,3599,3458,364,202,82,76,76,0,6,1742,1702,1351,539,40,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
La Paz County; Arizona,14430,6190,6166,5547,619,24,8240,6166,-888888888,7082,2862,2862,2548,614,353,1517,1279,5435,3977,590,6,196,67,599,13.2,5547,1591,1401,1215,768,572,5547,392,481,163,86,528,345,54,283,411,1104,912,135,653,04,012,5547,3325,1735,487,0,8959,675,367,1079,1022,1404,1692,1077,885,361,397,49478,68060,4686,77012,5205,23752,2902,25550,667,12180,227,2067,1036,5397,202,137,435,641,783,1137,763,728,317,254,59933,80589,34376,3562,33086,46167,37452,51917,45693,16570,14793,9118,10114,1777,2560,332,6821,5125,4567,3805,3254,788,762,558,330,155,177,228,1696,1283,668,733,413,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Maricopa County; Arizona,3658586,2380602,2373071,2265286,107785,7531,1277984,2373071,-888888888,1850798,1099486,1098315,1046646,297089,197690,676039,473847,2235381,1448090,212165,25884,30483,54401,464358,26.0,2265286,979042,349784,505876,183474,247110,2265286,12288,178734,179195,49615,266773,135247,38527,236748,302623,475997,204631,99657,85251,04,013,2265286,1869042,262709,129496,4039,1730696,74839,37468,79726,95527,165332,274781,233781,340906,183820,244516,89300,120016,1375568,120647,505608,26301,410717,33814,59135,11911,37327,4656,148499,1122345,32901,13466,31949,45837,88193,160711,154942,250115,143412,200819,105249,137721,46183,608351,57928,80129,48637,66351,55871,4517431,4039012,3008101,1509363,478419,1084009,90572,2702224,2172857,2080349,1819472,1658123,218430,260877,92508,70504,39004,34393,22004,529367,432667,269558,192804,96700,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Mohave County; Arizona,189002,84091,83988,77898,6090,103,104911,83988,-888888888,93543,39918,39906,37417,9579,6135,23130,16710,76463,58039,8230,197,980,2078,6939,19.9,77898,24381,16984,18125,7822,10586,77898,1048,6730,4429,1070,10285,4527,804,5423,7284,16213,11176,4397,4512,04,015,77898,59703,11820,5895,480,101973,6636,4186,9511,10430,13413,19634,12953,14466,4977,5767,57684,79027,57331,82834,54701,25203,37152,30864,6003,11984,2286,4074,13386,62447,2522,1712,3316,4765,8151,12962,9303,10911,4208,4597,70608,92220,35963,39526,34727,52884,37372,53457,46731,216573,196012,120905,120171,20561,37596,3689,107753,73876,68760,57561,48094,12016,11199,5116,3777,1108,2809,1339,33877,29829,14837,17999,4048,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Navajo County; Arizona,84125,38520,38520,35111,3409,0,45605,38520,-888888888,41976,18641,18641,17291,6919,3789,17173,10561,34578,26742,2907,137,1137,474,3181,25.0,35111,12172,7160,7200,4987,3592,35111,915,3692,855,379,4330,1901,238,1441,1919,11451,3719,1105,3166,04,017,35111,22318,10434,2327,32,40063,3979,2301,3382,3877,4927,7514,5362,5133,2244,1344,54606,68865,25516,72744,15657,24962,11128,28297,3665,10796,1393,3778,8879,27850,1904,1147,1813,2514,3238,5384,4339,4394,1900,1217,63946,78549,25210,12213,31788,42158,36275,52926,44309,106124,89245,46567,55065,16879,28722,4849,55903,35154,32039,25819,20613,6703,6220,3115,2357,358,2012,758,20749,16012,5206,11641,4737,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
