county_name,employment_status_population_16_years_and_over,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_not,employment_status_civilian_labor_force,employment_status_civilian_labor_force_unemploymen,employment_status_females_16_years_and_over,employment_status_females_16_years_and_over_in_lab,employment_status_females_16_years_and_over_in_lab,employment_status_females_16_years_and_over_in_lab,employment_status_own_children_of_the_householder_,employment_status_own_children_of_the_householder_,employment_status_own_children_of_the_householder_,employment_status_own_children_of_the_householder_,commuting_to_work_workers_16_years_and_over,commuting_to_work_workers_16_years_and_over_car_tr,commuting_to_work_workers_16_years_and_over_car_tr,commuting_to_work_workers_16_years_and_over_public,commuting_to_work_workers_16_years_and_over_walked,commuting_to_work_workers_16_years_and_over_other_,commuting_to_work_workers_16_years_and_over_worked,commuting_to_work_workers_16_years_and_over_mean_t,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,state_fips,county_fips,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_
Acadia Parish; Louisiana,44040,24292,24292,22417,1875,0,19748,24292,-888888888,22843,11392,11392,10434,4813,3659,9220,6405,22198,18309,1808,23,415,365,1278,29.4,22417,6230,4538,5030,3455,3164,22417,1613,1934,1594,354,2539,1194,205,1344,1825,5530,2324,1240,721,22,001,22417,17539,2794,1989,95,22099,2138,2137,2412,1895,3408,2932,2514,2748,1022,893,45562,66194,14748,76858,7592,19906,3809,23327,2566,11027,267,4566,5390,13902,895,691,998,1023,2141,1783,2074,2587,883,827,65516,83662,26490,8197,23394,32895,35686,54547,37915,56319,52735,29098,29514,3584,15377,378,32014,21905,20253,17984,14314,4353,2269,1652,1350,274,1098,302,10109,9474,3801,6230,635,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Allen Parish; Louisiana,18040,8557,8550,7713,837,7,9483,8550,-888888888,7745,4025,4025,3691,1705,1345,3231,2189,7665,6345,512,91,157,39,521,26.2,7713,2000,2314,1152,1150,1097,7713,182,735,923,169,483,365,151,155,391,1976,1063,468,652,22,003,7713,5566,1417,722,8,7854,788,561,889,895,1043,1252,870,837,586,133,46469,62329,5319,65791,2314,19855,1955,30730,680,12246,93,1366,2080,5200,493,114,468,444,630,1028,643,732,546,102,59226,73481,23398,2654,26495,38151,27410,51755,39159,19127,17755,9715,10602,1372,5551,72,10542,7601,6920,6113,4563,1976,807,681,466,151,318,215,2941,2698,1087,1793,243,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Ascension Parish; Louisiana,99607,68239,68032,65022,3010,207,31368,68032,-888888888,51092,32229,32200,30438,9893,8260,22555,17745,64195,52413,5049,232,518,296,5687,30.2,65022,26064,9207,13907,7048,8796,65022,797,6572,8648,1970,6579,3137,1095,3581,5694,14436,4617,3484,4412,22,005,65022,51752,9732,3475,63,47656,1534,1420,2893,2648,4574,6609,5842,9111,6033,6992,91549,113485,39375,115780,11907,24611,10283,32396,2032,12188,938,6448,5793,35527,702,550,1404,1393,2944,4696,4297,7605,5512,6424,110984,128706,42258,12129,47739,61734,51648,81390,51489,129357,121301,89580,43208,8056,35893,1015,76874,62898,60212,55046,49818,7215,5166,2686,2389,555,1834,297,13976,12496,7515,5696,1480,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Assumption Parish; Louisiana,16925,9290,9261,8819,442,29,7635,9261,-888888888,8712,4522,4522,4377,1232,935,2892,2316,8622,7308,715,80,109,37,373,29.2,8819,2412,1051,2171,1610,1575,8819,317,1517,1249,82,1105,641,117,246,632,2040,233,365,275,22,007,8819,7135,1323,361,0,8830,688,638,717,848,1380,1504,946,1062,540,507,51423,76369,6014,89514,3257,22265,1730,20493,541,12542,219,3251,1755,5869,237,128,232,539,834,1104,805,995,497,498,73577,97002,31516,2961,24875,33593,41310,61819,40073,20317,18561,11044,9632,1756,4429,20,11772,8605,8176,7108,5964,1356,1068,429,198,97,101,231,3167,2730,1165,1798,437,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Avoyelles Parish; Louisiana,30626,15212,15133,14085,1048,79,15414,15133,-888888888,15305,7413,7401,6801,2865,2289,5755,4203,13967,11522,836,0,319,522,768,36.3,14085,4299,3672,2348,2278,1488,14085,780,1640,793,310,1448,467,141,569,973,3842,1348,695,1079,22,009,14085,10139,2743,1192,11,14441,1103,1575,2028,1816,1854,1876,1496,1757,483,453,39325,62189,9765,66973,5351,18220,3455,26807,1188,9446,162,4394,4032,9017,618,665,947,1048,1142,1342,1117,1415,411,312,50844,71706,25028,5424,25478,43772,31970,45984,35253,36286,33643,15684,22618,2643,9744,255,20122,13806,12777,11292,7823,4275,1485,1029,873,154,726,156,6316,5577,1404,4451,739,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Beauregard Parish; Louisiana,28436,15912,15583,14520,1063,329,12524,15583,-888888888,13967,6756,6702,6190,2854,1356,5680,3156,14578,12143,1497,4,108,236,590,33.2,14520,5125,1861,2514,2427,2593,14520,606,1525,1971,121,1898,885,147,421,1175,3116,786,1089,780,22,011,14520,11314,2468,710,28,13747,581,396,1420,1265,1651,2357,1503,2272,1533,769,65944,86451,9933,90939,4618,22880,3926,28066,866,10983,203,4500,2411,9410,258,151,746,556,910,1717,1278,1845,1278,671,81514,99836,33625,4337,38568,53823,42014,77143,39480,35354,32363,21937,16188,2991,9729,838,19768,14322,13337,11932,10103,2730,1405,985,857,359,687,128,5446,4861,2672,2859,585,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Bienville Parish; Louisiana,10159,4754,4723,4427,296,31,5405,4723,-888888888,5219,2065,2034,1879,763,515,1516,873,4408,3669,335,0,71,31,302,29.6,4427,1039,1024,711,745,908,4427,317,370,635,18,540,236,34,136,208,1091,224,327,291,22,013,4427,3116,997,314,0,5556,488,591,1107,591,716,789,466,476,198,134,35011,59588,3244,70575,2267,17720,1281,24606,702,9735,113,2879,1274,3057,114,215,446,275,385,605,340,402,154,121,55266,80609,26797,2499,21376,33233,29848,39807,33333,12297,11237,5946,7287,1060,2937,29,6818,4356,4077,3513,2725,1139,564,279,242,9,240,37,2462,2037,820,1370,425,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Bossier Parish; Louisiana,100976,62566,58324,54870,3454,4242,38410,58324,-888888888,51494,29646,28748,26855,9574,6735,21341,15371,58335,48476,3895,429,458,647,4430,22.7,54870,23009,9633,11052,5119,6057,54870,1474,4182,3547,1058,6771,3083,840,2645,5166,14241,4913,3150,3800,22,015,54870,42595,9433,2725,117,50826,2392,2785,3079,3829,6401,8732,6981,8599,4114,3914,69617,93201,39192,92199,14911,21814,12642,34544,3237,11841,790,3708,5389,31981,1045,742,1106,1845,3162,5272,4847,7411,3404,3147,88839,111078,37533,18845,42212,58781,43705,62027,50033,123831,112054,79718,50989,11777,33688,2704,70672,53417,50355,44432,38656,8583,5923,3062,2595,764,2003,467,17255,14681,7954,8547,2574,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Caddo Parish; Louisiana,182649,103915,103379,94372,9007,536,78734,103379,-888888888,97847,54146,54046,49443,16440,11671,33919,26223,93076,74478,8427,1015,893,2170,6093,20.4,94372,36264,19550,19736,6425,12397,94372,2328,4721,4832,2451,11383,5906,1069,5282,9439,26902,8772,5848,5439,22,017,94372,72030,16816,5168,358,95771,7323,6936,12591,8226,12233,15876,10189,11654,4805,5938,50705,77319,68349,79601,32675,19800,21939,27912,8748,11086,1893,4071,20674,56367,2765,2164,5199,4199,6716,9621,7403,8889,4278,5133,67325,97041,33434,39404,30394,46760,36049,54380,42146,225207,208459,118839,122306,16748,56683,2428,127059,92238,84328,75658,60436,20684,8670,7910,6289,1874,4727,1621,34821,30917,11348,22052,3904,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Calcasieu Parish; Louisiana,160881,98077,97881,92561,5320,196,62804,97881,-888888888,83192,46943,46859,44362,15121,10448,32875,24078,91444,73742,9513,227,1424,1402,5136,21.1,92561,34340,16770,18775,10711,11965,92561,1591,9436,9990,1391,10517,5292,801,4605,7211,23671,8957,4612,4487,22,019,92561,73090,13887,5567,17,77957,4942,3359,6923,5811,8573,13040,9514,12306,6387,7102,67564,93518,58704,97883,26188,22939,17893,25878,4301,11494,1347,4990,12201,50387,1991,1035,3037,3115,4709,8184,6851,9626,5643,6196,85540,113005,36113,27570,39073,54863,40517,66417,43454,205265,189743,125710,89240,15522,53532,2327,119081,89343,84481,75713,65500,13619,8768,4862,3806,1244,2704,1056,29738,26579,13457,15689,3159,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
