county_name,employment_status_population_16_years_and_over,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_not,employment_status_civilian_labor_force,employment_status_civilian_labor_force_unemploymen,employment_status_females_16_years_and_over,employment_status_females_16_years_and_over_in_lab,employment_status_females_16_years_and_over_in_lab,employment_status_females_16_years_and_over_in_lab,employment_status_own_children_of_the_householder_,employment_status_own_children_of_the_householder_,employment_status_own_children_of_the_householder_,employment_status_own_children_of_the_householder_,commuting_to_work_workers_16_years_and_over,commuting_to_work_workers_16_years_and_over_car_tr,commuting_to_work_workers_16_years_and_over_car_tr,commuting_to_work_workers_16_years_and_over_public,commuting_to_work_workers_16_years_and_over_walked,commuting_to_work_workers_16_years_and_over_other_,commuting_to_work_workers_16_years_and_over_worked,commuting_to_work_workers_16_years_and_over_mean_t,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and,state_fips,county_fips,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_
Allegany County; Maryland,56594,28211,28176,26769,1407,35,28383,28176,-888888888,26825,12873,12860,12320,3807,2299,7507,4875,26253,20650,2187,91,664,266,2395,22.7,26769,9478,6064,5488,2086,3653,26769,375,1280,2360,491,3598,1614,216,1083,2101,7163,2537,1564,2387,24,001,26769,19298,6084,1336,51,27382,1753,1582,2406,2498,3357,5213,3554,4276,1816,927,59603,74712,17748,79080,10975,23786,8971,27891,2105,10248,976,3435,5751,15656,645,310,665,1223,1972,3185,2132,3180,1548,796,72219,90893,31210,11726,36231,49857,37082,60266,46222,62684,60313,40670,31254,2371,12945,315,36244,25764,24556,23262,19616,4751,1294,1208,928,350,686,280,10480,10016,5115,5914,464,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Anne Arundel County; Maryland,479254,332792,318663,306806,11857,14129,146462,318663,-888888888,242565,156907,153835,148243,40861,30153,87490,69920,316236,221445,21611,4915,5970,3939,58356,28.9,306806,160292,40627,58899,24194,22794,306806,622,24528,14044,7347,28179,15632,5617,17861,52716,65444,22356,14895,37565,24,003,306806,221471,70536,14542,257,224748,6820,2224,6378,7311,13334,23963,26849,46853,34766,56250,124911,156835,185459,154303,61470,27415,63897,46546,6854,12884,3883,4343,14710,153810,2756,910,2261,3552,7295,13000,16131,32963,26809,48133,147004,178576,59733,70938,79778,101984,65006,89782,74107,576539,549170,464230,171755,27369,140608,3725,342825,288099,277485,260865,243807,28226,16620,10614,9123,5334,4190,1491,54726,49977,36529,17981,4749,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Baltimore County; Maryland,687001,451798,450938,428901,22037,860,235203,450938,-888888888,366100,227298,226914,215876,55185,39431,121204,96967,421668,292861,32848,10588,8159,7495,69717,28.0,428901,208448,66384,82124,26874,45071,428901,1563,25287,24783,8333,43271,26316,6616,30221,58069,118599,30763,20242,34838,24,005,428901,327381,81857,18932,731,332801,15541,6761,16469,18925,30042,48430,43154,62902,37790,52787,91768,122863,262200,125490,105293,25102,89708,33695,14091,11719,8729,4249,37563,210078,4926,2530,6413,8480,15162,26369,25931,44287,30658,45322,115600,148047,49074,122723,58300,74119,53480,76109,64860,843930,798057,615154,309740,45873,198314,9850,495491,404618,385210,361965,327697,47449,23245,19408,16871,9431,8588,2537,90873,82028,50250,39287,8845,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Calvert County; Maryland,75217,50107,48995,47678,1317,1112,25110,48995,-888888888,37924,22890,22632,22003,5899,4456,15402,11466,48386,35102,2904,596,425,406,8953,39.3,47678,24357,6617,7898,5154,3652,47678,110,5568,1924,820,4048,2844,929,1698,6357,9877,3171,2333,7999,24,009,47678,31349,13768,2462,99,33465,717,416,962,819,1703,3055,3841,7333,5791,8828,133922,158598,27104,155947,9800,26191,11812,47522,1252,13154,398,3276,1696,25206,149,95,339,401,936,2017,2885,5399,4857,8128,153416,178668,57710,8259,76284,89816,68089,97236,75048,92810,89980,78104,25899,2830,22991,503,54631,44016,43025,41335,39311,3330,1690,991,878,650,236,113,10615,10103,7625,3395,512,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Caroline County; Maryland,26694,16933,16921,15959,962,12,9761,16921,-888888888,13704,8174,8174,7596,2407,1548,5159,3512,15703,12938,1063,42,177,395,1088,33.4,15959,4829,3035,3231,2673,2191,15959,703,2203,1152,356,2102,988,122,509,1522,3249,837,994,1222,24,011,15959,12176,2749,1003,31,12495,415,492,992,1131,1470,2277,1852,2063,1007,796,68457,87383,9742,87740,4230,23685,2872,23061,683,11591,511,4437,2202,8319,201,158,398,585,845,1500,1378,1697,852,705,84250,100551,34341,4176,43264,56606,42238,61233,48606,33333,30895,18764,16940,2438,8396,377,19296,15294,14454,12921,10491,3282,1533,840,742,232,593,98,4002,3630,1319,2616,372,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Carroll County; Maryland,141867,95948,95243,91941,3302,705,45919,95243,-888888888,72009,44815,44654,43458,11581,8553,26157,21669,91064,67334,6081,287,941,691,15730,34.4,91941,46174,13269,15918,9202,7378,91941,1059,9087,5793,1855,8601,3439,1515,6385,13276,22578,5914,4413,8026,24,013,91941,68633,18103,5018,187,64285,1800,780,2334,2961,4203,7193,7537,13173,9450,14854,118211,142587,51238,147368,20208,27226,18832,36675,1481,11728,764,4791,3352,47616,786,354,1025,796,1910,4561,5379,10536,8536,13733,141767,163997,53124,16669,53995,73692,61750,89707,71345,172747,167736,145992,47666,5011,40544,734,101773,85564,82751,79959,75860,5849,2792,2813,2486,1983,612,327,16209,15114,10858,5254,1095,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Cecil County; Maryland,84717,52798,52684,49805,2879,114,31919,52684,-888888888,42937,24298,24298,23055,6876,4460,15333,11392,49031,36928,4163,138,1002,731,6069,28.5,49805,20438,6370,10088,5563,7346,49805,637,3947,5568,885,5704,3455,476,2912,5183,10119,3765,2232,4922,24,015,49805,37466,10113,2166,60,40595,1699,820,2404,2201,3844,5612,5059,8601,5321,5034,92007,112022,31401,114046,13095,25103,11707,33120,2393,12953,1490,2625,5452,28230,1118,409,818,1146,2067,3257,3680,6723,4491,4521,110974,127096,43250,12365,53946,69502,56681,77876,60856,103637,99898,75140,39114,3739,24556,731,61699,48075,45369,43751,39928,5737,1618,2706,2324,1343,1059,382,13624,12677,7070,6734,947,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Charles County; Maryland,135202,94138,92148,87682,4466,1990,41064,92148,-888888888,71078,47265,46979,44614,11151,8661,28049,22623,88013,61756,7444,2165,726,1460,14462,41.4,87682,41176,13995,16855,7111,8545,87682,264,6124,2248,1171,7998,5710,1068,4616,12446,17747,6383,4450,17457,24,017,87682,53402,31036,3037,207,60875,2345,1323,1920,1706,2900,6795,6656,13931,9223,14076,122816,141768,50184,140497,15844,23370,18301,45245,2578,12628,1536,5039,5885,43192,662,545,792,704,1652,4293,4252,9973,8136,12183,140298,160610,51110,17683,71345,84644,63484,80416,76060,167695,159928,135944,50898,7767,43012,1637,101714,84517,80815,76981,71750,10507,3834,3702,3144,1970,1226,558,17197,15522,11338,6279,1675,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Dorchester County; Maryland,26682,15653,15647,14753,894,6,11029,15647,-888888888,14400,7921,7921,7554,2106,1571,4342,3552,14562,11463,1507,3,277,254,1058,26.9,14753,4639,3335,2849,1742,2188,14753,592,1234,1207,211,1694,900,181,535,1568,3311,1660,789,871,24,019,14753,10614,2915,1157,67,13546,1008,673,1056,1098,1726,2362,1621,1894,1204,904,61839,84771,9359,89577,5243,23835,3884,26865,764,12372,607,4857,2849,8321,348,170,359,526,1087,1349,1280,1660,836,706,82768,100588,35605,5225,35116,54750,40013,57485,47206,32441,30643,18458,18077,1798,7226,241,17813,13586,12851,11715,8992,3093,1136,735,663,178,485,72,4227,3919,1497,2914,308,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Frederick County; Maryland,227511,158994,157379,152168,5211,1615,68517,157379,-888888888,115657,74401,74100,71162,19827,14207,45547,34609,151629,102326,10928,1626,2666,1990,32093,33.1,152168,79871,20326,27266,12060,12645,152168,1396,13178,9153,2363,14747,5500,3089,8714,28045,33021,10786,7787,14389,24,021,152168,112603,32577,6704,284,104635,2835,1745,3040,4031,5250,11943,12669,21206,16202,25714,122002,148300,87663,147047,28364,26679,26089,42266,3353,11373,2040,4540,7732,75260,1426,750,1104,1797,2561,7220,8739,15391,13463,22809,145108,167137,54982,29375,72461,90445,62712,90794,75426,283884,270527,228595,79446,13357,70452,1959,170490,143027,138462,130686,122799,12040,7776,4565,3965,2616,1476,600,27463,24701,18026,8839,2762,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
