county_name,county_fips,employment_status_population_16_years_and_over,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_.1,employment_status_population_16_years_and_over_in_.2,employment_status_population_16_years_and_over_in_.3,employment_status_population_16_years_and_over_in_.4,employment_status_population_16_years_and_over_not,employment_status_civilian_labor_force,employment_status_civilian_labor_force_unemploymen,employment_status_females_16_years_and_over,employment_status_females_16_years_and_over_in_lab,employment_status_females_16_years_and_over_in_lab.1,employment_status_females_16_years_and_over_in_lab.2,employment_status_own_children_of_the_householder_,employment_status_own_children_of_the_householder_.1,employment_status_own_children_of_the_householder_.2,employment_status_own_children_of_the_householder_.3,commuting_to_work_workers_16_years_and_over,commuting_to_work_workers_16_years_and_over_car_tr,commuting_to_work_workers_16_years_and_over_car_tr.1,commuting_to_work_workers_16_years_and_over_public,commuting_to_work_workers_16_years_and_over_walked,commuting_to_work_workers_16_years_and_over_other_,commuting_to_work_workers_16_years_and_over_worked,commuting_to_work_workers_16_years_and_over_mean_t,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a.1,occupation_civilian_employed_population_16_years_a.2,occupation_civilian_employed_population_16_years_a.3,occupation_civilian_employed_population_16_years_a.4,occupation_civilian_employed_population_16_years_a.5,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and.1,industry_civilian_employed_population_16_years_and.2,industry_civilian_employed_population_16_years_and.3,industry_civilian_employed_population_16_years_and.4,industry_civilian_employed_population_16_years_and.5,industry_civilian_employed_population_16_years_and.6,industry_civilian_employed_population_16_years_and.7,industry_civilian_employed_population_16_years_and.8,industry_civilian_employed_population_16_years_and.9,industry_civilian_employed_population_16_years_and.10,industry_civilian_employed_population_16_years_and.11,industry_civilian_employed_population_16_years_and.12,industry_civilian_employed_population_16_years_and.13,state_fips,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye.1,class_of_worker_civilian_employed_population_16_ye.2,class_of_worker_civilian_employed_population_16_ye.3,class_of_worker_civilian_employed_population_16_ye.4,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol.1,income_and_benefits_in_2024_inflation_adjusted_dol.2,income_and_benefits_in_2024_inflation_adjusted_dol.3,income_and_benefits_in_2024_inflation_adjusted_dol.4,income_and_benefits_in_2024_inflation_adjusted_dol.5,income_and_benefits_in_2024_inflation_adjusted_dol.6,income_and_benefits_in_2024_inflation_adjusted_dol.7,income_and_benefits_in_2024_inflation_adjusted_dol.8,income_and_benefits_in_2024_inflation_adjusted_dol.9,income_and_benefits_in_2024_inflation_adjusted_dol.10,income_and_benefits_in_2024_inflation_adjusted_dol.11,income_and_benefits_in_2024_inflation_adjusted_dol.12,income_and_benefits_in_2024_inflation_adjusted_dol.13,income_and_benefits_in_2024_inflation_adjusted_dol.14,income_and_benefits_in_2024_inflation_adjusted_dol.15,income_and_benefits_in_2024_inflation_adjusted_dol.16,income_and_benefits_in_2024_inflation_adjusted_dol.17,income_and_benefits_in_2024_inflation_adjusted_dol.18,income_and_benefits_in_2024_inflation_adjusted_dol.19,income_and_benefits_in_2024_inflation_adjusted_dol.20,income_and_benefits_in_2024_inflation_adjusted_dol.21,income_and_benefits_in_2024_inflation_adjusted_dol.22,income_and_benefits_in_2024_inflation_adjusted_dol.23,income_and_benefits_in_2024_inflation_adjusted_dol.24,income_and_benefits_in_2024_inflation_adjusted_dol.25,income_and_benefits_in_2024_inflation_adjusted_dol.26,income_and_benefits_in_2024_inflation_adjusted_dol.27,income_and_benefits_in_2024_inflation_adjusted_dol.28,income_and_benefits_in_2024_inflation_adjusted_dol.29,income_and_benefits_in_2024_inflation_adjusted_dol.30,income_and_benefits_in_2024_inflation_adjusted_dol.31,income_and_benefits_in_2024_inflation_adjusted_dol.32,income_and_benefits_in_2024_inflation_adjusted_dol.33,income_and_benefits_in_2024_inflation_adjusted_dol.34,income_and_benefits_in_2024_inflation_adjusted_dol.35,income_and_benefits_in_2024_inflation_adjusted_dol.36,income_and_benefits_in_2024_inflation_adjusted_dol.37,income_and_benefits_in_2024_inflation_adjusted_dol.38,income_and_benefits_in_2024_inflation_adjusted_dol.39,income_and_benefits_in_2024_inflation_adjusted_dol.40,income_and_benefits_in_2024_inflation_adjusted_dol.41,income_and_benefits_in_2024_inflation_adjusted_dol.42,income_and_benefits_in_2024_inflation_adjusted_dol.43,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona.1,health_insurance_coverage_civilian_noninstitutiona.2,health_insurance_coverage_civilian_noninstitutiona.3,health_insurance_coverage_civilian_noninstitutiona.4,health_insurance_coverage_civilian_noninstitutiona.5,health_insurance_coverage_civilian_noninstitutiona.6,health_insurance_coverage_civilian_noninstitutiona.7,health_insurance_coverage_civilian_noninstitutiona.8,health_insurance_coverage_civilian_noninstitutiona.9,health_insurance_coverage_civilian_noninstitutiona.10,health_insurance_coverage_civilian_noninstitutiona.11,health_insurance_coverage_civilian_noninstitutiona.12,health_insurance_coverage_civilian_noninstitutiona.13,health_insurance_coverage_civilian_noninstitutiona.14,health_insurance_coverage_civilian_noninstitutiona.15,health_insurance_coverage_civilian_noninstitutiona.16,health_insurance_coverage_civilian_noninstitutiona.17,health_insurance_coverage_civilian_noninstitutiona.18,health_insurance_coverage_civilian_noninstitutiona.19,health_insurance_coverage_civilian_noninstitutiona.20,health_insurance_coverage_civilian_noninstitutiona.21,health_insurance_coverage_civilian_noninstitutiona.22,health_insurance_coverage_civilian_noninstitutiona.23,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_.1,percentage_of_families_and_people_whose_income_in_.2,percentage_of_families_and_people_whose_income_in_.3,percentage_of_families_and_people_whose_income_in_.4,percentage_of_families_and_people_whose_income_in_.5,percentage_of_families_and_people_whose_income_in_.6,percentage_of_families_and_people_whose_income_in_.7,percentage_of_families_and_people_whose_income_in_.8,percentage_of_families_and_people_whose_income_in_.9,percentage_of_families_and_people_whose_income_in_.10,percentage_of_families_and_people_whose_income_in_.11,percentage_of_families_and_people_whose_income_in_.12,percentage_of_families_and_people_whose_income_in_.13,percentage_of_families_and_people_whose_income_in_.14,percentage_of_families_and_people_whose_income_in_.15,percentage_of_families_and_people_whose_income_in_.16,percentage_of_families_and_people_whose_income_in_.17,percentage_of_families_and_people_whose_income_in_.18
Barnstable County; Massachusetts,25001,203683,118691,117962,112042,5920,729,84992,117962,-888888888,106605,57771,57610,54883,9384,6738,21661,17837,109841,79236,7659,1308,2095,1957,17586,24.8,112042,51210,20429,21102,11027,8274,112042,849,10624,5498,2260,13194,4128,1866,6975,16792,27373,11656,5204,5623,25,112042,86888,14958,9998,198,105777,4172,2707,5359,5971,8762,14847,13270,18520,12876,19293,95241,134349,72854,129397,49171,27076,40166,45026,4754,12836,2991,5503,9959,65212,1069,494,1411,1846,3870,7706,8618,13392,11043,15763,124710,166816,62086,40565,55199,78698,51503,82165,70105,229082,222993,170471,111769,6089,35050,584,118727,96651,91917,88269,77024,15689,3648,4734,4278,2580,2087,456,22076,21027,13730,9300,1049,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Berkshire County; Massachusetts,25003,111519,67495,67495,63877,3618,0,44024,67495,-888888888,57369,33528,33528,32054,5794,4509,13508,11150,62234,44326,4398,912,3014,744,8840,21.2,63877,30108,11920,10708,5009,6132,63877,675,3738,4875,855,6843,2508,1209,3441,6565,20884,5674,3947,2663,25,63877,49508,8670,5646,53,57585,2812,2108,4531,4319,5861,8848,7498,9782,4826,7000,76013,108456,40464,108843,23475,24152,18462,33683,3704,11042,1963,4398,9512,32639,872,485,1150,1246,2839,4524,5117,6840,3958,5608,100589,138315,49365,24946,43418,65435,44419,69794,60292,127726,125588,90305,59964,2138,22609,114,73720,57698,54489,53337,45361,10478,1152,3209,2892,1391,1633,317,16022,15543,8233,8844,479,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Bristol County; Massachusetts,25005,477382,311337,310909,293926,16983,428,166045,310909,-888888888,246508,151868,151846,144421,33703,25438,80398,62861,287109,214027,26128,5337,5747,3903,31967,28.5,293926,117977,51215,57789,29614,37331,293926,1860,25121,30374,8317,34822,14097,3788,17939,31530,75408,23473,14661,12536,25,293926,241227,38685,13658,356,233825,10335,9262,16864,14689,21697,32583,26837,43080,25941,32537,85625,111532,179340,116712,75418,22309,57492,30240,17234,12201,9932,5060,46290,151204,4404,2721,5982,7296,10874,19445,18206,32185,21687,28404,110087,133813,44757,82621,44916,62829,50991,75287,62355,576931,557969,389460,249736,18962,126583,2169,350016,280503,266065,254181,214911,48731,11884,14438,12906,6269,7252,1532,69513,66445,30144,41920,3068,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Dukes County; Massachusetts,25007,17910,12057,12053,11262,791,4,5853,12053,-888888888,9183,5744,5744,5395,626,551,2355,2184,11021,6678,897,167,778,124,2377,16.4,11262,5268,2177,1611,1319,887,11262,366,1605,467,42,906,177,239,590,2546,2280,1364,489,191,25,11262,7895,1354,1959,54,7584,174,67,323,414,330,1106,748,1404,1176,1842,125786,205357,5959,175965,3025,32523,2504,28450,234,10857,107,6901,503,4835,27,0,73,143,240,481,551,871,968,1481,154669,255689,79756,2749,69173,96793,59085,91589,75145,20832,20385,13988,10074,447,3684,83,11648,10023,9301,9047,6716,2606,254,722,652,319,381,70,1625,1585,942,879,40,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Essex County; Massachusetts,25009,664590,448516,448303,425405,22898,213,216074,448303,-888888888,345783,220870,220830,210435,50481,38943,111698,89251,415471,280866,30137,14739,11123,10370,68236,28.5,425405,196529,68563,82302,30682,47329,425405,1865,27363,45495,8533,43100,21851,7108,29687,62369,108509,33021,19072,17432,25,425405,349190,51464,24373,378,313147,12446,11201,18114,15903,23835,38084,34458,55575,37681,65850,101883,140098,246146,145220,99478,24487,71232,38203,17387,10943,14002,4863,51931,206812,4675,2933,6262,8137,13088,22881,22196,39297,30001,57342,128792,167108,54665,106335,54999,80304,54607,84679,67485,807007,784558,567974,327299,22449,179826,2710,480820,397206,377782,364778,311287,65625,13004,19424,17869,9072,9430,1555,83614,79313,41257,44106,4301,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Franklin County; Massachusetts,25011,60698,37877,37864,35826,2038,13,22821,37864,-888888888,31071,18857,18853,17821,3003,2102,7756,5729,35290,24819,3190,368,1194,384,5335,23.8,35826,16425,6014,5985,3293,4109,35826,818,2998,3748,626,3860,1286,573,1610,3192,11624,2468,1580,1443,25,35826,25223,6457,4059,87,31570,1455,1172,2381,2355,3342,5095,4469,5908,2670,2723,74907,94042,23421,90037,11978,22905,9563,32691,1647,13063,922,5296,5377,18396,400,212,785,826,1615,2890,2606,4625,2181,2256,98815,115331,42563,13174,43753,58912,43055,64811,58596,70336,68856,49056,33509,1480,12485,116,40753,32764,31018,30057,25444,5993,961,1746,1626,680,1057,120,7989,7786,3857,4714,203,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Hampden County; Massachusetts,25013,378172,227207,226771,213133,13638,436,150965,226771,-888888888,196957,111546,111478,104545,27748,18695,64642,45688,209421,159156,16486,3261,4894,3695,21929,22.7,213133,81859,41330,42706,15747,31491,213133,1081,11182,23480,4718,23407,14012,2476,13593,18405,65190,14780,9808,11001,25,213133,166577,34969,11405,182,184471,11146,11036,14080,12779,19275,27905,22749,31231,15635,18635,71306,94811,134110,102538,63485,21534,43632,30231,20228,11183,9441,4849,47108,113970,4869,2514,6110,5836,10066,16807,15660,22897,13012,16199,91397,115346,38219,70501,40937,56637,46499,69764,59501,458451,444482,283742,226210,13969,103230,2540,273566,205832,193638,186403,151244,43157,7235,12194,10901,4571,6963,1293,67734,65171,25924,44632,2563,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Hampshire County; Massachusetts,25015,142468,87547,87452,83083,4369,95,54921,87452,-888888888,77209,46420,46420,43970,5655,3891,15925,12857,80118,51675,4190,2204,5895,1386,14768,23.2,83083,41381,15071,13821,4923,7887,83083,525,3743,6389,1227,8418,2992,1546,3912,8183,31370,8026,3751,3001,25,83083,59451,17477,6006,149,62114,2957,1994,4129,4037,5904,8279,7380,11353,7242,8839,87001,117323,46450,118843,20892,23873,18804,35122,2968,11445,2420,6081,7776,36004,829,339,1240,1175,2334,3866,4542,8444,5956,7279,119145,146005,45568,26110,49090,72980,35998,76687,71851,160878,158063,129092,55844,2815,29520,425,100488,76340,72997,71685,64997,9717,1312,3343,3096,1822,1455,247,24148,23438,17776,7640,710,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Middlesex County; Massachusetts,25017,1357850,948697,946989,905785,41204,1708,409153,946989,-888888888,692465,455533,455174,436224,97395,72847,212135,166618,888792,481891,56299,64166,37519,29505,219412,29.9,905785,553211,114359,133032,47732,57451,905785,2865,48155,93179,12875,72857,25718,24040,61780,191097,249278,58309,35619,30013,25,905785,757715,98116,48827,1127,634215,23313,14879,25544,23676,36070,64236,58831,108289,81879,197498,130847,178070,524257,181025,163921,26375,132748,39744,24682,11527,18681,5970,59014,401472,7711,3805,9141,9605,17147,32923,33997,67431,57559,162153,166449,215545,69556,232743,78728,107251,67646,103299,84957,1624067,1585712,1290495,492573,38355,342694,5344,1021316,854901,818356,798203,728722,90740,20153,36545,33122,21266,13363,3423,166415,158448,107436,61539,7967,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Nantucket County; Massachusetts,25019,11965,8587,8574,8204,370,13,3378,8574,-888888888,5928,3927,3915,3742,812,584,2057,1802,8095,5494,487,60,522,483,1049,16.0,8204,3613,1658,1095,1268,570,8204,23,1452,359,30,714,450,49,448,1475,2229,506,319,150,25,8204,5857,1151,1189,7,5252,112,54,89,71,228,969,410,850,519,1950,139688,205560,4414,183253,1524,26072,1495,40242,271,11246,174,8564,524,3873,9,8,43,6,63,730,283,711,578,1442,154777,206082,77014,1379,74596,176728,66448,96461,74911,14434,13304,11779,3970,1130,3120,215,9023,7663,7308,6793,6450,758,515,355,343,343,0,12,1360,991,616,537,369,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
