county_name,county_fips,employment_status_population_16_years_and_over,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_.1,employment_status_population_16_years_and_over_in_.2,employment_status_population_16_years_and_over_in_.3,employment_status_population_16_years_and_over_in_.4,employment_status_population_16_years_and_over_not,employment_status_civilian_labor_force,employment_status_civilian_labor_force_unemploymen,employment_status_females_16_years_and_over,employment_status_females_16_years_and_over_in_lab,employment_status_females_16_years_and_over_in_lab.1,employment_status_females_16_years_and_over_in_lab.2,employment_status_own_children_of_the_householder_,employment_status_own_children_of_the_householder_.1,employment_status_own_children_of_the_householder_.2,employment_status_own_children_of_the_householder_.3,commuting_to_work_workers_16_years_and_over,commuting_to_work_workers_16_years_and_over_car_tr,commuting_to_work_workers_16_years_and_over_car_tr.1,commuting_to_work_workers_16_years_and_over_public,commuting_to_work_workers_16_years_and_over_walked,commuting_to_work_workers_16_years_and_over_other_,commuting_to_work_workers_16_years_and_over_worked,commuting_to_work_workers_16_years_and_over_mean_t,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a.1,occupation_civilian_employed_population_16_years_a.2,occupation_civilian_employed_population_16_years_a.3,occupation_civilian_employed_population_16_years_a.4,occupation_civilian_employed_population_16_years_a.5,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and.1,industry_civilian_employed_population_16_years_and.2,industry_civilian_employed_population_16_years_and.3,industry_civilian_employed_population_16_years_and.4,industry_civilian_employed_population_16_years_and.5,industry_civilian_employed_population_16_years_and.6,industry_civilian_employed_population_16_years_and.7,industry_civilian_employed_population_16_years_and.8,industry_civilian_employed_population_16_years_and.9,industry_civilian_employed_population_16_years_and.10,industry_civilian_employed_population_16_years_and.11,industry_civilian_employed_population_16_years_and.12,industry_civilian_employed_population_16_years_and.13,state_fips,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye.1,class_of_worker_civilian_employed_population_16_ye.2,class_of_worker_civilian_employed_population_16_ye.3,class_of_worker_civilian_employed_population_16_ye.4,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol.1,income_and_benefits_in_2024_inflation_adjusted_dol.2,income_and_benefits_in_2024_inflation_adjusted_dol.3,income_and_benefits_in_2024_inflation_adjusted_dol.4,income_and_benefits_in_2024_inflation_adjusted_dol.5,income_and_benefits_in_2024_inflation_adjusted_dol.6,income_and_benefits_in_2024_inflation_adjusted_dol.7,income_and_benefits_in_2024_inflation_adjusted_dol.8,income_and_benefits_in_2024_inflation_adjusted_dol.9,income_and_benefits_in_2024_inflation_adjusted_dol.10,income_and_benefits_in_2024_inflation_adjusted_dol.11,income_and_benefits_in_2024_inflation_adjusted_dol.12,income_and_benefits_in_2024_inflation_adjusted_dol.13,income_and_benefits_in_2024_inflation_adjusted_dol.14,income_and_benefits_in_2024_inflation_adjusted_dol.15,income_and_benefits_in_2024_inflation_adjusted_dol.16,income_and_benefits_in_2024_inflation_adjusted_dol.17,income_and_benefits_in_2024_inflation_adjusted_dol.18,income_and_benefits_in_2024_inflation_adjusted_dol.19,income_and_benefits_in_2024_inflation_adjusted_dol.20,income_and_benefits_in_2024_inflation_adjusted_dol.21,income_and_benefits_in_2024_inflation_adjusted_dol.22,income_and_benefits_in_2024_inflation_adjusted_dol.23,income_and_benefits_in_2024_inflation_adjusted_dol.24,income_and_benefits_in_2024_inflation_adjusted_dol.25,income_and_benefits_in_2024_inflation_adjusted_dol.26,income_and_benefits_in_2024_inflation_adjusted_dol.27,income_and_benefits_in_2024_inflation_adjusted_dol.28,income_and_benefits_in_2024_inflation_adjusted_dol.29,income_and_benefits_in_2024_inflation_adjusted_dol.30,income_and_benefits_in_2024_inflation_adjusted_dol.31,income_and_benefits_in_2024_inflation_adjusted_dol.32,income_and_benefits_in_2024_inflation_adjusted_dol.33,income_and_benefits_in_2024_inflation_adjusted_dol.34,income_and_benefits_in_2024_inflation_adjusted_dol.35,income_and_benefits_in_2024_inflation_adjusted_dol.36,income_and_benefits_in_2024_inflation_adjusted_dol.37,income_and_benefits_in_2024_inflation_adjusted_dol.38,income_and_benefits_in_2024_inflation_adjusted_dol.39,income_and_benefits_in_2024_inflation_adjusted_dol.40,income_and_benefits_in_2024_inflation_adjusted_dol.41,income_and_benefits_in_2024_inflation_adjusted_dol.42,income_and_benefits_in_2024_inflation_adjusted_dol.43,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona.1,health_insurance_coverage_civilian_noninstitutiona.2,health_insurance_coverage_civilian_noninstitutiona.3,health_insurance_coverage_civilian_noninstitutiona.4,health_insurance_coverage_civilian_noninstitutiona.5,health_insurance_coverage_civilian_noninstitutiona.6,health_insurance_coverage_civilian_noninstitutiona.7,health_insurance_coverage_civilian_noninstitutiona.8,health_insurance_coverage_civilian_noninstitutiona.9,health_insurance_coverage_civilian_noninstitutiona.10,health_insurance_coverage_civilian_noninstitutiona.11,health_insurance_coverage_civilian_noninstitutiona.12,health_insurance_coverage_civilian_noninstitutiona.13,health_insurance_coverage_civilian_noninstitutiona.14,health_insurance_coverage_civilian_noninstitutiona.15,health_insurance_coverage_civilian_noninstitutiona.16,health_insurance_coverage_civilian_noninstitutiona.17,health_insurance_coverage_civilian_noninstitutiona.18,health_insurance_coverage_civilian_noninstitutiona.19,health_insurance_coverage_civilian_noninstitutiona.20,health_insurance_coverage_civilian_noninstitutiona.21,health_insurance_coverage_civilian_noninstitutiona.22,health_insurance_coverage_civilian_noninstitutiona.23,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_.1,percentage_of_families_and_people_whose_income_in_.2,percentage_of_families_and_people_whose_income_in_.3,percentage_of_families_and_people_whose_income_in_.4,percentage_of_families_and_people_whose_income_in_.5,percentage_of_families_and_people_whose_income_in_.6,percentage_of_families_and_people_whose_income_in_.7,percentage_of_families_and_people_whose_income_in_.8,percentage_of_families_and_people_whose_income_in_.9,percentage_of_families_and_people_whose_income_in_.10,percentage_of_families_and_people_whose_income_in_.11,percentage_of_families_and_people_whose_income_in_.12,percentage_of_families_and_people_whose_income_in_.13,percentage_of_families_and_people_whose_income_in_.14,percentage_of_families_and_people_whose_income_in_.15,percentage_of_families_and_people_whose_income_in_.16,percentage_of_families_and_people_whose_income_in_.17,percentage_of_families_and_people_whose_income_in_.18
Churchill County; Nevada,32001,20677,12386,11244,10646,598,1142,8291,11244,-888888888,10185,5429,5250,5028,1700,1320,3868,2927,11438,8668,1113,231,471,257,698,24.1,10646,3645,1770,1470,1993,1768,10646,486,1053,1311,63,1071,858,166,271,762,2122,1147,781,555,32,10646,7823,2069,704,50,9516,471,127,828,717,810,1537,1676,1735,793,822,79163,94538,7141,92325,3375,23704,2937,29977,630,9556,304,3128,1012,5823,91,28,188,359,303,1034,1099,1334,724,663,95425,115682,37686,3693,41998,57372,43490,64573,46338,24494,22530,16196,10228,1964,6229,445,13142,9572,9166,8301,7513,1353,865,406,356,244,126,50,3570,2986,1601,1720,584,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Clark County; Nevada,32003,1873028,1196049,1184645,1094725,89920,11404,676979,1184645,-888888888,939637,555674,553590,510974,151088,98839,340236,237681,1079990,764473,115881,23704,13740,30074,132118,25.1,1094725,367506,264702,239105,89997,133415,1094725,4679,83008,42160,18762,123449,82880,18696,68208,142018,181484,241206,48547,39628,32,1094725,903373,126667,61355,3330,862518,49284,22375,52244,60369,95017,143867,117151,152689,78328,91194,76472,104278,677964,103315,256615,23382,201116,33805,36146,11426,31515,4665,117447,552272,20560,8380,22434,30304,54054,91264,81416,111717,61374,70769,89785,117615,39897,310246,49802,73405,42181,58188,50123,2304537,2024263,1432837,840503,280274,543103,45404,1393557,1091104,1011408,866089,777267,130140,145319,79696,58747,32851,28518,20949,302453,239928,141103,120923,62525,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Douglas County; Nevada,32005,43582,21845,21791,21130,661,54,21737,21791,-888888888,21598,9841,9841,9595,1809,1248,5032,3466,20710,15286,1753,62,344,635,2630,26.2,21130,8693,3911,4317,2076,2133,21130,356,1853,1492,288,2474,968,112,1251,2969,3510,3103,893,1861,32,21130,14937,4217,1842,134,21325,806,515,1222,1410,1815,2728,3076,4080,2391,3282,90754,136388,13837,124365,10395,26818,8887,47134,913,11391,298,4980,1200,15164,390,140,539,678,1118,1871,2315,3317,2004,2792,105745,153827,59360,6161,50523,86059,49535,73951,62269,49448,46502,35921,21587,2946,7712,527,25524,18508,17990,16167,15587,1385,1823,518,407,280,207,111,7016,6613,4580,2609,403,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Elko County; Nevada,32007,41411,27857,27787,26536,1251,70,13554,27787,-888888888,19830,12032,11975,11539,4145,2420,9104,6795,26302,16580,4365,2625,1033,295,1404,29.4,26536,8203,5019,4620,5471,3223,26536,5406,1828,1024,739,2130,1063,175,1058,1368,4768,4391,1248,1338,32,26536,21056,4074,1357,49,19627,714,652,1107,1541,1909,2939,2333,4389,2255,1788,86487,101650,16255,103193,4659,23011,3763,35570,617,10918,480,1978,1781,13123,175,83,523,733,1272,1815,1350,3517,2108,1547,105741,119266,39139,6504,47469,61447,45631,74016,44238,53422,48594,38581,15632,4828,14868,866,31562,25553,24340,21911,20428,2571,2429,1213,800,351,449,413,6009,4966,3331,1861,1043,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Esmeralda County; Nevada,32009,907,353,353,351,2,0,554,353,-888888888,419,165,165,163,64,28,68,21,351,254,18,0,20,0,59,13.9,351,129,113,8,70,31,351,131,0,31,12,11,2,0,8,28,45,33,50,0,32,351,258,38,55,0,503,13,114,21,63,64,32,50,91,55,0,41715,64613,190,89314,292,26744,161,25040,0,-666666666,8,-999999999,140,303,0,0,0,51,54,24,28,91,55,0,97708,91091,31158,200,12071,24499,40644,62443,75536,1022,974,451,608,48,132,0,635,333,333,285,252,33,48,0,0,0,0,0,302,302,72,248,0,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Eureka County; Nevada,32011,1330,490,490,490,0,0,840,490,-888888888,482,150,150,150,59,49,230,134,490,346,84,11,0,12,37,18.4,490,112,65,51,172,90,490,208,44,0,37,12,53,0,0,22,93,12,9,0,32,490,354,109,27,0,622,42,4,50,74,67,104,130,85,42,24,70473,79091,390,83853,241,21751,250,31820,47,-999999999,39,-999999999,16,383,0,4,39,50,50,89,36,73,42,0,67135,75873,32823,239,95279,84246,60986,95619,35698,1579,1389,937,732,190,370,34,862,452,452,352,352,37,100,0,0,0,0,0,410,388,204,206,22,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Humboldt County; Nevada,32013,13233,8354,8354,7871,483,0,4879,8354,-888888888,6233,3292,3292,3065,1425,806,3002,2080,7791,5432,998,651,93,125,492,28.4,7871,2714,1410,1067,1750,930,7871,1942,563,252,152,674,392,21,338,497,1499,826,205,510,32,7871,5715,1487,661,8,6911,304,247,352,569,574,1161,1161,1311,831,401,81073,91890,5345,94316,2329,22070,1468,33409,203,9212,63,7427,778,4553,85,72,124,255,363,772,829,1028,692,333,91025,106137,37205,2358,50061,61035,47748,81690,43966,17134,15644,12469,5574,1490,4784,368,9534,7574,7131,6638,6116,765,493,443,297,216,113,146,1960,1508,1139,560,452,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Lander County; Nevada,32015,4416,2735,2735,2478,257,0,1681,2735,-888888888,2043,1138,1138,1090,345,157,1215,818,2478,1870,219,211,145,22,11,24.2,2478,883,368,494,345,388,2478,592,61,91,17,155,199,0,28,315,312,255,29,424,32,2478,1625,724,109,20,2129,140,31,98,39,267,384,354,381,266,169,89014,98747,1646,95463,642,27983,506,53910,93,19651,1,-999999999,244,1559,94,2,57,10,215,291,222,233,266,169,91629,107372,38167,570,65722,65810,55120,92330,55065,5744,5469,4153,2219,275,1636,68,3278,2569,2329,2219,2156,267,110,240,239,77,187,1,709,613,370,300,96,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Lincoln County; Nevada,32017,3616,1652,1652,1621,31,0,1964,1652,-888888888,1771,748,748,734,115,0,723,509,1621,848,298,0,159,55,261,15.0,1621,665,185,315,247,209,1621,123,204,69,22,169,140,35,0,207,307,208,0,137,32,1621,1150,471,0,0,1717,43,0,172,58,233,432,210,339,89,141,72307,88564,1044,96722,949,22700,725,35940,70,10716,0,-666666666,79,1123,0,0,14,12,150,217,210,290,89,141,97393,111137,37860,594,45745,45890,51518,83157,46442,4069,3847,2794,1633,222,891,32,2069,1342,1311,1165,1070,105,146,31,31,0,31,0,727,683,367,332,44,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Lyon County; Nevada,32019,50739,29311,28987,27112,1875,324,21428,28987,-888888888,24173,13257,13228,12299,3652,2788,8222,6528,26794,20524,2953,264,534,312,2207,29.4,27112,7589,5431,5757,3527,4808,27112,999,2133,3995,855,2938,1487,223,1191,2593,4200,3424,1223,1851,32,27112,21411,4238,1440,23,23745,1104,867,950,1214,2815,4360,2831,5832,2107,1665,80812,95025,17256,92473,9407,23925,7131,35674,1510,12664,906,4084,2603,16681,533,268,427,683,1525,3171,2457,4683,1506,1428,92741,104769,38076,7064,45463,59402,45677,64882,51458,61224,55334,39201,25421,5890,12963,1196,34568,25834,24131,21512,19487,3284,2619,1703,1160,481,714,543,8734,7397,3887,4250,1337,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
