county_name,county_fips,employment_status_population_16_years_and_over,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_.1,employment_status_population_16_years_and_over_in_.2,employment_status_population_16_years_and_over_in_.3,employment_status_population_16_years_and_over_in_.4,employment_status_population_16_years_and_over_not,employment_status_civilian_labor_force,employment_status_civilian_labor_force_unemploymen,employment_status_females_16_years_and_over,employment_status_females_16_years_and_over_in_lab,employment_status_females_16_years_and_over_in_lab.1,employment_status_females_16_years_and_over_in_lab.2,employment_status_own_children_of_the_householder_,employment_status_own_children_of_the_householder_.1,employment_status_own_children_of_the_householder_.2,employment_status_own_children_of_the_householder_.3,commuting_to_work_workers_16_years_and_over,commuting_to_work_workers_16_years_and_over_car_tr,commuting_to_work_workers_16_years_and_over_car_tr.1,commuting_to_work_workers_16_years_and_over_public,commuting_to_work_workers_16_years_and_over_walked,commuting_to_work_workers_16_years_and_over_other_,commuting_to_work_workers_16_years_and_over_worked,commuting_to_work_workers_16_years_and_over_mean_t,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a.1,occupation_civilian_employed_population_16_years_a.2,occupation_civilian_employed_population_16_years_a.3,occupation_civilian_employed_population_16_years_a.4,occupation_civilian_employed_population_16_years_a.5,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and.1,industry_civilian_employed_population_16_years_and.2,industry_civilian_employed_population_16_years_and.3,industry_civilian_employed_population_16_years_and.4,industry_civilian_employed_population_16_years_and.5,industry_civilian_employed_population_16_years_and.6,industry_civilian_employed_population_16_years_and.7,industry_civilian_employed_population_16_years_and.8,industry_civilian_employed_population_16_years_and.9,industry_civilian_employed_population_16_years_and.10,industry_civilian_employed_population_16_years_and.11,industry_civilian_employed_population_16_years_and.12,industry_civilian_employed_population_16_years_and.13,state_fips,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye.1,class_of_worker_civilian_employed_population_16_ye.2,class_of_worker_civilian_employed_population_16_ye.3,class_of_worker_civilian_employed_population_16_ye.4,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol.1,income_and_benefits_in_2024_inflation_adjusted_dol.2,income_and_benefits_in_2024_inflation_adjusted_dol.3,income_and_benefits_in_2024_inflation_adjusted_dol.4,income_and_benefits_in_2024_inflation_adjusted_dol.5,income_and_benefits_in_2024_inflation_adjusted_dol.6,income_and_benefits_in_2024_inflation_adjusted_dol.7,income_and_benefits_in_2024_inflation_adjusted_dol.8,income_and_benefits_in_2024_inflation_adjusted_dol.9,income_and_benefits_in_2024_inflation_adjusted_dol.10,income_and_benefits_in_2024_inflation_adjusted_dol.11,income_and_benefits_in_2024_inflation_adjusted_dol.12,income_and_benefits_in_2024_inflation_adjusted_dol.13,income_and_benefits_in_2024_inflation_adjusted_dol.14,income_and_benefits_in_2024_inflation_adjusted_dol.15,income_and_benefits_in_2024_inflation_adjusted_dol.16,income_and_benefits_in_2024_inflation_adjusted_dol.17,income_and_benefits_in_2024_inflation_adjusted_dol.18,income_and_benefits_in_2024_inflation_adjusted_dol.19,income_and_benefits_in_2024_inflation_adjusted_dol.20,income_and_benefits_in_2024_inflation_adjusted_dol.21,income_and_benefits_in_2024_inflation_adjusted_dol.22,income_and_benefits_in_2024_inflation_adjusted_dol.23,income_and_benefits_in_2024_inflation_adjusted_dol.24,income_and_benefits_in_2024_inflation_adjusted_dol.25,income_and_benefits_in_2024_inflation_adjusted_dol.26,income_and_benefits_in_2024_inflation_adjusted_dol.27,income_and_benefits_in_2024_inflation_adjusted_dol.28,income_and_benefits_in_2024_inflation_adjusted_dol.29,income_and_benefits_in_2024_inflation_adjusted_dol.30,income_and_benefits_in_2024_inflation_adjusted_dol.31,income_and_benefits_in_2024_inflation_adjusted_dol.32,income_and_benefits_in_2024_inflation_adjusted_dol.33,income_and_benefits_in_2024_inflation_adjusted_dol.34,income_and_benefits_in_2024_inflation_adjusted_dol.35,income_and_benefits_in_2024_inflation_adjusted_dol.36,income_and_benefits_in_2024_inflation_adjusted_dol.37,income_and_benefits_in_2024_inflation_adjusted_dol.38,income_and_benefits_in_2024_inflation_adjusted_dol.39,income_and_benefits_in_2024_inflation_adjusted_dol.40,income_and_benefits_in_2024_inflation_adjusted_dol.41,income_and_benefits_in_2024_inflation_adjusted_dol.42,income_and_benefits_in_2024_inflation_adjusted_dol.43,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona.1,health_insurance_coverage_civilian_noninstitutiona.2,health_insurance_coverage_civilian_noninstitutiona.3,health_insurance_coverage_civilian_noninstitutiona.4,health_insurance_coverage_civilian_noninstitutiona.5,health_insurance_coverage_civilian_noninstitutiona.6,health_insurance_coverage_civilian_noninstitutiona.7,health_insurance_coverage_civilian_noninstitutiona.8,health_insurance_coverage_civilian_noninstitutiona.9,health_insurance_coverage_civilian_noninstitutiona.10,health_insurance_coverage_civilian_noninstitutiona.11,health_insurance_coverage_civilian_noninstitutiona.12,health_insurance_coverage_civilian_noninstitutiona.13,health_insurance_coverage_civilian_noninstitutiona.14,health_insurance_coverage_civilian_noninstitutiona.15,health_insurance_coverage_civilian_noninstitutiona.16,health_insurance_coverage_civilian_noninstitutiona.17,health_insurance_coverage_civilian_noninstitutiona.18,health_insurance_coverage_civilian_noninstitutiona.19,health_insurance_coverage_civilian_noninstitutiona.20,health_insurance_coverage_civilian_noninstitutiona.21,health_insurance_coverage_civilian_noninstitutiona.22,health_insurance_coverage_civilian_noninstitutiona.23,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_.1,percentage_of_families_and_people_whose_income_in_.2,percentage_of_families_and_people_whose_income_in_.3,percentage_of_families_and_people_whose_income_in_.4,percentage_of_families_and_people_whose_income_in_.5,percentage_of_families_and_people_whose_income_in_.6,percentage_of_families_and_people_whose_income_in_.7,percentage_of_families_and_people_whose_income_in_.8,percentage_of_families_and_people_whose_income_in_.9,percentage_of_families_and_people_whose_income_in_.10,percentage_of_families_and_people_whose_income_in_.11,percentage_of_families_and_people_whose_income_in_.12,percentage_of_families_and_people_whose_income_in_.13,percentage_of_families_and_people_whose_income_in_.14,percentage_of_families_and_people_whose_income_in_.15,percentage_of_families_and_people_whose_income_in_.16,percentage_of_families_and_people_whose_income_in_.17,percentage_of_families_and_people_whose_income_in_.18
Beaver County; Utah,49001,5539,3123,3117,3065,52,6,2416,3117,-888888888,2593,1361,1361,1346,760,592,1375,756,3039,2306,432,8,0,10,283,16.7,3065,1021,518,574,520,432,3065,225,464,310,54,217,348,8,128,144,649,194,179,145,49,3065,2049,627,389,0,2518,55,91,111,100,427,336,576,485,213,124,79360,87143,1872,90314,835,25192,694,25731,105,6750,0,-666666666,113,1928,52,7,46,59,223,228,532,464,193,124,91134,99406,30204,590,39500,45509,42438,67630,44696,6919,5868,4899,1862,1051,2240,505,3589,2856,2810,2386,2295,94,424,46,34,26,10,12,733,623,401,231,110,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Box Elder County; Utah,49003,44903,29412,29344,28391,953,68,15491,29344,-888888888,21871,11920,11920,11474,5192,2858,13080,8043,28082,20791,3043,121,489,399,3239,22.3,28391,9926,3934,4924,3553,6054,28391,1021,2958,6140,446,3216,1590,187,1143,2021,5010,1804,1047,1808,49,28391,22226,4596,1549,20,19557,764,712,668,850,1732,3833,3157,4397,2008,1436,84550,99908,15699,101048,5554,25640,4922,29076,878,11349,285,2639,1087,15028,252,149,239,414,1166,2838,2800,3962,1851,1357,97239,113037,33231,4529,38694,50409,42366,67424,45730,60857,55976,47090,14399,4881,19591,1016,33403,26017,25306,22811,21737,1717,2495,711,495,253,255,216,7386,6268,4632,2108,1118,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Cache County; Utah,49005,103863,73435,73385,71481,1904,50,30428,73385,-888888888,52114,32737,32737,31817,12194,6366,27693,16372,70171,47574,6525,1535,2782,1924,9831,17.7,71481,29189,10418,15081,5277,11516,71481,1211,4495,12472,1093,8276,2475,675,2858,9231,17603,5892,2917,2283,49,71481,55146,12826,3280,229,44439,1144,1013,1869,3267,5273,7746,6726,9421,3593,4387,81665,105827,38931,100085,9116,26105,8117,34046,927,13024,1056,5162,2127,33713,496,749,931,1937,2888,5714,5223,8365,3374,4036,94169,119065,33781,10726,47624,60237,33259,66513,45688,139343,129733,111785,28883,9610,43997,2263,81590,66159,64656,59447,57204,3660,5209,1503,1151,968,186,352,15431,13682,11379,2985,1749,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Carbon County; Utah,49007,16003,9066,9017,8486,531,49,6937,9017,-888888888,8072,4343,4343,4113,1529,821,3448,2257,8394,6507,1116,6,95,139,531,19.5,8486,2667,1151,2164,1140,1364,8486,461,559,685,274,981,806,167,320,560,2079,670,342,582,49,8486,6325,1852,295,14,8123,472,340,744,972,937,1570,1251,1024,470,343,58377,75548,5694,79005,3303,25476,2167,20396,488,13243,95,1998,1135,5294,202,67,317,530,547,965,1059,868,428,311,75540,90823,30960,2829,34495,45194,35000,70270,42410,20313,19059,13810,8351,1254,5415,150,10968,8181,7732,7029,6363,900,703,449,316,104,226,133,2787,2519,1377,1368,268,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Daggett County; Utah,49009,638,324,316,295,21,8,314,316,-888888888,243,127,127,114,41,18,103,70,294,226,37,0,15,1,15,20.9,295,72,80,66,42,35,295,31,27,19,0,25,14,4,6,26,62,56,5,20,49,295,125,117,53,0,288,9,7,11,29,56,48,42,55,19,12,66000,85531,199,76040,123,23221,107,30521,19,13042,0,-666666666,15,165,2,2,4,10,25,12,28,51,19,12,99375,113265,34407,123,47917,48327,28000,82679,40417,724,649,534,235,75,187,28,372,273,258,233,213,20,25,15,9,2,7,6,99,83,67,28,16,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Davis County; Utah,49011,272818,192485,189751,184571,5180,2734,80333,189751,-888888888,135502,84764,84311,82102,31686,17247,77608,52129,184346,130932,13917,2292,2145,1695,33365,22.9,184571,84605,24592,40421,13506,21447,184571,1076,12929,18918,3251,21604,10874,2897,13299,22964,40516,14100,8421,13722,49,184571,141857,33878,8555,281,115919,2835,1740,3949,3727,7963,15468,15497,27961,17394,19385,110884,132463,99241,129357,26139,26792,26385,38068,3825,10977,1573,4496,5317,91049,1613,892,1855,1658,4848,10593,11824,24313,15693,17760,123351,145836,42483,24870,59875,73575,48637,78284,54656,366384,345354,305465,73073,21030,117557,5689,208560,171154,166652,156082,151290,9254,10570,4502,3544,2691,958,958,37406,33916,27109,9124,3490,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Duchesne County; Utah,49013,14462,8832,8817,8437,380,15,5630,8817,-888888888,7137,3762,3762,3630,1900,817,4268,2351,8303,6402,906,0,247,143,605,21.1,8437,2758,1075,1554,1361,1689,8437,1315,788,466,168,937,860,147,355,505,1644,472,355,425,49,8437,6195,1640,595,7,6878,239,165,457,550,668,1163,982,1495,557,602,78445,97751,5490,98583,1975,24950,1343,25312,356,13585,98,3915,720,5350,156,82,186,387,454,943,858,1232,499,553,89486,106562,32622,1528,44006,61910,43172,73579,48020,19944,17543,13516,5940,2401,6768,639,10582,7843,7570,6312,5864,684,1258,273,213,96,117,60,2739,2318,1395,1055,421,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Emery County; Utah,49015,7647,4494,4485,4324,161,9,3153,4485,-888888888,3840,2004,2004,1889,752,383,1873,1159,4264,3289,565,9,59,38,304,20.7,4324,1360,615,839,846,664,4324,454,457,201,81,457,506,143,190,197,956,279,110,293,49,4324,3095,1072,156,1,3453,146,98,174,313,368,638,562,667,286,201,74291,88608,2609,87789,1353,27827,993,30140,135,13881,25,5712,351,2563,46,45,66,165,202,485,489,589,286,190,93216,99638,31292,890,36875,55299,35752,69783,46587,9993,9336,7294,3546,657,2985,99,5167,3897,3775,3321,3147,232,454,122,96,73,39,26,1270,1192,744,560,78,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Garfield County; Utah,49017,4232,2543,2543,2439,104,0,1689,2543,-888888888,1990,1234,1234,1159,346,173,740,560,2379,1594,252,0,220,75,238,13.5,2439,1022,674,302,266,175,2439,171,115,65,21,104,108,108,25,208,545,778,19,172,49,2439,1697,572,163,7,2042,40,62,220,315,168,396,312,250,148,131,61875,86134,1513,82269,709,24189,435,49139,56,15188,33,1148,114,1469,13,38,76,182,56,294,290,243,146,131,88194,105434,35414,573,33993,36172,34739,49194,47031,5076,4457,3803,1552,619,1223,67,2693,2184,2093,1693,1637,77,400,91,50,33,17,41,509,406,299,134,103,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Grand County; Utah,49019,8095,5484,5484,5396,88,0,2611,5484,-888888888,4081,2626,2626,2569,486,314,1356,1165,5296,3628,690,0,158,343,477,14.7,5396,2243,1027,1249,526,351,5396,161,321,367,30,748,246,28,336,575,922,1169,225,268,49,5396,4087,864,425,20,4554,370,154,252,345,544,729,483,980,430,267,67106,90104,3452,90550,1703,20386,878,33000,135,12477,118,342,148,2563,73,44,18,214,215,467,279,762,318,173,97543,107540,42062,1991,44443,64288,44590,60475,52750,9681,8624,6643,3131,1057,1946,363,5806,4994,4926,4331,3948,439,595,68,68,68,0,0,812,713,500,227,99,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
