county_name,county_fips,employment_status_population_16_years_and_over,employment_status_population_16_years_and_over_in_,employment_status_population_16_years_and_over_in_.1,employment_status_population_16_years_and_over_in_.2,employment_status_population_16_years_and_over_in_.3,employment_status_population_16_years_and_over_in_.4,employment_status_population_16_years_and_over_not,employment_status_civilian_labor_force,employment_status_civilian_labor_force_unemploymen,employment_status_females_16_years_and_over,employment_status_females_16_years_and_over_in_lab,employment_status_females_16_years_and_over_in_lab.1,employment_status_females_16_years_and_over_in_lab.2,employment_status_own_children_of_the_householder_,employment_status_own_children_of_the_householder_.1,employment_status_own_children_of_the_householder_.2,employment_status_own_children_of_the_householder_.3,commuting_to_work_workers_16_years_and_over,commuting_to_work_workers_16_years_and_over_car_tr,commuting_to_work_workers_16_years_and_over_car_tr.1,commuting_to_work_workers_16_years_and_over_public,commuting_to_work_workers_16_years_and_over_walked,commuting_to_work_workers_16_years_and_over_other_,commuting_to_work_workers_16_years_and_over_worked,commuting_to_work_workers_16_years_and_over_mean_t,occupation_civilian_employed_population_16_years_a,occupation_civilian_employed_population_16_years_a.1,occupation_civilian_employed_population_16_years_a.2,occupation_civilian_employed_population_16_years_a.3,occupation_civilian_employed_population_16_years_a.4,occupation_civilian_employed_population_16_years_a.5,industry_civilian_employed_population_16_years_and,industry_civilian_employed_population_16_years_and.1,industry_civilian_employed_population_16_years_and.2,industry_civilian_employed_population_16_years_and.3,industry_civilian_employed_population_16_years_and.4,industry_civilian_employed_population_16_years_and.5,industry_civilian_employed_population_16_years_and.6,industry_civilian_employed_population_16_years_and.7,industry_civilian_employed_population_16_years_and.8,industry_civilian_employed_population_16_years_and.9,industry_civilian_employed_population_16_years_and.10,industry_civilian_employed_population_16_years_and.11,industry_civilian_employed_population_16_years_and.12,industry_civilian_employed_population_16_years_and.13,state_fips,class_of_worker_civilian_employed_population_16_ye,class_of_worker_civilian_employed_population_16_ye.1,class_of_worker_civilian_employed_population_16_ye.2,class_of_worker_civilian_employed_population_16_ye.3,class_of_worker_civilian_employed_population_16_ye.4,income_and_benefits_in_2024_inflation_adjusted_dol,income_and_benefits_in_2024_inflation_adjusted_dol.1,income_and_benefits_in_2024_inflation_adjusted_dol.2,income_and_benefits_in_2024_inflation_adjusted_dol.3,income_and_benefits_in_2024_inflation_adjusted_dol.4,income_and_benefits_in_2024_inflation_adjusted_dol.5,income_and_benefits_in_2024_inflation_adjusted_dol.6,income_and_benefits_in_2024_inflation_adjusted_dol.7,income_and_benefits_in_2024_inflation_adjusted_dol.8,income_and_benefits_in_2024_inflation_adjusted_dol.9,income_and_benefits_in_2024_inflation_adjusted_dol.10,income_and_benefits_in_2024_inflation_adjusted_dol.11,income_and_benefits_in_2024_inflation_adjusted_dol.12,income_and_benefits_in_2024_inflation_adjusted_dol.13,income_and_benefits_in_2024_inflation_adjusted_dol.14,income_and_benefits_in_2024_inflation_adjusted_dol.15,income_and_benefits_in_2024_inflation_adjusted_dol.16,income_and_benefits_in_2024_inflation_adjusted_dol.17,income_and_benefits_in_2024_inflation_adjusted_dol.18,income_and_benefits_in_2024_inflation_adjusted_dol.19,income_and_benefits_in_2024_inflation_adjusted_dol.20,income_and_benefits_in_2024_inflation_adjusted_dol.21,income_and_benefits_in_2024_inflation_adjusted_dol.22,income_and_benefits_in_2024_inflation_adjusted_dol.23,income_and_benefits_in_2024_inflation_adjusted_dol.24,income_and_benefits_in_2024_inflation_adjusted_dol.25,income_and_benefits_in_2024_inflation_adjusted_dol.26,income_and_benefits_in_2024_inflation_adjusted_dol.27,income_and_benefits_in_2024_inflation_adjusted_dol.28,income_and_benefits_in_2024_inflation_adjusted_dol.29,income_and_benefits_in_2024_inflation_adjusted_dol.30,income_and_benefits_in_2024_inflation_adjusted_dol.31,income_and_benefits_in_2024_inflation_adjusted_dol.32,income_and_benefits_in_2024_inflation_adjusted_dol.33,income_and_benefits_in_2024_inflation_adjusted_dol.34,income_and_benefits_in_2024_inflation_adjusted_dol.35,income_and_benefits_in_2024_inflation_adjusted_dol.36,income_and_benefits_in_2024_inflation_adjusted_dol.37,income_and_benefits_in_2024_inflation_adjusted_dol.38,income_and_benefits_in_2024_inflation_adjusted_dol.39,income_and_benefits_in_2024_inflation_adjusted_dol.40,income_and_benefits_in_2024_inflation_adjusted_dol.41,income_and_benefits_in_2024_inflation_adjusted_dol.42,income_and_benefits_in_2024_inflation_adjusted_dol.43,health_insurance_coverage_civilian_noninstitutiona,health_insurance_coverage_civilian_noninstitutiona.1,health_insurance_coverage_civilian_noninstitutiona.2,health_insurance_coverage_civilian_noninstitutiona.3,health_insurance_coverage_civilian_noninstitutiona.4,health_insurance_coverage_civilian_noninstitutiona.5,health_insurance_coverage_civilian_noninstitutiona.6,health_insurance_coverage_civilian_noninstitutiona.7,health_insurance_coverage_civilian_noninstitutiona.8,health_insurance_coverage_civilian_noninstitutiona.9,health_insurance_coverage_civilian_noninstitutiona.10,health_insurance_coverage_civilian_noninstitutiona.11,health_insurance_coverage_civilian_noninstitutiona.12,health_insurance_coverage_civilian_noninstitutiona.13,health_insurance_coverage_civilian_noninstitutiona.14,health_insurance_coverage_civilian_noninstitutiona.15,health_insurance_coverage_civilian_noninstitutiona.16,health_insurance_coverage_civilian_noninstitutiona.17,health_insurance_coverage_civilian_noninstitutiona.18,health_insurance_coverage_civilian_noninstitutiona.19,health_insurance_coverage_civilian_noninstitutiona.20,health_insurance_coverage_civilian_noninstitutiona.21,health_insurance_coverage_civilian_noninstitutiona.22,health_insurance_coverage_civilian_noninstitutiona.23,percentage_of_families_and_people_whose_income_in_,percentage_of_families_and_people_whose_income_in_.1,percentage_of_families_and_people_whose_income_in_.2,percentage_of_families_and_people_whose_income_in_.3,percentage_of_families_and_people_whose_income_in_.4,percentage_of_families_and_people_whose_income_in_.5,percentage_of_families_and_people_whose_income_in_.6,percentage_of_families_and_people_whose_income_in_.7,percentage_of_families_and_people_whose_income_in_.8,percentage_of_families_and_people_whose_income_in_.9,percentage_of_families_and_people_whose_income_in_.10,percentage_of_families_and_people_whose_income_in_.11,percentage_of_families_and_people_whose_income_in_.12,percentage_of_families_and_people_whose_income_in_.13,percentage_of_families_and_people_whose_income_in_.14,percentage_of_families_and_people_whose_income_in_.15,percentage_of_families_and_people_whose_income_in_.16,percentage_of_families_and_people_whose_income_in_.17,percentage_of_families_and_people_whose_income_in_.18
Adams County; Wisconsin,55001,18685,8902,8895,8493,402,7,9783,8895,-888888888,8470,3932,3929,3786,700,487,1942,1443,8329,6557,738,17,101,98,818,30.7,8493,2126,1697,1827,972,1871,8493,279,574,1323,303,1005,571,78,391,606,1322,962,444,635,55,8493,6721,1327,427,18,9517,542,307,731,1042,1389,1727,1279,1569,523,408,59442,76078,5619,79057,5127,24772,3731,28830,631,11539,184,2956,1391,5757,171,78,238,361,783,1095,999,1220,459,353,78581,92916,35863,3760,36173,47816,39606,59705,46324,20473,19531,13241,11046,942,3027,90,10686,7811,7437,6863,6086,1071,574,374,297,91,223,77,2875,2683,1278,1743,192,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Ashland County; Wisconsin,55003,13198,7885,7881,7584,297,4,5313,7881,-888888888,6601,3989,3989,3864,879,519,2225,1698,7470,5520,539,80,475,133,723,17.8,7584,2494,1272,1680,1009,1129,7584,163,723,837,45,926,269,83,312,619,2036,758,228,585,55,7584,5479,1670,406,29,6832,352,468,514,657,766,1329,850,1161,483,252,62462,76270,4934,74639,2798,22760,2035,29782,484,12227,169,4680,975,3891,76,165,89,237,329,820,606,954,427,188,82887,95283,33580,2941,34539,48104,38573,59777,48834,15853,14838,10447,7036,1015,3517,173,9056,7011,6742,6245,5502,988,497,269,167,93,105,102,2045,1804,828,1108,241,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Barron County; Wisconsin,55005,37994,23596,23574,22908,666,22,14398,23574,-888888888,19010,11467,11464,11167,2834,2098,6608,5568,22506,16844,2704,41,732,261,1924,20.9,22908,7643,3298,4197,2696,5074,22908,1163,1657,4735,395,2783,1203,257,816,1155,5119,1716,1072,837,55,22908,17959,2926,1978,45,19955,788,721,1365,1805,2707,3834,3072,3177,1286,1200,65933,87099,13881,89600,8239,23418,6388,25164,947,11483,459,2993,2288,12848,299,192,358,821,1396,2598,2319,2644,1181,1040,83357,105786,37913,7107,38228,49164,40715,57958,44685,46345,43466,31901,19813,2879,10327,742,25295,20929,20333,18702,16669,2812,1631,596,457,325,156,139,4366,4015,2110,2304,351,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Bayfield County; Wisconsin,55007,14201,7511,7496,7227,269,15,6690,7496,-888888888,6987,3639,3639,3534,754,577,1774,1301,7086,5030,691,60,252,101,952,23.3,7227,2883,1342,1191,835,976,7227,273,615,681,79,724,380,139,367,513,1696,946,359,455,55,7227,5117,1430,644,36,7437,255,299,513,644,742,1473,1178,1254,623,456,71151,89755,4832,84686,3823,25731,2981,32249,307,12079,171,3678,859,4906,110,87,175,215,407,976,939,1035,562,400,86895,106427,41199,2531,39063,54952,39428,62043,52556,16464,15596,11169,8226,868,2878,119,8463,6294,6060,5507,4832,902,553,234,207,92,117,27,2169,2006,1253,931,163,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Brown County; Wisconsin,55009,216138,146797,146759,142941,3818,38,69341,146759,-888888888,108785,69976,69976,68207,18367,13105,41476,33919,140548,107630,10419,606,2566,1670,17657,19.6,142941,56196,21332,29234,10859,25320,142941,1828,8130,26171,4251,15251,8512,1659,10784,12702,32206,11341,6054,4052,55,142941,121621,15089,6034,197,110933,4017,2981,6223,7622,12159,18905,16680,22167,10187,9992,79649,102662,86176,102636,33873,25944,28312,30514,4553,12344,2447,3586,11597,67169,1471,698,1678,2751,5747,9723,10184,17606,8395,8916,103157,126792,42366,43764,49604,60462,46066,63757,53257,268399,254826,193125,89799,13573,66090,2657,158806,133518,130220,122041,112319,13366,8179,3298,2760,1522,1475,538,25288,23243,13763,11324,2045,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Buffalo County; Wisconsin,55011,11127,6990,6980,6781,199,10,4137,6980,-888888888,5443,3215,3209,3136,787,679,1732,1424,6683,5315,372,7,212,107,670,26.5,6781,2221,968,1228,921,1443,6781,647,483,1348,194,686,585,52,259,313,1428,318,238,230,55,6781,5403,824,524,30,5720,172,215,464,460,686,1001,863,1134,481,244,70479,85332,4034,90080,2370,23431,1597,24587,253,11140,102,2169,598,3560,61,44,180,190,438,600,630,840,381,196,85785,96844,38280,2160,44223,60199,44670,59159,48409,13340,12778,9884,5501,562,2812,95,7333,6103,5955,5608,5037,695,347,148,130,85,49,18,1230,1138,658,649,92,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Burnett County; Wisconsin,55013,14625,7317,7317,6960,357,0,7308,7317,-888888888,7141,3513,3513,3394,661,498,1759,1361,6886,5208,482,78,224,84,810,28.3,6960,2351,1048,1311,803,1447,6960,189,613,1214,117,720,374,84,351,424,1535,582,399,358,55,6960,5396,985,552,27,7188,471,363,523,670,802,1414,868,1157,461,459,62819,84457,4167,88259,3826,25882,2897,30544,471,15645,195,3567,900,4361,124,108,135,217,446,894,726,946,369,396,83145,102238,39111,2827,33230,46892,38289,59358,49119,16835,15827,10776,9099,1008,2822,149,8602,6310,5989,5476,4689,1110,513,321,266,178,106,55,2292,2008,1014,1226,284,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Calumet County; Wisconsin,55015,42725,29350,29340,28719,621,10,13375,29340,-888888888,21111,13727,13727,13547,2944,2235,8545,7037,28409,21841,1789,23,410,264,4082,21.8,28719,11455,3408,6108,2091,5657,28719,780,1488,6791,990,2805,1571,346,2150,2357,6143,1284,1119,895,55,28719,24261,3360,1090,8,21372,506,353,841,1428,2376,3688,2649,4912,2508,2111,88810,107837,16731,111251,6933,26755,5877,23436,585,13893,374,2964,1301,14951,256,87,325,707,1032,2298,1960,4035,2286,1965,108912,126269,44798,6421,47507,58977,52511,70138,55459,52784,51411,41346,15427,1373,12301,159,31463,26702,26211,25380,24381,1681,831,491,395,323,75,96,4761,4474,2770,2019,287,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Chippewa County; Wisconsin,55017,54229,34278,34270,33221,1049,8,19951,34270,-888888888,25880,16205,16205,15853,3987,3197,9859,8305,32697,24737,2910,94,571,559,3826,23.2,33221,11398,5342,6383,3550,6548,33221,881,2509,5256,728,5178,1961,400,1817,2096,8158,1814,1310,1113,55,33221,26849,4153,2128,91,27139,933,828,1620,2240,3256,4757,3636,5676,2614,1579,74680,92252,20244,91763,9844,25708,8061,31373,1116,12335,389,2250,3203,17159,403,202,443,800,1829,2607,2536,4583,2296,1460,97912,110789,38156,9980,43617,56477,43288,61517,47352,64362,61533,47679,24633,2829,15100,643,36457,30652,29780,28121,25220,3781,1659,872,767,482,320,105,5805,5418,3223,2637,387,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
Clark County; Wisconsin,55019,25594,16455,16448,15834,614,7,9139,16448,-888888888,12453,7170,7168,6910,3345,1467,6582,3809,15520,10713,1437,14,892,541,1923,22.2,15834,4743,2136,2630,2401,3924,15834,1780,1311,3631,257,1673,947,68,461,630,3133,587,774,582,55,15834,12017,1741,1911,165,12839,417,493,868,1000,1649,2694,1814,2209,969,726,67400,87875,10107,87669,4301,23888,3193,23146,512,11576,246,3157,1348,8766,265,136,250,465,1014,1801,1406,1947,816,666,83495,103147,32627,4073,40230,49472,41378,55803,45289,34345,26610,19410,12009,7735,10700,3609,17946,14369,13805,11173,9904,1645,2632,564,430,182,264,134,3577,2308,1278,1270,1269,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
