year,county_name,households_by_type_total_households,households_by_type_family_households_families,households_by_type_family_households_families_with,households_by_type_family_households_families_marr,households_by_type_family_households_families_marr,households_by_type_family_households_families_male,households_by_type_family_households_families_male,households_by_type_family_households_families_fema,households_by_type_family_households_families_fema,households_by_type_nonfamily_households,households_by_type_nonfamily_households_householde,households_by_type_nonfamily_households_householde,households_by_type_households_with_one_or_more_peo,households_by_type_households_with_one_or_more_peo,households_by_type_average_household_size,households_by_type_average_family_size,relationship_population_in_households,relationship_householder,relationship_spouse,relationship_child,relationship_other_relatives,relationship_nonrelatives,relationship_nonrelatives_unmarried_partner,marital_status_males_15_years_and_over,marital_status_never_married,marital_status_now_married_except_separated,marital_status_separated,marital_status_widowed,marital_status_divorced,marital_status_females_15_years_and_over,marital_status_never_married,marital_status_now_married_except_separated,marital_status_separated,marital_status_widowed,marital_status_divorced,fertility_number_of_women_15_to_50_years_old_who_h,fertility_unmarried_women_widowed_divorced_and_nev,fertility_unmarried_women_widowed_divorced_and_nev,fertility_per_1000_women_15_to_50_years_old,fertility_per_1000_women_15_to_50_years_old_per_10,fertility_per_1000_women_15_to_50_years_old_per_10,fertility_per_1000_women_15_to_50_years_old_per_10,grandparents_number_of_grandparents_living_with_ow,grandparents_responsible_for_grandchildren,grandparents_responsible_for_grandchildren_years_r,state_fips,county_fips,grandparents_responsible_for_grandchildren_years_r,grandparents_responsible_for_grandchildren_years_r,grandparents_responsible_for_grandchildren_years_r,grandparents_number_of_grandparents_responsible_fo,grandparents_who_are_female,grandparents_who_are_married,school_enrollment_population_3_years_and_over_enro,school_enrollment_nursery_school_preschool,school_enrollment_kindergarten,school_enrollment_elementary_school_grades_1_8,school_enrollment_high_school_grades_9_12,school_enrollment_college_or_graduate_school,educational_attainment_population_25_years_and_ove,educational_attainment_less_than_9th_grade,educational_attainment_9th_to_12th_grade_no_diplom,educational_attainment_high_school_graduate_includ,educational_attainment_some_college_no_degree,educational_attainment_associates_degree,educational_attainment_bachelors_degree,educational_attainment_graduate_or_professional_de,educational_attainment_percent_high_school_graduat,educational_attainment_percent_bachelors_degree_or,veteran_status_civilian_population_18_years_and_ov,veteran_status_civilian_veterans,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,residence_1_year_ago_population_1_year_and_over,residence_1_year_ago_same_house,residence_1_year_ago_different_house_in_the_u.s.,residence_1_year_ago_different_house_in_the_u.s._s,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_abroad,place_of_birth_total_population,place_of_birth_native,place_of_birth_native_born_in_united_states,place_of_birth_native_born_in_united_states_state_,place_of_birth_native_born_in_united_states_differ,place_of_birth_native_born_in_puerto_rico_u.s._isl,place_of_birth_foreign_born,u.s._citizenship_status_foreign_born_population,u.s._citizenship_status_naturalized_u.s._citizen,u.s._citizenship_status_not_a_u.s._citizen,year_of_entry_population_born_outside_the_united_s,year_of_entry_native,year_of_entry_entered_2000_or_later,year_of_entry_entered_before_2000,year_of_entry_foreign_born,year_of_entry_entered_2000_or_later,year_of_entry_entered_before_2000,world_region_of_birth_of_foreign_born_foreign_born,world_region_of_birth_of_foreign_born_europe,world_region_of_birth_of_foreign_born_asia,world_region_of_birth_of_foreign_born_africa,world_region_of_birth_of_foreign_born_oceania,world_region_of_birth_of_foreign_born_latin_americ,world_region_of_birth_of_foreign_born_northern_ame,language_spoken_at_home_population_5_years_and_ove,language_spoken_at_home_english_only,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,ancestry_total_population,ancestry_american,ancestry_arab,ancestry_czech,ancestry_danish,ancestry_dutch,ancestry_english,ancestry_french_except_basque,ancestry_french_canadian,ancestry_german,ancestry_greek,ancestry_hungarian,ancestry_irish,ancestry_italian,ancestry_lithuanian,ancestry_norwegian,ancestry_polish,ancestry_portuguese,ancestry_russian,ancestry_scotch_irish,ancestry_scottish,ancestry_slovak,ancestry_subsaharan_african,ancestry_swedish,ancestry_swiss,ancestry_ukrainian,ancestry_welsh,ancestry_west_indian_excluding_hispanic_origin_gro
2010,Arkansas County; Arkansas,8202,5159,1902,3767,1096,280,165,1112,641,3043,2442,909,2203,2070,2.28,2.78,18676,8202,3765,4569,870,1270,460,7560,1918,4383,196,287,776,8148,1655,3816,228,1222,1227,307,234,105,72,207,96,5,394,309,99,05,001,46,49,115,309,214,243,4277,234,343,1932,1135,633,13202,1110,1616,4988,2756,842,1214,676,-888888888,-888888888,14871,1599,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,19078,15456,3347,2485,862,477,385,275,19321,19015,18951,15884,3067,64,306,306,32,274,370,64,0,64,306,240,66,306,0,42,0,0,264,0,18194,17646,548,346,457,284,36,18,44,44,11,0,19321,2033,24,21,16,258,1239,594,9,3006,10,52,2322,345,0,40,85,0,8,188,308,69,69,56,8,0,46,0
2010,Ashley County; Arkansas,8901,6221,2709,4664,1835,409,186,1148,688,2680,2514,1021,3192,2426,2.46,3.01,21903,8901,4661,6190,1672,479,215,8384,1945,5136,196,342,765,9232,1840,4860,302,1164,1066,271,101,45,52,51,110,5,709,448,128,05,003,65,121,134,448,239,349,5373,525,237,2577,1392,642,14869,808,2008,6693,2747,582,1529,502,-888888888,-888888888,16593,1584,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,21876,18650,3219,2321,898,571,327,7,22126,21690,21600,15227,6373,90,436,436,84,352,526,90,0,90,436,101,335,436,0,20,0,0,416,0,20717,19889,828,366,780,366,41,0,0,0,7,0,22126,3496,0,22,10,345,2458,443,40,735,13,0,2421,272,0,34,64,0,0,527,321,0,17,52,0,0,18,27
2010,Baxter County; Arkansas,18744,12400,3718,10246,2488,603,257,1551,973,6344,5322,2699,4297,7675,2.17,2.60,40687,18744,10206,8335,1350,2052,1011,16647,2902,10744,232,659,2110,18526,2338,10502,392,2899,2395,275,43,13,36,3,86,9,637,321,57,05,005,55,20,189,321,187,267,7651,504,397,3584,1699,1467,31371,1553,3566,11777,7722,2196,3084,1473,-888888888,-888888888,33782,6248,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,41094,33603,7316,4068,3248,1089,2159,175,41388,40583,40318,13850,26468,265,805,805,529,276,1070,265,46,219,805,153,652,805,419,138,3,22,173,50,39406,38352,1054,267,361,123,582,92,91,52,20,0,41388,4029,24,455,262,1287,5385,1181,281,9578,36,186,7739,1090,135,618,1522,48,237,1256,932,45,7,863,108,64,418,104
2010,Benton County; Arkansas,78947,57600,27445,46775,20731,3176,1678,7649,5036,21347,17910,6210,29631,17494,2.63,3.09,207657,78947,46759,63573,9872,8506,3498,78169,18957,49812,924,1789,6687,82093,15812,48466,1639,6642,9534,3042,578,28,58,36,105,22,3535,2015,497,05,007,246,433,839,2015,1230,1504,52956,3440,3075,26147,10833,9461,133625,9614,11479,41597,28343,7996,24145,10451,-888888888,-888888888,151404,16837,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,207175,167603,38654,21535,17119,5396,11723,918,209911,189941,187497,80448,107049,2444,19970,19970,5435,14535,22414,2444,510,1934,19970,6905,13065,19970,737,3331,116,69,15396,321,193149,164604,28545,13481,23240,11888,1977,311,3139,1200,189,82,209911,17610,382,1068,900,4187,23989,5243,586,34319,438,334,24967,5172,156,2633,2741,160,671,4183,5117,31,182,2606,572,144,1795,231
2010,Boone County; Arkansas,14317,9812,4021,8042,2969,588,312,1182,740,4505,3954,1584,4648,4191,2.53,3.08,36191,14317,8064,10262,2058,1490,360,14203,3206,8745,158,505,1589,15338,2648,8349,374,1759,2208,361,81,23,44,30,84,18,840,554,159,05,009,84,118,193,554,296,510,8302,484,439,4103,1961,1315,25086,1612,2461,10247,5447,1675,2466,1178,-888888888,-888888888,27967,3417,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,36299,30222,6057,3570,2487,967,1520,20,36710,36351,36210,19869,16341,141,359,359,129,230,500,141,4,137,359,203,156,359,96,106,0,0,157,0,34376,33572,804,310,534,269,174,0,85,41,11,0,36710,4879,54,216,83,596,4197,779,85,5501,200,58,6510,469,25,108,195,32,23,861,1239,4,0,449,65,0,224,80
2010,Bradley County; Arkansas,4877,3489,1465,2481,998,190,57,818,410,1388,1250,593,1659,1550,2.24,2.66,10920,4877,2471,2746,589,237,212,4460,1229,2565,90,186,390,4815,1147,2546,151,509,462,257,171,154,98,69,201,21,311,231,25,05,011,68,112,26,231,126,149,2539,213,141,1292,595,298,8213,1440,1073,3261,1127,271,745,296,-888888888,-888888888,8851,729,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,11459,9738,1687,1134,553,356,197,34,11638,10841,10837,8907,1930,4,797,797,275,522,801,4,0,4,797,262,535,797,0,0,0,0,797,0,10875,9659,1216,730,1153,679,12,0,0,0,51,51,11638,1411,0,0,58,92,1449,97,22,367,0,0,934,92,0,0,17,0,15,157,83,0,17,12,0,0,24,9
2010,Calhoun County; Arkansas,2123,1508,517,1003,275,229,129,276,113,615,573,294,780,669,2.60,3.12,5529,2123,979,1389,829,209,95,2312,792,1079,67,65,309,2280,410,1164,102,353,251,152,112,201,131,107,257,0,343,264,20,05,013,73,57,114,264,133,233,1127,90,79,460,285,213,3805,359,485,1732,660,318,185,66,-888888888,-888888888,4293,512,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,5485,4975,510,200,310,297,13,0,5529,5449,5437,4612,825,12,80,80,40,40,92,12,0,12,80,80,0,80,0,0,0,0,80,0,5262,5056,206,40,204,40,2,0,0,0,0,0,5529,841,0,0,0,99,417,17,2,480,0,0,781,67,0,0,0,0,0,261,90,0,0,0,101,0,0,3
2010,Carroll County; Arkansas,11437,7894,2986,6352,1968,509,290,1033,728,3543,2818,1012,3452,3235,2.28,2.73,26129,11437,6366,6062,1196,1068,627,10792,2545,6611,245,242,1149,11152,1747,6511,234,1340,1320,345,106,46,62,65,119,21,636,303,106,05,015,59,45,93,303,187,224,5084,264,352,2679,1248,541,18970,1786,2207,6934,3773,968,2217,1085,-888888888,-888888888,20940,2653,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,26657,22331,4280,2342,1938,780,1158,46,26971,24990,24899,11722,13177,91,1981,1981,670,1311,2072,91,3,88,1981,365,1616,1981,153,164,0,0,1641,23,25338,22457,2881,1358,2473,1274,320,60,76,23,12,1,26971,2235,22,140,51,969,3360,580,65,3819,26,33,4282,762,164,235,248,8,53,571,812,8,7,444,132,12,75,52
2010,Chicot County; Arkansas,4705,3058,1183,1748,504,294,172,1016,507,1647,1504,730,1482,1673,2.40,3.01,11300,4705,1680,3490,983,442,332,4675,1752,1893,168,231,631,5065,1414,1864,231,993,563,292,173,107,111,38,296,5,357,209,43,05,017,24,48,94,209,138,146,2653,218,152,1292,695,296,8167,1009,1499,3319,1131,178,635,396,-888888888,-888888888,9201,934,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,11946,10423,1515,862,653,502,151,8,12102,11828,11787,8423,3364,41,274,274,75,199,315,41,11,30,274,51,223,274,42,13,0,0,201,18,11295,10811,484,294,400,281,60,0,24,13,0,0,12102,913,24,6,0,101,694,191,23,410,10,0,1143,297,0,79,17,0,36,89,48,0,126,12,0,7,49,0
2010,Clark County; Arkansas,8348,5201,2047,3885,1308,291,178,1025,561,3147,2631,877,2426,2203,2.31,2.94,19315,8348,3893,5123,1097,854,317,9032,4085,3847,191,291,618,10243,3835,4176,176,1087,969,280,143,34,44,17,78,16,609,509,85,05,019,68,98,258,509,256,448,7895,489,194,1991,1007,4214,13428,917,1352,4946,2382,915,1772,1144,-888888888,-888888888,18396,1828,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,22815,18009,4709,1807,2902,1585,1317,97,23083,22567,22412,15154,7258,155,516,516,209,307,671,155,0,155,516,194,322,516,80,81,0,27,307,21,21803,20890,913,398,705,324,86,38,110,36,12,0,23083,1911,0,37,0,303,2129,645,16,1991,49,0,2582,239,9,99,204,3,41,530,600,10,39,390,48,18,89,32
