year,county_name,households_by_type_total_households,households_by_type_family_households_families,households_by_type_family_households_families_with,households_by_type_family_households_families_marr,households_by_type_family_households_families_marr,households_by_type_family_households_families_male,households_by_type_family_households_families_male,households_by_type_family_households_families_fema,households_by_type_family_households_families_fema,households_by_type_nonfamily_households,households_by_type_nonfamily_households_householde,households_by_type_nonfamily_households_householde,households_by_type_households_with_one_or_more_peo,households_by_type_households_with_one_or_more_peo,households_by_type_average_household_size,households_by_type_average_family_size,relationship_population_in_households,relationship_householder,relationship_spouse,relationship_child,relationship_other_relatives,relationship_nonrelatives,relationship_nonrelatives_unmarried_partner,marital_status_males_15_years_and_over,marital_status_never_married,marital_status_now_married_except_separated,marital_status_separated,marital_status_widowed,marital_status_divorced,marital_status_females_15_years_and_over,marital_status_never_married,marital_status_now_married_except_separated,marital_status_separated,marital_status_widowed,marital_status_divorced,fertility_number_of_women_15_to_50_years_old_who_h,fertility_unmarried_women_widowed_divorced_and_nev,fertility_unmarried_women_widowed_divorced_and_nev,fertility_per_1000_women_15_to_50_years_old,fertility_per_1000_women_15_to_50_years_old_per_10,fertility_per_1000_women_15_to_50_years_old_per_10,fertility_per_1000_women_15_to_50_years_old_per_10,grandparents_number_of_grandparents_living_with_ow,grandparents_responsible_for_grandchildren,grandparents_responsible_for_grandchildren_years_r,state_fips,county_fips,grandparents_responsible_for_grandchildren_years_r,grandparents_responsible_for_grandchildren_years_r,grandparents_responsible_for_grandchildren_years_r,grandparents_number_of_grandparents_responsible_fo,grandparents_who_are_female,grandparents_who_are_married,school_enrollment_population_3_years_and_over_enro,school_enrollment_nursery_school_preschool,school_enrollment_kindergarten,school_enrollment_elementary_school_grades_1_8,school_enrollment_high_school_grades_9_12,school_enrollment_college_or_graduate_school,educational_attainment_population_25_years_and_ove,educational_attainment_less_than_9th_grade,educational_attainment_9th_to_12th_grade_no_diplom,educational_attainment_high_school_graduate_includ,educational_attainment_some_college_no_degree,educational_attainment_associates_degree,educational_attainment_bachelors_degree,educational_attainment_graduate_or_professional_de,educational_attainment_percent_high_school_graduat,educational_attainment_percent_bachelors_degree_or,veteran_status_civilian_population_18_years_and_ov,veteran_status_civilian_veterans,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,residence_1_year_ago_population_1_year_and_over,residence_1_year_ago_same_house,residence_1_year_ago_different_house_in_the_u.s.,residence_1_year_ago_different_house_in_the_u.s._s,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_abroad,place_of_birth_total_population,place_of_birth_native,place_of_birth_native_born_in_united_states,place_of_birth_native_born_in_united_states_state_,place_of_birth_native_born_in_united_states_differ,place_of_birth_native_born_in_puerto_rico_u.s._isl,place_of_birth_foreign_born,u.s._citizenship_status_foreign_born_population,u.s._citizenship_status_naturalized_u.s._citizen,u.s._citizenship_status_not_a_u.s._citizen,year_of_entry_population_born_outside_the_united_s,year_of_entry_native,year_of_entry_entered_2000_or_later,year_of_entry_entered_before_2000,year_of_entry_foreign_born,year_of_entry_entered_2000_or_later,year_of_entry_entered_before_2000,world_region_of_birth_of_foreign_born_foreign_born,world_region_of_birth_of_foreign_born_europe,world_region_of_birth_of_foreign_born_asia,world_region_of_birth_of_foreign_born_africa,world_region_of_birth_of_foreign_born_oceania,world_region_of_birth_of_foreign_born_latin_americ,world_region_of_birth_of_foreign_born_northern_ame,language_spoken_at_home_population_5_years_and_ove,language_spoken_at_home_english_only,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,ancestry_total_population,ancestry_american,ancestry_arab,ancestry_czech,ancestry_danish,ancestry_dutch,ancestry_english,ancestry_french_except_basque,ancestry_french_canadian,ancestry_german,ancestry_greek,ancestry_hungarian,ancestry_irish,ancestry_italian,ancestry_lithuanian,ancestry_norwegian,ancestry_polish,ancestry_portuguese,ancestry_russian,ancestry_scotch_irish,ancestry_scottish,ancestry_slovak,ancestry_subsaharan_african,ancestry_swedish,ancestry_swiss,ancestry_ukrainian,ancestry_welsh,ancestry_west_indian_excluding_hispanic_origin_gro
2010,Alameda County; California,532026,340190,167247,247210,120100,26617,11157,66363,35990,191836,149872,43007,184163,113745,2.72,3.38,1447524,532026,247072,430869,132250,105307,33018,581221,228450,285365,10758,12414,44234,615905,203811,280437,14692,50038,66927,19325,5382,25,49,15,79,31,37815,10517,2588,06,001,2240,2127,3562,10517,7033,7172,407491,26241,19247,145431,80063,136509,994960,74636,66031,201888,182582,68946,239192,161685,-888888888,-888888888,1137305,70376,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,1460470,1222651,221972,143244,78728,58634,20094,15847,1477980,1022541,1003397,729291,274106,19144,455439,455439,232942,222497,474583,19144,3349,15795,455439,125191,330248,455432,29251,263178,10893,7126,140184,4800,1380045,792203,587842,264131,231556,113735,93674,25506,247280,119748,15332,5142,1477980,20054,9875,2954,8333,12456,85798,27499,3945,114059,6105,4173,96625,55129,2319,13927,19584,33159,18510,16795,20544,1292,18620,17517,4296,2877,6309,2943
2010,Alpine County; California,410,260,90,201,66,22,14,37,10,150,123,36,112,94,2.87,3.22,1176,410,195,239,144,188,16,546,133,309,9,4,91,386,146,185,0,8,47,8,0,0,33,0,0,70,32,26,0,06,003,21,5,0,26,9,26,422,93,22,97,83,127,750,6,53,198,213,57,123,100,-888888888,-888888888,869,71,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,1158,1017,124,19,105,81,24,17,1176,1117,1112,596,516,5,59,59,23,36,64,5,0,5,59,19,40,59,22,17,0,0,20,0,1065,932,133,29,39,9,27,0,40,9,27,11,1176,15,0,3,3,32,132,44,9,180,0,0,171,132,0,0,22,4,0,20,32,0,0,38,10,0,18,0
2010,Amador County; California,14715,10019,3208,8249,2303,466,219,1304,686,4696,3568,1545,3658,5139,2.31,2.73,33938,14715,8259,7732,1391,1841,1075,18203,5138,8937,462,798,2868,14915,2359,8710,258,1659,1929,281,80,26,43,2,85,33,680,398,246,06,005,13,63,76,398,234,344,7403,396,465,2953,2454,1135,29197,820,2847,8902,8324,2760,3841,1703,-888888888,-888888888,31621,5453,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,38076,32189,5833,2942,2891,2582,309,54,38327,35998,35684,25731,9953,314,2329,2329,1071,1258,2643,314,65,249,2329,204,2125,2329,676,319,70,3,1030,231,37022,33918,3104,940,2230,744,614,132,181,45,79,19,38327,1529,105,61,889,1165,5841,1987,657,7596,292,259,7114,3595,43,969,383,942,388,1142,1124,0,49,1620,259,97,245,8
2010,Butte County; California,85465,52377,21689,39037,14088,3953,2180,9387,5421,33088,24636,9484,24653,23626,2.50,3.04,213520,85465,38905,55782,12238,21130,6155,88829,32989,42202,2195,2633,8810,91964,26756,41108,1961,9250,12889,2917,1063,34,55,16,106,15,4417,1701,199,06,007,321,292,889,1701,1114,1192,68241,2893,2714,20595,11988,30051,138733,7025,12827,32852,39922,12615,22275,11217,-888888888,-888888888,171740,21099,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,215868,168080,46895,32351,14544,11220,3324,893,218635,201339,199661,148912,50749,1678,17296,17296,7772,9524,18974,1678,371,1307,17296,3784,13512,17296,2145,5106,390,73,8716,866,206404,176236,30168,12608,19147,7904,4428,887,5970,3651,623,166,218635,16200,457,1118,3053,5400,29512,8900,1375,43688,1237,998,31158,14063,318,5034,3001,5059,1829,6323,6222,163,388,5060,1596,314,1845,163
2010,Calaveras County; California,18794,13368,3883,11118,3027,633,204,1617,652,5426,4321,1942,4634,6484,2.44,2.83,45769,18794,11087,10790,2652,2446,866,19220,4523,11792,226,633,2046,19623,3280,11447,413,2156,2327,334,115,31,38,0,84,23,1037,405,187,06,009,19,37,162,405,242,315,9339,312,467,4212,2471,1877,33871,894,2244,10213,10515,3363,4423,2219,-888888888,-888888888,36751,5691,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,45673,41456,4164,1923,2241,1961,280,53,45994,44131,43646,32089,11557,485,1863,1863,954,909,2348,485,0,485,1863,180,1683,1863,321,378,0,32,855,277,44089,41213,2876,762,1728,567,443,72,229,29,476,94,45994,2323,49,193,306,1500,6976,2628,227,10349,428,318,7843,4106,97,1379,704,1216,613,1307,1680,0,19,1408,261,65,574,0
2010,Colusa County; California,6972,5080,2409,3834,1609,301,68,945,732,1892,1615,702,2740,1708,2.91,3.46,20314,6972,3839,7148,1491,864,527,8147,2568,4609,69,222,679,7853,2103,4182,168,825,575,285,111,47,57,10,87,50,515,202,61,06,011,28,26,87,202,103,142,5762,342,396,2852,1553,619,12974,2504,1320,3560,2994,1072,1148,376,-888888888,-888888888,14848,1118,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,20858,17224,3259,2135,1124,875,249,375,21165,15814,15723,13353,2370,91,5351,5351,1424,3927,5442,91,23,68,5351,1219,4132,5351,67,181,0,38,5027,38,19350,10506,8844,4888,8530,4776,120,33,178,79,16,0,21165,1035,8,20,154,348,1352,494,57,2795,52,40,1600,666,0,177,31,460,17,239,378,0,6,319,173,4,47,11
2010,Contra Costa County; California,368087,259502,126914,197800,94084,19054,8827,42648,24003,108585,87899,32211,137483,88375,2.75,3.28,1013554,368087,197780,322772,71786,53129,20163,392192,128303,216952,6020,9451,31466,421363,115821,213635,9087,35575,47245,13146,3336,26,51,21,93,30,22776,6901,1803,06,013,1353,1249,2496,6901,4200,4693,279483,18389,14380,114940,64107,67667,681162,38471,40405,134182,151701,56123,167077,93203,-888888888,-888888888,765585,63557,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,1013029,861737,143545,96433,47112,37919,9193,7747,1024809,782896,769420,568358,201062,13476,241913,241913,122470,119443,255389,13476,2469,11007,241913,60302,181611,241903,22491,101491,6460,3135,104581,3745,957950,647249,310701,129593,165753,80194,51874,14820,84913,32883,8161,1696,1024809,24136,6803,3368,7841,13682,89726,26695,3263,119356,5414,4201,100252,62794,1904,15334,15430,22363,13869,15795,21135,881,15309,16741,4083,2994,6915,2326
2010,Del Norte County; California,9906,6062,2522,4138,1436,443,204,1481,882,3844,3374,1300,2932,3021,2.56,3.27,25321,9906,4155,7768,1843,1649,576,13126,4937,5642,347,410,1790,10191,2590,4370,317,1298,1616,345,146,46,62,36,115,31,565,284,63,06,015,11,121,89,284,204,192,6887,348,317,3004,1593,1625,19376,1078,2553,6160,5233,1586,1924,842,-888888888,-888888888,22115,3154,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,28054,22471,5519,2433,3086,2469,617,64,28471,26405,26078,18145,7933,327,2066,2066,856,1210,2393,327,149,178,2066,376,1690,2066,317,491,0,92,1117,49,26767,22305,4462,1171,3093,830,279,27,768,303,322,11,28471,1588,66,142,248,520,3337,905,174,4996,139,33,4362,1424,50,648,430,139,89,705,746,20,240,741,125,12,120,7
2010,El Dorado County; California,68394,49338,20978,40472,15877,2793,1510,6073,3591,19056,14431,5003,22591,16956,2.60,3.02,177836,68394,40435,51579,7820,9608,4477,72375,19865,42319,1220,1560,7411,73027,15748,41659,1360,5572,8688,1803,548,29,44,14,91,27,3037,966,418,06,017,274,54,220,966,578,784,47876,3359,2116,19538,11221,11642,123862,2944,6065,28918,35042,12432,25947,12514,-888888888,-888888888,136843,17652,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,177387,153795,23094,12973,10121,7562,2559,498,179053,164976,163191,115286,47905,1785,14077,14077,8066,6011,15862,1785,165,1620,14077,2533,11544,14077,2961,3876,184,229,6127,700,169191,149234,19957,7219,12396,5508,4122,621,2768,950,671,140,179053,7520,510,649,2522,3707,26583,7625,1575,38333,1069,1175,26470,14222,172,4973,3418,3685,1852,4490,6485,199,378,5686,1591,441,1950,0
2010,Fresno County; California,283836,205821,111086,140779,72326,18916,10019,46126,28741,78015,61487,22362,125551,63617,3.14,3.70,890577,283836,140659,322709,91711,51662,18601,338648,132138,165839,7153,7123,26395,344181,108936,158453,12344,29101,35347,16365,6252,52,71,27,127,31,28236,8234,1747,06,019,2044,1429,3014,8234,4867,6217,283502,13904,14716,120141,65841,68900,529358,85271,57362,123075,119414,40005,71055,33176,-888888888,-888888888,633637,45640,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,893994,748525,140653,113340,27313,20316,6997,4816,908830,711335,705343,583612,121731,5992,197495,197495,64474,133021,203487,5992,1029,4963,197495,50166,147329,197495,6474,50351,1720,503,137011,1436,831261,477096,354165,157195,270459,122575,26502,8953,51428,23622,5776,2045,908830,14898,6107,1614,5435,9478,47700,14157,1758,79514,1867,901,52878,31467,260,6035,4529,11721,5245,9106,9885,140,3174,9241,2214,1665,4002,711
