year,county_name,households_by_type_total_households,households_by_type_family_households_families,households_by_type_family_households_families_with,households_by_type_family_households_families_marr,households_by_type_family_households_families_marr,households_by_type_family_households_families_male,households_by_type_family_households_families_male,households_by_type_family_households_families_fema,households_by_type_family_households_families_fema,households_by_type_nonfamily_households,households_by_type_nonfamily_households_householde,households_by_type_nonfamily_households_householde,households_by_type_households_with_one_or_more_peo,households_by_type_households_with_one_or_more_peo,households_by_type_average_household_size,households_by_type_average_family_size,relationship_population_in_households,relationship_householder,relationship_spouse,relationship_child,relationship_other_relatives,relationship_nonrelatives,relationship_nonrelatives_unmarried_partner,marital_status_males_15_years_and_over,marital_status_never_married,marital_status_now_married_except_separated,marital_status_separated,marital_status_widowed,marital_status_divorced,marital_status_females_15_years_and_over,marital_status_never_married,marital_status_now_married_except_separated,marital_status_separated,marital_status_widowed,marital_status_divorced,fertility_number_of_women_15_to_50_years_old_who_h,fertility_unmarried_women_widowed_divorced_and_nev,fertility_unmarried_women_widowed_divorced_and_nev,fertility_per_1000_women_15_to_50_years_old,fertility_per_1000_women_15_to_50_years_old_per_10,fertility_per_1000_women_15_to_50_years_old_per_10,fertility_per_1000_women_15_to_50_years_old_per_10,grandparents_number_of_grandparents_living_with_ow,grandparents_responsible_for_grandchildren,grandparents_responsible_for_grandchildren_years_r,state_fips,county_fips,grandparents_responsible_for_grandchildren_years_r,grandparents_responsible_for_grandchildren_years_r,grandparents_responsible_for_grandchildren_years_r,grandparents_number_of_grandparents_responsible_fo,grandparents_who_are_female,grandparents_who_are_married,school_enrollment_population_3_years_and_over_enro,school_enrollment_nursery_school_preschool,school_enrollment_kindergarten,school_enrollment_elementary_school_grades_1_8,school_enrollment_high_school_grades_9_12,school_enrollment_college_or_graduate_school,educational_attainment_population_25_years_and_ove,educational_attainment_less_than_9th_grade,educational_attainment_9th_to_12th_grade_no_diplom,educational_attainment_high_school_graduate_includ,educational_attainment_some_college_no_degree,educational_attainment_associates_degree,educational_attainment_bachelors_degree,educational_attainment_graduate_or_professional_de,educational_attainment_percent_high_school_graduat,educational_attainment_percent_bachelors_degree_or,veteran_status_civilian_population_18_years_and_ov,veteran_status_civilian_veterans,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,residence_1_year_ago_population_1_year_and_over,residence_1_year_ago_same_house,residence_1_year_ago_different_house_in_the_u.s.,residence_1_year_ago_different_house_in_the_u.s._s,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_abroad,place_of_birth_total_population,place_of_birth_native,place_of_birth_native_born_in_united_states,place_of_birth_native_born_in_united_states_state_,place_of_birth_native_born_in_united_states_differ,place_of_birth_native_born_in_puerto_rico_u.s._isl,place_of_birth_foreign_born,u.s._citizenship_status_foreign_born_population,u.s._citizenship_status_naturalized_u.s._citizen,u.s._citizenship_status_not_a_u.s._citizen,year_of_entry_population_born_outside_the_united_s,year_of_entry_native,year_of_entry_entered_2000_or_later,year_of_entry_entered_before_2000,year_of_entry_foreign_born,year_of_entry_entered_2000_or_later,year_of_entry_entered_before_2000,world_region_of_birth_of_foreign_born_foreign_born,world_region_of_birth_of_foreign_born_europe,world_region_of_birth_of_foreign_born_asia,world_region_of_birth_of_foreign_born_africa,world_region_of_birth_of_foreign_born_oceania,world_region_of_birth_of_foreign_born_latin_americ,world_region_of_birth_of_foreign_born_northern_ame,language_spoken_at_home_population_5_years_and_ove,language_spoken_at_home_english_only,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,ancestry_total_population,ancestry_american,ancestry_arab,ancestry_czech,ancestry_danish,ancestry_dutch,ancestry_english,ancestry_french_except_basque,ancestry_french_canadian,ancestry_german,ancestry_greek,ancestry_hungarian,ancestry_irish,ancestry_italian,ancestry_lithuanian,ancestry_norwegian,ancestry_polish,ancestry_portuguese,ancestry_russian,ancestry_scotch_irish,ancestry_scottish,ancestry_slovak,ancestry_subsaharan_african,ancestry_swedish,ancestry_swiss,ancestry_ukrainian,ancestry_welsh,ancestry_west_indian_excluding_hispanic_origin_gro
2010,Beaverhead County; Montana,3918,2538,989,2053,670,150,104,335,215,1380,1099,387,1078,1002,2.26,2.77,8845,3918,2058,2156,278,435,161,3786,1118,2078,67,87,436,3877,1034,2181,32,273,357,147,50,42,65,0,138,38,123,75,11,30,001,64,0,0,75,44,64,2586,117,147,786,474,1062,5987,171,317,1770,1468,439,1253,569,-888888888,-888888888,7252,1110,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,8986,7551,1435,741,694,396,298,0,9132,8901,8831,4358,4473,70,231,231,53,178,301,70,0,70,231,118,113,231,66,126,0,0,30,9,8679,8126,553,174,295,49,122,0,134,125,2,0,9132,315,16,77,295,317,2180,582,97,2419,25,32,1406,331,7,724,171,14,38,159,597,0,0,311,166,21,229,0
2010,Big Horn County; Montana,3584,2600,965,1698,540,224,127,678,298,984,854,355,1448,981,3.52,4.11,12605,3584,1734,4227,2122,938,241,4469,1781,1939,104,173,472,4710,1603,1951,89,495,572,262,155,88,88,121,170,13,682,342,59,30,003,115,16,152,342,235,246,3732,468,200,1728,705,631,7144,358,814,2552,1982,540,531,367,-888888888,-888888888,8450,790,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,12346,10216,2122,1292,830,462,368,8,12663,12578,12578,9292,3286,0,85,85,70,15,85,0,0,0,85,0,85,85,14,36,0,2,1,32,11366,8409,2957,79,58,13,54,8,0,0,2845,58,12663,1537,0,64,9,82,394,182,57,1298,23,55,614,64,0,252,130,6,55,132,147,0,10,198,17,0,81,0
2010,Blaine County; Montana,2338,1634,785,1098,468,175,92,361,225,704,649,244,927,573,2.71,3.28,6330,2338,1089,2107,522,274,85,2450,895,1208,46,71,230,2409,604,1198,22,307,278,110,47,66,81,107,140,22,208,145,74,30,005,5,15,51,145,105,79,1749,142,119,846,409,233,3943,209,367,1203,1073,412,550,129,-888888888,-888888888,4532,674,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,6363,5812,551,324,227,93,134,0,6472,6440,6412,5454,958,28,32,32,27,5,60,28,0,28,32,0,32,32,10,0,0,0,0,22,5929,5661,268,13,13,4,111,2,0,0,144,7,6472,128,15,30,29,156,366,159,53,1486,9,10,427,68,0,597,62,0,38,53,137,6,0,165,5,6,10,0
2010,Broadwater County; Montana,1878,1234,400,1071,343,31,25,132,32,644,494,231,505,582,2.76,3.31,5186,1878,1072,1619,156,461,116,2015,553,1187,7,26,242,2079,367,1159,56,211,286,33,13,25,28,0,114,0,43,43,0,30,007,34,0,9,43,23,43,1375,58,34,853,337,93,3501,162,195,1629,832,150,436,97,-888888888,-888888888,3879,668,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,5258,4423,835,358,477,213,264,0,5287,5251,5218,3211,2007,33,36,36,27,9,69,33,0,33,36,0,36,36,32,0,0,0,0,4,5042,4982,60,6,6,6,54,0,0,0,0,0,5287,124,0,81,54,255,857,184,68,2046,7,2,819,134,0,420,41,0,0,116,337,0,0,158,0,0,33,0
2010,Carbon County; Montana,4149,2794,1040,2386,773,146,83,262,184,1355,1043,464,1215,1207,2.37,2.81,9834,4149,2416,2187,452,630,299,4167,1054,2518,2,110,483,4157,656,2530,28,360,583,70,43,45,34,16,53,29,146,93,10,30,009,32,13,38,93,46,88,2049,101,148,1059,534,207,7347,245,391,2645,1453,520,1591,502,-888888888,-888888888,7874,1100,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,9962,8364,1595,942,653,369,284,3,9994,9782,9728,5314,4414,54,212,212,106,106,266,54,0,54,212,33,179,212,98,50,0,8,11,45,9576,9355,221,45,63,14,114,12,33,19,11,0,9994,1257,40,65,99,369,1451,160,100,3225,8,22,1620,359,8,657,167,28,72,272,443,6,0,209,85,0,131,0
2010,Carter County; Montana,580,398,120,366,96,3,3,29,21,182,157,80,126,227,2.21,2.67,1279,580,361,275,28,35,15,556,109,379,9,4,55,562,66,392,0,69,35,4,0,0,17,0,73,0,4,0,0,30,011,0,0,0,0,0,0,229,6,11,110,92,10,996,41,48,373,302,81,107,44,-888888888,-888888888,1063,140,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,1286,1180,106,31,75,45,30,0,1289,1284,1284,584,700,0,5,5,1,4,5,0,0,0,5,0,5,5,1,0,0,0,0,4,1263,1242,21,6,9,6,0,0,0,0,12,0,1289,56,0,17,25,27,252,72,17,535,0,0,159,10,0,242,16,0,4,38,37,14,0,14,11,0,23,0
2010,Cascade County; Montana,33164,21965,9477,17401,6698,1327,700,3237,2079,11199,9514,3702,10310,8732,2.37,2.92,78443,33164,17482,21857,2740,3200,1755,32232,8985,17858,330,900,4159,33030,6327,18406,660,3499,4138,1289,355,43,68,41,134,17,1269,422,124,30,013,133,66,99,422,285,362,19511,1156,1025,7969,4654,4707,53534,1297,3619,16274,14510,5046,8836,3952,-888888888,-888888888,58859,11445,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,79427,64079,15072,8702,6370,2144,4226,276,80562,78804,77181,43849,33332,1623,1758,1758,1180,578,3381,1623,280,1343,1758,222,1536,1758,609,389,42,0,148,570,75281,71580,3701,688,1261,204,1507,291,410,128,523,65,80562,3662,221,852,819,2003,9907,2988,893,22968,341,349,13744,3199,164,8276,2325,249,959,2193,2357,125,567,2851,443,364,664,109
2010,Chouteau County; Montana,2170,1573,630,1301,495,58,29,214,106,597,573,294,734,717,2.60,3.13,5635,2170,1305,1607,444,109,44,2226,611,1400,9,58,148,2282,469,1334,11,266,202,60,27,50,51,69,86,22,154,110,31,30,015,21,22,36,110,60,80,1467,142,109,653,396,167,3767,159,211,1342,898,308,670,179,-888888888,-888888888,4197,584,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,5710,5170,517,196,321,185,136,23,5765,5679,5646,4322,1324,33,86,86,51,35,119,33,0,33,86,23,63,86,27,19,12,8,5,15,5354,5313,41,8,17,5,15,0,3,3,6,0,5765,114,14,134,60,104,646,309,46,1594,19,3,752,84,0,565,112,16,47,71,229,51,12,155,26,9,81,0
2010,Custer County; Montana,5168,3052,1553,2454,1091,139,107,459,355,2116,1848,768,1643,1411,2.18,2.83,11265,5168,2498,2863,237,499,262,4684,1089,2675,58,148,714,4737,983,2468,101,630,555,238,75,62,97,12,191,54,162,112,27,30,017,19,2,64,112,46,112,2588,105,207,1021,762,493,7894,211,482,2897,2042,748,1159,355,-888888888,-888888888,8905,1220,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,11420,8972,2390,1293,1097,491,606,58,11548,11421,11364,7045,4319,57,127,127,43,84,184,57,16,41,127,51,76,127,32,24,0,0,38,33,10774,10530,244,29,93,13,149,16,2,0,0,0,11548,1647,59,106,120,216,1225,379,117,3878,27,26,2113,294,3,1632,316,10,112,347,421,18,32,400,80,66,132,30
2010,Daniels County; Montana,773,509,194,431,145,28,12,50,37,264,221,114,199,268,2.12,2.56,1639,773,427,363,6,70,50,677,101,486,5,24,61,674,67,403,28,107,69,3,0,0,9,0,36,0,0,0,0,30,019,0,0,0,0,0,0,328,4,59,163,82,20,1232,27,39,410,352,161,175,68,-888888888,-888888888,1283,184,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,1636,1499,137,107,30,14,16,0,1649,1623,1611,1238,373,12,26,26,21,5,38,12,0,12,26,0,26,26,6,0,0,0,0,20,1585,1572,13,0,13,0,0,0,0,0,0,0,1649,19,0,15,71,47,148,152,3,524,0,0,137,5,0,650,57,0,0,6,17,0,0,55,5,16,5,0
