year,county_name,households_by_type_total_households,households_by_type_family_households_families,households_by_type_family_households_families_with,households_by_type_family_households_families_marr,households_by_type_family_households_families_marr,households_by_type_family_households_families_male,households_by_type_family_households_families_male,households_by_type_family_households_families_fema,households_by_type_family_households_families_fema,households_by_type_nonfamily_households,households_by_type_nonfamily_households_householde,households_by_type_nonfamily_households_householde,households_by_type_households_with_one_or_more_peo,households_by_type_households_with_one_or_more_peo,households_by_type_average_household_size,households_by_type_average_family_size,relationship_population_in_households,relationship_householder,relationship_spouse,relationship_child,relationship_other_relatives,relationship_nonrelatives,relationship_nonrelatives_unmarried_partner,marital_status_males_15_years_and_over,marital_status_never_married,marital_status_now_married_except_separated,marital_status_separated,marital_status_widowed,marital_status_divorced,marital_status_females_15_years_and_over,marital_status_never_married,marital_status_now_married_except_separated,marital_status_separated,marital_status_widowed,marital_status_divorced,fertility_number_of_women_15_to_50_years_old_who_h,fertility_unmarried_women_widowed_divorced_and_nev,fertility_unmarried_women_widowed_divorced_and_nev,fertility_per_1000_women_15_to_50_years_old,fertility_per_1000_women_15_to_50_years_old_per_10,fertility_per_1000_women_15_to_50_years_old_per_10,fertility_per_1000_women_15_to_50_years_old_per_10,grandparents_number_of_grandparents_living_with_ow,grandparents_responsible_for_grandchildren,grandparents_responsible_for_grandchildren_years_r,state_fips,county_fips,grandparents_responsible_for_grandchildren_years_r,grandparents_responsible_for_grandchildren_years_r,grandparents_responsible_for_grandchildren_years_r,grandparents_number_of_grandparents_responsible_fo,grandparents_who_are_female,grandparents_who_are_married,school_enrollment_population_3_years_and_over_enro,school_enrollment_nursery_school_preschool,school_enrollment_kindergarten,school_enrollment_elementary_school_grades_1_8,school_enrollment_high_school_grades_9_12,school_enrollment_college_or_graduate_school,educational_attainment_population_25_years_and_ove,educational_attainment_less_than_9th_grade,educational_attainment_9th_to_12th_grade_no_diplom,educational_attainment_high_school_graduate_includ,educational_attainment_some_college_no_degree,educational_attainment_associates_degree,educational_attainment_bachelors_degree,educational_attainment_graduate_or_professional_de,educational_attainment_percent_high_school_graduat,educational_attainment_percent_bachelors_degree_or,veteran_status_civilian_population_18_years_and_ov,veteran_status_civilian_veterans,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,residence_1_year_ago_population_1_year_and_over,residence_1_year_ago_same_house,residence_1_year_ago_different_house_in_the_u.s.,residence_1_year_ago_different_house_in_the_u.s._s,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_abroad,place_of_birth_total_population,place_of_birth_native,place_of_birth_native_born_in_united_states,place_of_birth_native_born_in_united_states_state_,place_of_birth_native_born_in_united_states_differ,place_of_birth_native_born_in_puerto_rico_u.s._isl,place_of_birth_foreign_born,u.s._citizenship_status_foreign_born_population,u.s._citizenship_status_naturalized_u.s._citizen,u.s._citizenship_status_not_a_u.s._citizen,year_of_entry_population_born_outside_the_united_s,year_of_entry_native,year_of_entry_entered_2000_or_later,year_of_entry_entered_before_2000,year_of_entry_foreign_born,year_of_entry_entered_2000_or_later,year_of_entry_entered_before_2000,world_region_of_birth_of_foreign_born_foreign_born,world_region_of_birth_of_foreign_born_europe,world_region_of_birth_of_foreign_born_asia,world_region_of_birth_of_foreign_born_africa,world_region_of_birth_of_foreign_born_oceania,world_region_of_birth_of_foreign_born_latin_americ,world_region_of_birth_of_foreign_born_northern_ame,language_spoken_at_home_population_5_years_and_ove,language_spoken_at_home_english_only,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,ancestry_total_population,ancestry_american,ancestry_arab,ancestry_czech,ancestry_danish,ancestry_dutch,ancestry_english,ancestry_french_except_basque,ancestry_french_canadian,ancestry_german,ancestry_greek,ancestry_hungarian,ancestry_irish,ancestry_italian,ancestry_lithuanian,ancestry_norwegian,ancestry_polish,ancestry_portuguese,ancestry_russian,ancestry_scotch_irish,ancestry_scottish,ancestry_slovak,ancestry_subsaharan_african,ancestry_swedish,ancestry_swiss,ancestry_ukrainian,ancestry_welsh,ancestry_west_indian_excluding_hispanic_origin_gro
2010,Adams County; Nebraska,12403,8269,3869,6865,3027,355,199,1049,643,4134,3167,1313,4178,3168,2.42,2.93,30019,12403,6851,8048,1057,1660,743,12260,3660,7239,47,291,1023,12608,2805,6957,91,1459,1296,481,158,49,68,28,143,15,537,167,60,31,001,47,51,9,167,77,120,8216,436,461,3283,1714,2322,19909,852,1328,6404,4858,2192,2716,1559,-888888888,-888888888,23537,2580,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,30697,24940,5727,3368,2359,1540,819,30,31126,29602,29467,23391,6076,135,1524,1524,366,1158,1659,135,0,135,1524,470,1054,1524,63,352,0,0,1092,17,28981,26917,2064,1177,1599,890,111,35,342,252,12,0,31126,1337,39,1189,768,698,3083,1024,92,15904,0,11,3817,363,12,328,772,23,315,665,633,0,13,1511,113,0,233,17
2010,Antelope County; Nebraska,2792,2008,834,1698,604,99,72,211,158,784,733,345,871,815,2.35,2.81,6549,2792,1706,1815,115,121,77,2704,629,1787,6,73,209,2743,422,1715,32,363,211,153,44,91,117,93,288,18,79,62,18,31,003,5,36,3,62,31,59,1487,97,108,655,423,204,4699,192,288,1901,1068,476,562,212,-888888888,-888888888,5124,739,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,6606,5807,799,351,448,271,177,0,6742,6663,6635,5547,1088,28,79,79,29,50,107,28,2,26,79,18,61,79,5,8,0,0,63,3,6315,6117,198,82,120,80,78,2,0,0,0,0,6742,230,0,218,164,154,656,169,5,4106,0,0,1006,107,0,115,202,0,46,84,58,0,0,283,78,0,25,0
2010,Arthur County; Nebraska,178,121,70,90,48,5,0,26,22,57,42,24,70,55,2.39,2.85,426,178,88,134,2,24,20,168,35,94,0,10,29,149,18,90,6,10,25,2,0,0,24,0,53,0,0,0,0,31,005,0,0,0,0,0,0,104,12,6,57,24,5,285,8,12,73,95,46,38,13,-888888888,-888888888,295,37,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,422,383,39,5,34,21,13,0,426,425,425,326,99,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,398,380,18,2,9,2,8,0,1,0,0,0,426,23,0,41,31,50,50,6,3,178,0,0,77,0,0,6,0,0,1,4,0,0,0,45,0,0,6,0
2010,Banner County; Nebraska,320,217,97,196,84,13,13,8,0,103,93,64,101,96,2.25,2.80,720,320,188,187,16,9,0,293,41,229,0,18,5,284,36,186,0,54,8,16,0,0,127,0,342,40,7,7,0,31,007,0,7,0,7,3,7,177,9,4,80,38,46,494,12,17,153,119,69,81,43,-888888888,-888888888,537,49,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,699,638,56,22,34,22,12,5,720,693,670,443,227,23,27,27,3,24,50,23,0,23,27,13,14,27,3,0,0,0,19,5,666,644,22,10,15,10,0,0,0,0,7,0,720,59,0,25,24,55,79,19,0,270,0,0,82,6,0,61,0,0,0,11,44,0,0,59,0,0,0,0
2010,Blaine County; Nebraska,242,197,52,178,38,12,7,7,7,45,38,11,52,82,2.23,2.45,539,242,183,101,1,12,12,240,36,180,0,6,18,224,22,185,0,10,7,7,0,0,71,0,159,0,0,0,0,31,009,0,0,0,0,0,0,108,11,11,26,23,37,414,5,13,187,76,51,69,13,-888888888,-888888888,442,44,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,535,498,28,6,22,16,6,9,539,539,536,441,95,3,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,503,503,0,0,0,0,0,0,0,0,0,0,539,28,3,15,13,24,87,8,0,259,0,8,80,0,0,0,5,4,10,31,16,0,0,8,8,0,9,0
2010,Boone County; Nebraska,2382,1579,691,1418,583,60,45,101,63,803,767,372,744,779,2.28,2.86,5433,2382,1423,1463,52,113,59,2253,599,1384,21,87,162,2271,297,1525,3,322,124,108,15,48,97,39,144,85,48,7,0,31,011,3,0,4,7,7,0,1139,71,107,547,348,66,3844,129,187,1626,878,418,417,189,-888888888,-888888888,4226,635,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,5497,4785,712,450,262,216,46,0,5553,5540,5540,4991,549,0,13,13,9,4,13,0,0,0,13,4,9,13,9,0,4,0,0,0,5247,5207,40,8,22,8,18,0,0,0,0,0,5553,297,0,325,123,96,373,81,9,3550,35,2,968,17,0,269,377,0,20,56,43,21,0,341,17,0,67,0
2010,Box Butte County; Nebraska,4793,3278,1478,2617,1017,129,86,532,375,1515,1358,484,1551,1129,2.34,2.85,11211,4793,2597,3092,374,355,208,4472,1227,2695,32,171,347,4592,750,2751,145,511,435,126,63,70,52,45,82,30,67,35,2,31,013,7,4,22,35,27,2,2717,253,91,1176,802,395,7594,294,536,2777,1879,626,1195,287,-888888888,-888888888,8466,1095,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,11249,9471,1755,1061,694,201,493,23,11372,11243,11150,7649,3501,93,129,129,66,63,222,93,0,93,129,41,88,129,23,20,0,0,81,5,10577,9864,713,171,476,157,139,0,61,1,37,13,11372,369,6,256,255,286,1163,235,38,5099,68,43,1918,37,0,340,210,0,62,219,250,0,0,365,73,0,111,0
2010,Boyd County; Nebraska,932,597,187,535,149,18,7,44,31,335,302,147,193,352,2.25,2.77,2097,932,519,512,23,111,40,908,249,533,3,50,73,815,119,530,2,120,44,26,0,0,72,0,205,0,0,0,0,31,015,0,0,0,0,0,0,393,14,23,223,104,29,1511,72,83,629,364,163,166,34,-888888888,-888888888,1651,213,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,2086,1860,226,105,121,100,21,0,2107,2104,2102,1467,635,2,3,3,0,3,5,2,0,2,3,0,3,3,3,0,0,0,0,0,2013,1983,30,3,17,3,13,0,0,0,0,0,2107,41,3,258,43,29,141,36,0,1149,0,0,360,11,0,35,44,6,32,14,16,0,0,128,4,0,36,0
2010,Brown County; Nebraska,1340,754,324,655,255,40,31,59,38,586,524,269,344,506,2.24,3.03,3007,1340,655,807,68,137,52,1215,257,714,43,52,149,1390,165,728,28,300,169,20,8,42,36,85,66,0,30,30,12,31,017,0,4,14,30,21,25,642,47,57,279,195,64,2291,122,147,952,460,225,287,98,-888888888,-888888888,2452,290,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,3158,2742,372,203,169,40,129,44,3192,3151,3144,2305,839,7,41,41,41,0,48,7,7,0,41,0,41,41,23,5,0,0,12,1,3011,2986,25,0,0,0,11,0,14,0,0,0,3192,235,0,67,58,118,426,138,103,1358,0,0,414,19,15,139,23,0,0,39,31,0,0,115,20,12,28,0
2010,Buffalo County; Nebraska,17268,11000,5164,8813,3718,689,416,1498,1030,6268,4744,1679,5434,3609,2.47,3.02,42622,17268,8776,12368,1094,3116,1346,17843,6800,9184,107,389,1363,18628,5390,9210,268,1861,1899,782,230,36,65,30,124,3,372,66,15,31,019,19,7,25,66,32,47,13770,819,466,4578,2311,5596,26933,925,1201,8052,6061,2084,6039,2571,-888888888,-888888888,34596,3102,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,44702,35448,9079,5250,3829,2634,1195,175,45437,43762,43682,34264,9418,80,1675,1675,383,1292,1755,80,0,80,1675,769,906,1675,133,501,48,11,964,18,42190,39464,2726,1088,2007,853,298,94,315,110,106,31,45437,1762,159,2134,1548,690,4416,954,137,20913,159,82,6488,531,55,908,1968,0,269,545,652,12,75,3139,202,0,246,38
