year,county_name,households_by_type_total_households,households_by_type_family_households_families,households_by_type_family_households_families_with,households_by_type_family_households_families_marr,households_by_type_family_households_families_marr,households_by_type_family_households_families_male,households_by_type_family_households_families_male,households_by_type_family_households_families_fema,households_by_type_family_households_families_fema,households_by_type_nonfamily_households,households_by_type_nonfamily_households_householde,households_by_type_nonfamily_households_householde,households_by_type_households_with_one_or_more_peo,households_by_type_households_with_one_or_more_peo,households_by_type_average_household_size,households_by_type_average_family_size,relationship_population_in_households,relationship_householder,relationship_spouse,relationship_child,relationship_other_relatives,relationship_nonrelatives,relationship_nonrelatives_unmarried_partner,marital_status_males_15_years_and_over,marital_status_never_married,marital_status_now_married_except_separated,marital_status_separated,marital_status_widowed,marital_status_divorced,marital_status_females_15_years_and_over,marital_status_never_married,marital_status_now_married_except_separated,marital_status_separated,marital_status_widowed,marital_status_divorced,fertility_number_of_women_15_to_50_years_old_who_h,fertility_unmarried_women_widowed_divorced_and_nev,fertility_unmarried_women_widowed_divorced_and_nev,fertility_per_1000_women_15_to_50_years_old,fertility_per_1000_women_15_to_50_years_old_per_10,fertility_per_1000_women_15_to_50_years_old_per_10,fertility_per_1000_women_15_to_50_years_old_per_10,grandparents_number_of_grandparents_living_with_ow,grandparents_responsible_for_grandchildren,grandparents_responsible_for_grandchildren_years_r,state_fips,county_fips,grandparents_responsible_for_grandchildren_years_r,grandparents_responsible_for_grandchildren_years_r,grandparents_responsible_for_grandchildren_years_r,grandparents_number_of_grandparents_responsible_fo,grandparents_who_are_female,grandparents_who_are_married,school_enrollment_population_3_years_and_over_enro,school_enrollment_nursery_school_preschool,school_enrollment_kindergarten,school_enrollment_elementary_school_grades_1_8,school_enrollment_high_school_grades_9_12,school_enrollment_college_or_graduate_school,educational_attainment_population_25_years_and_ove,educational_attainment_less_than_9th_grade,educational_attainment_9th_to_12th_grade_no_diplom,educational_attainment_high_school_graduate_includ,educational_attainment_some_college_no_degree,educational_attainment_associates_degree,educational_attainment_bachelors_degree,educational_attainment_graduate_or_professional_de,educational_attainment_percent_high_school_graduat,educational_attainment_percent_bachelors_degree_or,veteran_status_civilian_population_18_years_and_ov,veteran_status_civilian_veterans,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,residence_1_year_ago_population_1_year_and_over,residence_1_year_ago_same_house,residence_1_year_ago_different_house_in_the_u.s.,residence_1_year_ago_different_house_in_the_u.s._s,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_abroad,place_of_birth_total_population,place_of_birth_native,place_of_birth_native_born_in_united_states,place_of_birth_native_born_in_united_states_state_,place_of_birth_native_born_in_united_states_differ,place_of_birth_native_born_in_puerto_rico_u.s._isl,place_of_birth_foreign_born,u.s._citizenship_status_foreign_born_population,u.s._citizenship_status_naturalized_u.s._citizen,u.s._citizenship_status_not_a_u.s._citizen,year_of_entry_population_born_outside_the_united_s,year_of_entry_native,year_of_entry_entered_2000_or_later,year_of_entry_entered_before_2000,year_of_entry_foreign_born,year_of_entry_entered_2000_or_later,year_of_entry_entered_before_2000,world_region_of_birth_of_foreign_born_foreign_born,world_region_of_birth_of_foreign_born_europe,world_region_of_birth_of_foreign_born_asia,world_region_of_birth_of_foreign_born_africa,world_region_of_birth_of_foreign_born_oceania,world_region_of_birth_of_foreign_born_latin_americ,world_region_of_birth_of_foreign_born_northern_ame,language_spoken_at_home_population_5_years_and_ove,language_spoken_at_home_english_only,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,ancestry_total_population,ancestry_american,ancestry_arab,ancestry_czech,ancestry_danish,ancestry_dutch,ancestry_english,ancestry_french_except_basque,ancestry_french_canadian,ancestry_german,ancestry_greek,ancestry_hungarian,ancestry_irish,ancestry_italian,ancestry_lithuanian,ancestry_norwegian,ancestry_polish,ancestry_portuguese,ancestry_russian,ancestry_scotch_irish,ancestry_scottish,ancestry_slovak,ancestry_subsaharan_african,ancestry_swedish,ancestry_swiss,ancestry_ukrainian,ancestry_welsh,ancestry_west_indian_excluding_hispanic_origin_gro
2010,Bernalillo County; New Mexico,259165,159338,75417,111043,47104,14464,7273,33831,21040,99827,80690,22211,83455,55423,2.46,3.12,637250,259165,111174,186349,40590,39972,18930,250908,92620,120424,4151,5768,27945,266681,80411,119069,4874,21411,40916,9565,3979,43,58,41,99,23,13243,6593,1560,35,001,1636,908,2489,6593,3988,4481,179778,9422,7895,67978,35538,58945,423230,25516,32877,102762,99432,29149,74119,59375,-888888888,-888888888,488581,57104,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,638136,528089,106513,71396,35117,13976,21141,3534,646881,575930,568025,320693,247332,7905,70951,70951,22426,48525,78856,7905,1141,6764,70951,24216,46735,70951,5453,11641,781,304,51412,1360,602210,415243,186967,55412,155778,47703,9840,1585,10155,4752,11194,1372,646881,17014,2605,2091,2680,7306,49175,14798,3006,74802,2293,1984,54741,21921,951,8357,10984,1662,3973,11097,12467,668,1485,7473,1552,890,4427,607
2010,Catron County; New Mexico,1824,1076,168,939,95,66,20,71,53,748,680,367,187,871,2.00,2.49,3652,1824,969,484,153,222,28,1816,284,1020,44,164,304,1547,168,1078,6,83,212,0,0,0,0,0,0,0,29,29,0,35,003,29,0,0,29,15,29,491,44,8,175,149,115,3157,143,299,1038,779,225,519,154,-888888888,-888888888,3248,701,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,3652,3311,341,10,331,76,255,0,3652,3507,3478,1169,2309,29,145,145,74,71,174,29,0,29,145,47,98,145,10,0,16,0,119,0,3583,3003,580,164,478,136,21,10,0,0,81,18,3652,1062,0,0,61,45,688,35,4,640,0,7,358,40,27,39,17,0,9,85,120,0,0,67,15,0,65,0
2010,Chaves County; New Mexico,23479,16384,7679,11452,4631,1203,624,3729,2424,7095,6130,2439,8868,6488,2.63,3.16,61862,23479,11440,19863,4145,2935,1810,24119,7680,12558,575,837,2469,25414,5898,12354,779,2723,3660,1182,661,83,78,29,153,32,1942,995,368,35,005,187,158,282,995,577,727,17504,927,1172,7294,4303,3808,39742,5083,4352,11628,9485,2960,4061,2173,-888888888,-888888888,46156,5303,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,63311,51369,11748,7238,4510,1760,2750,194,64268,56389,55849,33488,22361,540,7879,7879,2448,5431,8419,540,23,517,7879,1749,6130,7879,224,292,3,16,7272,72,59073,37442,21631,7071,20711,6864,391,26,349,169,180,12,64268,2974,10,72,84,949,5468,969,143,6501,32,71,6008,1032,17,553,793,173,147,1260,757,10,371,614,104,70,210,41
2010,Cibola County; New Mexico,8089,5734,2339,3618,1201,792,463,1324,675,2355,2108,843,2888,2329,3.11,3.78,25173,8089,3667,9002,3246,1169,685,10874,4655,4257,299,363,1300,10476,3708,3956,296,1241,1275,286,148,35,45,45,91,6,1088,667,216,35,006,219,0,232,667,504,394,7129,415,434,3310,2039,931,17529,1371,2772,6601,3433,1334,1238,780,-888888888,-888888888,20071,2257,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,26819,23366,3443,1294,2149,1615,534,10,27179,26456,26382,20123,6259,74,723,723,198,525,797,74,0,74,723,270,453,723,35,33,26,0,614,15,25219,13913,11306,1617,5537,933,61,0,44,10,5664,674,27179,403,2,31,0,226,1057,580,0,1296,9,42,1461,307,0,150,156,7,0,265,446,2,0,84,26,0,27,9
2010,Colfax County; New Mexico,5768,3495,1358,2664,892,235,104,596,362,2273,1847,845,1606,1901,2.33,2.99,13433,5768,2645,3449,872,699,442,5794,1670,2990,59,218,857,5727,1182,2743,65,629,1108,217,55,35,76,28,121,63,428,296,172,35,007,62,22,40,296,178,211,2868,189,44,1331,879,425,9907,378,1010,3454,2502,590,1130,843,-888888888,-888888888,10901,1410,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,13654,11637,1976,941,1035,634,401,41,13827,13308,13242,8131,5111,66,519,519,188,331,585,66,0,66,519,164,355,519,161,58,0,0,296,4,13109,10367,2742,637,2424,525,128,71,54,41,136,0,13827,510,38,8,10,293,1282,167,46,1954,57,31,1335,842,0,187,140,0,64,235,185,51,4,94,0,0,51,5
2010,Curry County; New Mexico,17318,11606,5835,8372,3737,974,522,2260,1576,5712,4910,1528,6605,3678,2.63,3.22,45598,17318,8348,14058,3352,2522,1087,17735,5741,9452,265,395,1882,18072,4340,8730,481,2004,2517,931,388,68,81,82,126,36,947,549,186,35,009,51,126,186,549,309,412,13321,721,669,5559,3026,3346,28386,1997,3252,7919,7652,2411,3206,1949,-888888888,-888888888,32301,4995,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,45825,35202,10347,6538,3809,1216,2593,276,46924,43194,42114,21535,20579,1080,3730,3730,1101,2629,4810,1080,255,825,3730,1388,2342,3730,174,456,37,0,2938,125,42717,32582,10135,3108,9367,2953,251,45,440,89,77,21,46924,5176,55,120,72,452,3139,896,89,5247,82,75,3773,900,0,276,400,68,44,417,631,17,78,261,42,25,132,91
2010,De Baca County; New Mexico,784,516,142,427,93,26,26,63,23,268,249,114,150,279,2.26,2.80,1772,784,405,432,93,58,14,634,118,420,0,32,64,827,91,453,11,182,90,18,4,28,52,0,173,0,16,12,0,35,011,0,4,8,12,4,12,302,30,35,144,56,37,1312,109,166,383,312,83,202,57,-888888888,-888888888,1408,158,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,1743,1594,149,55,94,52,42,0,1772,1735,1733,1199,534,2,37,37,8,29,39,2,2,0,37,18,19,37,0,0,0,0,33,4,1645,1206,439,59,432,59,7,0,0,0,0,0,1772,242,0,6,0,57,170,47,5,310,0,0,131,17,0,0,0,0,9,49,31,0,0,31,0,0,0,0
2010,Doña Ana County; New Mexico,71748,50020,23467,35259,15035,3374,1407,11387,7025,21728,16909,5846,26503,17259,2.73,3.28,195771,71748,35269,65083,13846,9825,3899,76028,27259,39033,1325,2090,6321,80624,24353,38399,2515,6510,8847,3182,1157,41,61,44,110,18,5766,2267,515,35,013,326,450,976,2267,1517,1769,64427,2645,2683,23848,12900,22351,120632,16538,13041,26705,26133,7551,18580,12084,-888888888,-888888888,145918,16184,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,198875,160608,36491,24144,12347,4307,8040,1776,201670,163768,161439,79229,82210,2329,37902,37902,12487,25415,40231,2329,564,1765,37902,8814,29088,37902,1333,1850,336,11,34044,328,186160,89710,96450,32155,92758,31454,1808,239,1134,323,750,139,201670,4353,541,265,674,1398,9652,2739,370,14785,195,366,9368,3365,97,1344,1334,266,506,1929,2011,123,507,1178,271,139,768,59
2010,Eddy County; New Mexico,19320,13411,6158,10231,4183,1001,640,2179,1335,5909,4645,2084,6941,5293,2.68,3.21,51794,19320,10281,16138,3193,2862,1363,20247,6027,11080,248,522,2370,20891,4454,10652,624,2233,2928,758,292,51,64,54,115,24,1207,595,174,35,015,153,77,191,595,305,538,13811,1041,687,6274,3384,2425,34100,2787,3968,11412,8003,2772,3192,1966,-888888888,-888888888,38719,4314,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,51924,43739,8094,5395,2699,926,1773,91,52665,50447,50216,31360,18856,231,2218,2218,926,1292,2449,231,83,148,2218,273,1945,2218,98,155,8,0,1917,40,48855,33710,15145,3371,14781,3295,141,0,198,76,25,0,52665,3680,27,188,99,953,4462,1132,141,5684,26,86,4627,969,9,564,316,183,258,891,1010,0,259,313,100,0,259,180
2010,Grant County; New Mexico,12531,8348,3101,5995,1773,732,442,1621,886,4183,3551,1357,3542,4331,2.34,2.83,29263,12531,6015,7698,1599,1420,854,11855,3316,6502,123,436,1478,12525,2825,6129,359,1305,1907,350,195,57,58,76,91,26,775,478,113,35,017,150,92,123,478,325,281,7338,384,291,2794,1557,2312,20749,1529,1511,5742,5158,1810,2859,2140,-888888888,-888888888,23196,3570,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,29388,24682,4630,2916,1714,477,1237,76,29706,28204,27975,16143,11832,229,1502,1502,771,731,1731,229,21,208,1502,303,1199,1502,205,93,16,70,1101,17,27922,18571,9351,1804,8926,1668,245,50,84,44,96,42,29706,857,3,172,168,542,3544,1020,85,3519,90,105,3085,668,0,344,291,22,115,646,702,0,43,291,70,10,311,119
