year,county_name,households_by_type_total_households,households_by_type_family_households_families,households_by_type_family_households_families_with,households_by_type_family_households_families_marr,households_by_type_family_households_families_marr,households_by_type_family_households_families_male,households_by_type_family_households_families_male,households_by_type_family_households_families_fema,households_by_type_family_households_families_fema,households_by_type_nonfamily_households,households_by_type_nonfamily_households_householde,households_by_type_nonfamily_households_householde,households_by_type_households_with_one_or_more_peo,households_by_type_households_with_one_or_more_peo,households_by_type_average_household_size,households_by_type_average_family_size,relationship_population_in_households,relationship_householder,relationship_spouse,relationship_child,relationship_other_relatives,relationship_nonrelatives,relationship_nonrelatives_unmarried_partner,marital_status_males_15_years_and_over,marital_status_never_married,marital_status_now_married_except_separated,marital_status_separated,marital_status_widowed,marital_status_divorced,marital_status_females_15_years_and_over,marital_status_never_married,marital_status_now_married_except_separated,marital_status_separated,marital_status_widowed,marital_status_divorced,fertility_number_of_women_15_to_50_years_old_who_h,fertility_unmarried_women_widowed_divorced_and_nev,fertility_unmarried_women_widowed_divorced_and_nev,fertility_per_1000_women_15_to_50_years_old,fertility_per_1000_women_15_to_50_years_old_per_10,fertility_per_1000_women_15_to_50_years_old_per_10,fertility_per_1000_women_15_to_50_years_old_per_10,grandparents_number_of_grandparents_living_with_ow,grandparents_responsible_for_grandchildren,grandparents_responsible_for_grandchildren_years_r,state_fips,county_fips,grandparents_responsible_for_grandchildren_years_r,grandparents_responsible_for_grandchildren_years_r,grandparents_responsible_for_grandchildren_years_r,grandparents_number_of_grandparents_responsible_fo,grandparents_who_are_female,grandparents_who_are_married,school_enrollment_population_3_years_and_over_enro,school_enrollment_nursery_school_preschool,school_enrollment_kindergarten,school_enrollment_elementary_school_grades_1_8,school_enrollment_high_school_grades_9_12,school_enrollment_college_or_graduate_school,educational_attainment_population_25_years_and_ove,educational_attainment_less_than_9th_grade,educational_attainment_9th_to_12th_grade_no_diplom,educational_attainment_high_school_graduate_includ,educational_attainment_some_college_no_degree,educational_attainment_associates_degree,educational_attainment_bachelors_degree,educational_attainment_graduate_or_professional_de,educational_attainment_percent_high_school_graduat,educational_attainment_percent_bachelors_degree_or,veteran_status_civilian_population_18_years_and_ov,veteran_status_civilian_veterans,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,residence_1_year_ago_population_1_year_and_over,residence_1_year_ago_same_house,residence_1_year_ago_different_house_in_the_u.s.,residence_1_year_ago_different_house_in_the_u.s._s,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_abroad,place_of_birth_total_population,place_of_birth_native,place_of_birth_native_born_in_united_states,place_of_birth_native_born_in_united_states_state_,place_of_birth_native_born_in_united_states_differ,place_of_birth_native_born_in_puerto_rico_u.s._isl,place_of_birth_foreign_born,u.s._citizenship_status_foreign_born_population,u.s._citizenship_status_naturalized_u.s._citizen,u.s._citizenship_status_not_a_u.s._citizen,year_of_entry_population_born_outside_the_united_s,year_of_entry_native,year_of_entry_entered_2000_or_later,year_of_entry_entered_before_2000,year_of_entry_foreign_born,year_of_entry_entered_2000_or_later,year_of_entry_entered_before_2000,world_region_of_birth_of_foreign_born_foreign_born,world_region_of_birth_of_foreign_born_europe,world_region_of_birth_of_foreign_born_asia,world_region_of_birth_of_foreign_born_africa,world_region_of_birth_of_foreign_born_oceania,world_region_of_birth_of_foreign_born_latin_americ,world_region_of_birth_of_foreign_born_northern_ame,language_spoken_at_home_population_5_years_and_ove,language_spoken_at_home_english_only,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,ancestry_total_population,ancestry_american,ancestry_arab,ancestry_czech,ancestry_danish,ancestry_dutch,ancestry_english,ancestry_french_except_basque,ancestry_french_canadian,ancestry_german,ancestry_greek,ancestry_hungarian,ancestry_irish,ancestry_italian,ancestry_lithuanian,ancestry_norwegian,ancestry_polish,ancestry_portuguese,ancestry_russian,ancestry_scotch_irish,ancestry_scottish,ancestry_slovak,ancestry_subsaharan_african,ancestry_swedish,ancestry_swiss,ancestry_ukrainian,ancestry_welsh,ancestry_west_indian_excluding_hispanic_origin_gro
2011,Iberville Parish; Louisiana,11040,7730,2783,4800,1511,731,282,2199,990,3310,2881,1008,3482,2920,2.65,3.25,29292,11040,4823,9176,3395,858,539,13787,5866,5805,316,294,1506,13458,4555,5080,332,1640,1851,398,231,44,49,0,109,12,1080,669,37,22,047,82,52,498,669,413,423,8402,669,493,3408,2162,1670,22489,2242,3697,9054,4059,744,2009,684,-888888888,-888888888,25728,1845,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,33149,28256,4878,1285,3593,3016,577,15,33455,33092,32916,29834,3082,176,363,363,47,316,539,176,24,152,363,137,226,363,60,87,0,0,216,0,31374,30005,1369,532,483,319,816,156,56,52,14,5,33455,1255,98,8,5,44,1389,6380,854,1691,47,0,1766,1696,7,33,68,2,6,50,164,0,216,14,0,20,20,67
2011,La Salle Parish; Louisiana,5547,4104,1652,3285,1267,232,108,587,277,1443,1359,639,1841,1516,2.50,2.97,13863,5547,3285,4075,708,248,92,6051,1659,3492,123,156,621,5792,986,3370,201,702,533,170,36,31,53,22,105,12,291,173,53,22,059,61,22,37,173,97,136,3366,293,190,1570,914,399,9949,611,1442,4195,1990,350,987,374,-888888888,-888888888,11197,983,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,14594,12557,1981,946,1035,598,437,56,14777,14591,14560,12403,2157,31,186,186,54,132,217,31,17,14,186,61,125,186,11,23,2,0,148,2,13810,13484,326,120,224,111,90,7,2,2,10,0,14777,6231,0,0,4,99,1255,798,48,1113,32,0,1986,208,0,0,0,0,13,236,224,0,19,47,0,0,0,14
2011,Livingston Parish; Louisiana,44166,32942,16200,24961,11492,2490,1492,5491,3216,11224,9506,3144,17977,9121,2.83,3.29,125077,44166,24915,42741,7723,5532,2349,47326,12987,26646,975,1050,5668,49200,10651,26589,1135,4681,6144,1885,638,44,58,14,123,15,3073,2222,562,22,063,305,472,883,2222,1292,1660,32448,2376,1956,16469,6808,4839,79986,4186,8937,31460,18282,3459,10991,2671,-888888888,-888888888,90799,8894,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,123924,110781,13080,6432,6648,5056,1592,63,125732,123632,122664,97804,24860,968,2100,2100,682,1418,3068,968,196,772,2100,839,1261,2100,381,373,50,0,1245,51,116076,111274,4802,1237,2642,905,1683,164,436,165,41,3,125732,12920,177,184,43,1045,24189,22011,2065,11172,230,535,15823,7474,8,435,1096,44,306,1981,1473,13,20,312,80,44,369,0
2011,Natchitoches Parish; Louisiana,15044,9617,4242,6286,2271,550,263,2781,1708,5427,4393,1593,4898,3745,2.52,3.12,37958,15044,6252,11614,2517,2531,536,14545,5561,6694,357,442,1491,16796,6128,6580,590,1788,1710,441,278,43,43,21,77,10,904,532,127,22,069,99,91,215,532,398,310,11894,696,648,4456,1957,4137,23475,1478,3051,8598,4350,939,2939,2120,-888888888,-888888888,29742,2663,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,38925,32991,5853,3333,2520,1772,748,81,39364,38935,38764,32148,6616,171,429,429,132,297,600,171,22,149,429,170,259,429,57,171,7,0,171,23,36696,35847,849,345,416,175,255,64,164,106,14,0,39364,2084,42,185,49,338,3203,4352,138,2360,49,12,3958,910,0,64,143,4,21,558,487,14,174,71,46,0,125,25
2011,Orleans Parish; Louisiana,134342,73163,31617,38893,14129,7225,2494,27045,14994,61179,50177,11261,37612,27224,2.30,3.09,309364,134342,38782,85541,28884,21815,8739,126494,61781,44800,3199,3686,13028,137696,60700,41982,4783,12980,17251,4974,2777,45,57,36,80,38,8557,4488,800,22,071,1184,943,1561,4488,3217,2531,85226,5711,3839,29289,16168,30219,212143,11542,22585,54803,45783,8836,39185,29409,-888888888,-888888888,251306,18694,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,317535,246779,68696,34696,34000,14732,19268,2060,321409,302792,300687,236201,64486,2105,18617,18617,8058,10559,20722,2105,423,1682,18617,8331,10286,18617,2434,6305,1105,42,8403,328,300892,271752,29140,11986,14446,6626,6377,1427,7517,3803,800,130,321409,10586,957,390,511,1237,14009,20842,1950,22649,511,602,18829,12502,217,683,2303,280,1472,2949,3451,147,10674,1164,348,317,754,861
2011,Catahoula Parish; Louisiana,3750,2762,1043,1933,636,186,101,643,306,988,802,376,1352,1054,2.58,3.01,9661,3750,1985,2757,816,353,240,4492,1710,2166,73,119,424,3959,945,1997,111,467,439,221,96,86,100,241,161,14,396,179,77,22,025,35,10,57,179,123,115,2074,217,168,994,464,231,7016,961,1283,2814,1012,230,460,256,-888888888,-888888888,8018,715,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,10269,8206,2053,634,1419,1049,370,10,10448,10399,10362,7645,2717,37,49,49,5,44,86,37,0,37,49,49,0,49,0,0,0,0,49,0,9763,9585,178,70,129,62,34,2,9,0,6,6,10448,2225,0,0,0,36,594,878,7,793,0,2,1731,47,0,16,0,0,0,105,4,0,3,4,0,0,0,0
2011,Calcasieu Parish; Louisiana,72061,49920,22717,35597,14847,3258,1532,11065,6338,22141,18626,6310,25584,17125,2.59,3.12,186591,72061,35635,58402,12024,8469,4002,72523,22910,37709,1778,2110,8016,78150,20096,36960,2854,8049,10191,2619,1151,47,56,26,104,18,4688,2348,533,22,019,583,300,932,2348,1422,1718,49712,3752,2414,21688,10686,11172,122936,7530,13584,44325,26097,7865,17040,6495,-888888888,-888888888,142272,15016,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,188534,153267,34710,24791,9919,5170,4749,557,190891,186669,185306,149994,35312,1363,4222,4222,1754,2468,5585,1363,260,1103,4222,1628,2594,4222,688,1672,69,12,1669,112,177243,164023,13220,3060,3383,1243,8531,1209,989,501,317,107,190891,14774,662,545,249,1639,14548,33932,11920,16449,374,39,17162,6276,65,636,897,397,400,2700,2089,98,509,518,143,48,423,567
2011,Franklin Parish; Louisiana,7965,5553,2343,3719,1441,452,248,1382,654,2412,2153,921,2956,2325,2.45,2.96,19504,7965,3787,5581,1496,675,324,7798,2266,4053,391,245,843,8511,2031,3921,219,1377,963,401,246,107,86,189,131,13,923,552,151,22,041,162,41,198,552,375,430,4845,328,285,2516,1004,712,13736,1571,2779,4884,2532,409,968,593,-888888888,-888888888,15449,1370,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,20400,17203,3184,1539,1645,1258,387,13,20752,20723,20672,17954,2718,51,29,29,27,2,80,51,14,37,29,2,27,29,14,6,7,0,2,0,19214,19066,148,26,82,16,46,10,6,0,14,0,20752,4723,0,0,12,139,1381,1452,35,1190,0,0,2585,194,0,0,0,0,9,329,129,6,70,21,9,0,0,39
2011,Avoyelles Parish; Louisiana,15801,11087,5024,7234,2772,666,292,3187,1960,4714,4069,1830,5914,4121,2.44,2.91,38598,15801,7200,11496,2490,1611,1189,16752,6013,7902,522,485,1830,16818,4103,7480,700,2223,2312,514,295,55,54,52,109,6,992,644,208,22,009,288,29,119,644,485,283,9644,672,569,5078,2271,1054,28018,2897,5446,10876,4816,1282,1744,957,-888888888,-888888888,31652,2997,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,41568,35364,6064,4203,1861,1463,398,140,41977,41629,41526,37383,4143,103,348,348,118,230,451,103,17,86,348,147,201,348,44,141,0,3,131,29,39142,34063,5079,869,381,143,4585,641,113,85,0,0,41977,4702,38,11,37,72,1477,13539,1255,2702,31,16,3213,1369,60,100,21,0,1,198,384,0,72,125,17,38,26,68
2011,Jackson Parish; Louisiana,6037,4481,1762,3331,1273,412,135,738,354,1556,1340,639,2009,1804,2.61,3.07,15776,6037,3299,4750,1244,446,253,6470,1809,3757,163,197,544,6543,1599,3165,192,822,765,173,75,40,48,4,116,4,439,313,65,22,049,106,73,69,313,179,231,3854,246,214,1735,848,811,10957,664,1350,4366,2567,541,949,520,-888888888,-888888888,12327,1241,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,15999,13084,2879,1994,885,417,468,36,16151,15962,15932,13768,2164,30,189,189,110,79,219,30,0,30,189,37,152,189,14,53,0,0,122,0,15080,14827,253,102,143,67,88,13,22,22,0,0,16151,1671,9,0,0,120,1055,840,102,948,30,0,2093,292,0,0,6,14,10,436,177,0,24,18,0,0,59,24
