year,county_name,households_by_type_total_households,households_by_type_family_households_families,households_by_type_family_households_families_with,households_by_type_family_households_families_marr,households_by_type_family_households_families_marr,households_by_type_family_households_families_male,households_by_type_family_households_families_male,households_by_type_family_households_families_fema,households_by_type_family_households_families_fema,households_by_type_nonfamily_households,households_by_type_nonfamily_households_householde,households_by_type_nonfamily_households_householde,households_by_type_households_with_one_or_more_peo,households_by_type_households_with_one_or_more_peo,households_by_type_average_household_size,households_by_type_average_family_size,relationship_population_in_households,relationship_householder,relationship_spouse,relationship_child,relationship_other_relatives,relationship_nonrelatives,relationship_nonrelatives_unmarried_partner,marital_status_males_15_years_and_over,marital_status_never_married,marital_status_now_married_except_separated,marital_status_separated,marital_status_widowed,marital_status_divorced,marital_status_females_15_years_and_over,marital_status_never_married,marital_status_now_married_except_separated,marital_status_separated,marital_status_widowed,marital_status_divorced,fertility_number_of_women_15_to_50_years_old_who_h,fertility_unmarried_women_widowed_divorced_and_nev,fertility_unmarried_women_widowed_divorced_and_nev,fertility_per_1000_women_15_to_50_years_old,fertility_per_1000_women_15_to_50_years_old_per_10,fertility_per_1000_women_15_to_50_years_old_per_10,fertility_per_1000_women_15_to_50_years_old_per_10,grandparents_number_of_grandparents_living_with_ow,grandparents_responsible_for_grandchildren,grandparents_responsible_for_grandchildren_years_r,state_fips,county_fips,grandparents_responsible_for_grandchildren_years_r,grandparents_responsible_for_grandchildren_years_r,grandparents_responsible_for_grandchildren_years_r,grandparents_number_of_grandparents_responsible_fo,grandparents_who_are_female,grandparents_who_are_married,school_enrollment_population_3_years_and_over_enro,school_enrollment_nursery_school_preschool,school_enrollment_kindergarten,school_enrollment_elementary_school_grades_1_8,school_enrollment_high_school_grades_9_12,school_enrollment_college_or_graduate_school,educational_attainment_population_25_years_and_ove,educational_attainment_less_than_9th_grade,educational_attainment_9th_to_12th_grade_no_diplom,educational_attainment_high_school_graduate_includ,educational_attainment_some_college_no_degree,educational_attainment_associates_degree,educational_attainment_bachelors_degree,educational_attainment_graduate_or_professional_de,educational_attainment_percent_high_school_graduat,educational_attainment_percent_bachelors_degree_or,veteran_status_civilian_population_18_years_and_ov,veteran_status_civilian_veterans,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,residence_1_year_ago_population_1_year_and_over,residence_1_year_ago_same_house,residence_1_year_ago_different_house_in_the_u.s.,residence_1_year_ago_different_house_in_the_u.s._s,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_abroad,place_of_birth_total_population,place_of_birth_native,place_of_birth_native_born_in_united_states,place_of_birth_native_born_in_united_states_state_,place_of_birth_native_born_in_united_states_differ,place_of_birth_native_born_in_puerto_rico_u.s._isl,place_of_birth_foreign_born,u.s._citizenship_status_foreign_born_population,u.s._citizenship_status_naturalized_u.s._citizen,u.s._citizenship_status_not_a_u.s._citizen,year_of_entry_population_born_outside_the_united_s,year_of_entry_native,year_of_entry_entered_2000_or_later,year_of_entry_entered_before_2000,year_of_entry_foreign_born,year_of_entry_entered_2000_or_later,year_of_entry_entered_before_2000,world_region_of_birth_of_foreign_born_foreign_born,world_region_of_birth_of_foreign_born_europe,world_region_of_birth_of_foreign_born_asia,world_region_of_birth_of_foreign_born_africa,world_region_of_birth_of_foreign_born_oceania,world_region_of_birth_of_foreign_born_latin_americ,world_region_of_birth_of_foreign_born_northern_ame,language_spoken_at_home_population_5_years_and_ove,language_spoken_at_home_english_only,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,ancestry_total_population,ancestry_american,ancestry_arab,ancestry_czech,ancestry_danish,ancestry_dutch,ancestry_english,ancestry_french_except_basque,ancestry_french_canadian,ancestry_german,ancestry_greek,ancestry_hungarian,ancestry_irish,ancestry_italian,ancestry_lithuanian,ancestry_norwegian,ancestry_polish,ancestry_portuguese,ancestry_russian,ancestry_scotch_irish,ancestry_scottish,ancestry_slovak,ancestry_subsaharan_african,ancestry_swedish,ancestry_swiss,ancestry_ukrainian,ancestry_welsh,ancestry_west_indian_excluding_hispanic_origin_gro
2011,Aurora County; South Dakota,1060,728,251,661,217,27,19,40,15,332,319,136,270,327,2.46,3.07,2609,1060,657,772,77,43,25,1028,221,678,23,14,92,1043,131,689,11,149,63,52,8,58,105,0,241,42,34,3,0,46,003,0,0,3,3,2,3,636,38,79,322,122,75,1858,143,58,816,347,235,183,76,-888888888,-888888888,1991,246,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,2674,2432,236,43,193,169,24,6,2722,2702,2686,2262,424,16,20,20,4,16,36,16,0,16,20,16,4,20,5,0,0,0,15,0,2527,2410,117,21,48,18,35,3,3,0,31,0,2722,109,0,92,45,374,164,42,0,1559,0,16,263,7,0,309,3,0,20,13,28,0,0,62,7,0,2,0
2011,Grant County; South Dakota,3180,2112,843,1761,659,187,50,164,134,1068,984,368,921,818,2.22,2.76,7070,3180,1756,1811,146,177,144,3051,820,1867,6,81,277,2949,550,1717,10,429,243,111,14,24,77,0,162,47,18,10,0,46,051,0,10,0,10,10,10,1604,166,77,726,505,130,5166,413,322,2138,854,489,766,184,-888888888,-888888888,5640,643,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,7243,6436,806,530,276,168,108,1,7353,7254,7241,4151,3090,13,99,99,16,83,112,13,0,13,99,83,16,99,16,5,2,0,70,6,6920,6442,478,258,199,148,237,109,18,1,24,0,7353,443,52,84,191,301,351,122,15,3882,11,0,637,27,0,1255,108,17,44,84,32,0,0,397,43,0,20,0
2011,Tripp County; South Dakota,2482,1763,762,1418,495,123,115,222,152,719,690,349,782,805,2.24,2.64,5552,2482,1419,1400,69,182,151,2197,551,1447,9,60,130,2392,398,1489,8,319,178,34,0,0,28,0,33,34,20,20,11,46,123,0,9,0,20,20,9,1192,42,102,600,296,152,4011,214,276,1449,969,354,604,145,-888888888,-888888888,4317,398,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,5649,5250,390,155,235,90,145,9,5673,5663,5602,4408,1194,61,10,10,10,0,71,61,0,61,10,0,10,10,0,6,0,0,0,4,5331,5121,210,0,0,0,37,0,0,0,173,0,5673,222,40,380,104,347,379,141,0,2729,0,0,658,17,0,202,23,0,31,100,108,0,1,261,41,8,5,0
2011,Shannon County; South Dakota,2753,2238,1142,829,438,220,121,1189,583,515,450,144,1778,613,4.77,5.37,13123,2753,856,5626,3296,592,239,4453,2928,1027,64,92,342,4744,2689,1212,112,348,383,347,205,79,98,71,185,8,1349,901,163,46,113,281,191,266,901,726,389,4816,260,294,2158,1199,905,6295,454,934,1923,1578,586,680,140,-888888888,-888888888,8256,677,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,13221,12539,671,381,290,115,175,11,13544,13536,13536,12374,1162,0,8,8,8,0,8,0,0,0,8,0,8,8,0,8,0,0,0,0,12027,9235,2792,128,39,0,0,0,0,0,2753,128,13544,97,8,0,9,15,139,49,29,101,0,0,83,13,0,99,17,0,0,19,17,0,0,24,0,0,0,0
2011,Ziebach County; South Dakota,799,632,307,338,163,79,26,215,118,167,144,54,406,154,3.48,3.83,2780,799,326,1031,434,190,79,915,352,376,17,59,111,931,327,400,8,57,139,56,26,67,81,77,153,7,123,89,26,46,137,18,14,31,89,63,36,940,83,59,465,200,133,1425,49,214,489,314,163,131,65,-888888888,-888888888,1694,147,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,2735,2253,482,193,289,203,86,0,2780,2752,2736,2381,355,16,28,28,22,6,44,16,0,16,28,12,16,28,5,19,0,4,0,0,2424,1779,645,92,15,0,13,7,27,19,590,66,2780,69,0,8,9,25,70,61,0,491,0,20,147,5,0,121,5,0,2,7,6,0,0,34,2,0,0,0
2011,Spink County; South Dakota,2603,1645,615,1443,486,79,51,123,78,958,846,434,641,903,2.33,2.97,6070,2603,1438,1693,116,220,124,2670,763,1538,25,141,203,2562,486,1513,23,403,137,81,19,39,66,11,183,8,52,32,16,46,115,0,0,16,32,15,30,1453,85,84,707,446,131,4476,371,233,1685,951,361,707,168,-888888888,-888888888,4898,537,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,6413,5637,747,435,312,236,76,29,6470,6377,6361,5178,1183,16,93,93,39,54,109,16,6,10,93,49,44,93,17,0,0,0,53,23,6102,5660,442,180,93,81,323,96,0,0,26,3,6470,283,0,87,120,181,582,368,60,3395,1,1,653,75,8,680,132,46,110,14,91,0,0,202,97,11,31,0
2011,Brule County; South Dakota,2025,1385,627,1142,478,52,13,191,136,640,547,308,651,650,2.24,2.72,4528,2025,1107,1203,66,127,113,1985,742,1073,3,44,123,2152,463,1221,17,292,159,137,0,0,122,0,289,25,37,33,23,46,015,0,10,0,33,19,15,1136,48,30,633,302,123,3610,267,177,1490,598,291,597,190,-888888888,-888888888,3864,465,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,5110,4425,669,300,369,249,120,16,5187,5187,5175,4109,1066,12,0,0,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,4830,4610,220,48,40,0,119,44,0,0,61,4,5187,102,0,573,102,189,318,121,16,2430,7,3,551,74,0,549,46,0,44,67,36,0,0,120,41,0,9,0
2011,Brookings County; South Dakota,11597,6426,2827,5184,2034,417,246,825,547,5171,3646,946,2924,2170,2.40,2.97,27886,11597,5177,6675,791,3646,875,13609,7269,5357,146,236,601,12929,5717,5352,45,873,942,449,148,24,50,6,78,27,81,46,32,46,011,10,0,4,46,22,34,13366,567,196,2552,1122,8929,16411,544,711,4616,2908,1366,4179,2087,-888888888,-888888888,25637,1860,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,31251,22104,9038,4355,4683,2582,2101,109,31639,30360,30233,19112,11121,127,1279,1279,268,1011,1406,127,11,116,1279,848,431,1279,98,674,133,0,209,165,29755,27815,1940,587,607,207,720,125,470,171,143,84,31639,706,89,632,971,2000,2104,813,187,14607,43,28,3816,274,11,7402,484,57,102,386,372,24,163,1483,71,0,147,0
2011,Gregory County; South Dakota,1983,1264,464,1094,363,56,26,114,75,719,674,377,491,731,2.11,2.69,4189,1983,1092,974,74,66,53,1754,387,1150,14,61,142,1760,243,1116,12,271,118,54,9,36,72,42,153,25,42,23,0,46,053,8,0,15,23,12,21,816,39,71,398,221,87,3110,241,176,1174,800,248,354,117,-888888888,-888888888,3324,484,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,4194,3642,552,279,273,106,167,0,4253,4216,4209,3310,899,7,37,37,17,20,44,7,0,7,37,7,30,37,15,6,0,0,14,2,4014,3884,130,13,56,7,52,3,3,3,19,0,4253,109,0,437,57,156,274,121,18,2350,0,0,440,17,0,258,64,0,76,44,26,0,0,170,15,0,14,5
2011,Hamlin County; South Dakota,2008,1444,613,1285,525,79,34,80,54,564,495,244,654,598,2.79,3.36,5603,2008,1266,1973,173,183,81,2228,634,1334,8,68,184,2153,409,1304,16,303,121,93,8,18,84,19,174,36,32,15,5,46,057,1,2,7,15,10,9,1443,75,141,627,395,205,3686,230,196,1465,813,310,462,210,-888888888,-888888888,4078,410,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,5746,5080,631,336,295,159,136,35,5839,5743,5738,4300,1438,5,96,96,22,74,101,5,5,0,96,39,57,96,24,0,2,3,67,0,5311,5059,252,95,110,63,135,31,0,0,7,1,5839,282,0,62,115,298,342,217,21,2360,1,23,410,26,0,1192,156,7,87,13,26,6,6,261,52,0,0,0
