year,county_name,households_by_type_total_households,households_by_type_family_households_families,households_by_type_family_households_families_with,households_by_type_family_households_families_marr,households_by_type_family_households_families_marr,households_by_type_family_households_families_male,households_by_type_family_households_families_male,households_by_type_family_households_families_fema,households_by_type_family_households_families_fema,households_by_type_nonfamily_households,households_by_type_nonfamily_households_householde,households_by_type_nonfamily_households_householde,households_by_type_households_with_one_or_more_peo,households_by_type_households_with_one_or_more_peo,households_by_type_average_household_size,households_by_type_average_family_size,relationship_population_in_households,relationship_householder,relationship_spouse,relationship_child,relationship_other_relatives,relationship_nonrelatives,relationship_nonrelatives_unmarried_partner,marital_status_males_15_years_and_over,marital_status_never_married,marital_status_now_married_except_separated,marital_status_separated,marital_status_widowed,marital_status_divorced,marital_status_females_15_years_and_over,marital_status_never_married,marital_status_now_married_except_separated,marital_status_separated,marital_status_widowed,marital_status_divorced,fertility_number_of_women_15_to_50_years_old_who_h,fertility_unmarried_women_widowed_divorced_and_nev,fertility_unmarried_women_widowed_divorced_and_nev,fertility_per_1000_women_15_to_50_years_old,fertility_per_1000_women_15_to_50_years_old_per_10,fertility_per_1000_women_15_to_50_years_old_per_10,fertility_per_1000_women_15_to_50_years_old_per_10,grandparents_number_of_grandparents_living_with_ow,grandparents_responsible_for_grandchildren,grandparents_responsible_for_grandchildren_years_r,state_fips,county_fips,grandparents_responsible_for_grandchildren_years_r,grandparents_responsible_for_grandchildren_years_r,grandparents_responsible_for_grandchildren_years_r,grandparents_number_of_grandparents_responsible_fo,grandparents_who_are_female,grandparents_who_are_married,school_enrollment_population_3_years_and_over_enro,school_enrollment_nursery_school_preschool,school_enrollment_kindergarten,school_enrollment_elementary_school_grades_1_8,school_enrollment_high_school_grades_9_12,school_enrollment_college_or_graduate_school,educational_attainment_population_25_years_and_ove,educational_attainment_less_than_9th_grade,educational_attainment_9th_to_12th_grade_no_diplom,educational_attainment_high_school_graduate_includ,educational_attainment_some_college_no_degree,educational_attainment_associates_degree,educational_attainment_bachelors_degree,educational_attainment_graduate_or_professional_de,educational_attainment_percent_high_school_graduat,educational_attainment_percent_bachelors_degree_or,veteran_status_civilian_population_18_years_and_ov,veteran_status_civilian_veterans,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,residence_1_year_ago_population_1_year_and_over,residence_1_year_ago_same_house,residence_1_year_ago_different_house_in_the_u.s.,residence_1_year_ago_different_house_in_the_u.s._s,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_abroad,place_of_birth_total_population,place_of_birth_native,place_of_birth_native_born_in_united_states,place_of_birth_native_born_in_united_states_state_,place_of_birth_native_born_in_united_states_differ,place_of_birth_native_born_in_puerto_rico_u.s._isl,place_of_birth_foreign_born,u.s._citizenship_status_foreign_born_population,u.s._citizenship_status_naturalized_u.s._citizen,u.s._citizenship_status_not_a_u.s._citizen,year_of_entry_population_born_outside_the_united_s,year_of_entry_native,year_of_entry_entered_2000_or_later,year_of_entry_entered_before_2000,year_of_entry_foreign_born,year_of_entry_entered_2000_or_later,year_of_entry_entered_before_2000,world_region_of_birth_of_foreign_born_foreign_born,world_region_of_birth_of_foreign_born_europe,world_region_of_birth_of_foreign_born_asia,world_region_of_birth_of_foreign_born_africa,world_region_of_birth_of_foreign_born_oceania,world_region_of_birth_of_foreign_born_latin_americ,world_region_of_birth_of_foreign_born_northern_ame,language_spoken_at_home_population_5_years_and_ove,language_spoken_at_home_english_only,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,ancestry_total_population,ancestry_american,ancestry_arab,ancestry_czech,ancestry_danish,ancestry_dutch,ancestry_english,ancestry_french_except_basque,ancestry_french_canadian,ancestry_german,ancestry_greek,ancestry_hungarian,ancestry_irish,ancestry_italian,ancestry_lithuanian,ancestry_norwegian,ancestry_polish,ancestry_portuguese,ancestry_russian,ancestry_scotch_irish,ancestry_scottish,ancestry_slovak,ancestry_subsaharan_african,ancestry_swedish,ancestry_swiss,ancestry_ukrainian,ancestry_welsh,ancestry_west_indian_excluding_hispanic_origin_gro
2011,James City County; Virginia,26356,19199,7018,16263,5432,648,274,2288,1312,7157,5940,2791,7601,8862,2.47,2.89,64975,26356,16258,17605,2422,2334,677,25985,6210,16998,484,538,1755,28244,5361,17148,407,2800,2528,834,164,27,58,26,118,28,1107,458,110,51,095,68,57,223,458,278,352,15531,1014,777,6643,3599,3498,46942,746,2475,9966,9289,3080,11694,9692,-888888888,-888888888,50904,8721,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,65108,56790,7935,2176,5759,3740,2019,383,65818,60938,59696,26701,32995,1242,4880,4880,2367,2513,6122,1242,169,1073,4880,1836,3044,4880,1532,1619,114,124,1126,365,62453,57056,5397,1507,2446,922,1827,251,975,270,149,64,65818,5069,396,153,475,852,11667,1931,365,11312,518,491,8902,3959,174,793,1832,124,606,2190,2821,181,164,719,281,178,690,226
2011,Russell County; Virginia,11302,7920,2903,6316,2290,484,161,1120,452,3382,2936,1522,3593,3396,2.53,3.05,28555,11302,6301,7517,2422,1013,513,11822,2976,6986,278,334,1248,12262,2031,6864,364,1533,1470,189,60,26,29,7,78,0,964,618,114,51,167,148,114,242,618,357,527,5945,283,441,2700,1294,1227,20790,3237,2445,7831,3484,1612,1573,608,-888888888,-888888888,22958,1462,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,28637,26351,2286,1396,890,611,279,0,28870,28609,28578,22961,5617,31,261,261,162,99,292,31,8,23,261,82,179,261,80,128,0,0,45,8,27430,27193,237,65,22,0,177,38,38,27,0,0,28870,5049,0,21,0,498,2128,338,13,3837,6,75,3171,212,0,0,415,18,68,856,596,0,6,33,0,0,238,13
2011,Smyth County; Virginia,12681,8557,3011,6264,1865,739,340,1554,806,4124,3652,1619,3450,3906,2.48,3.02,31398,12681,6254,8848,2185,1430,780,12906,3535,6664,448,532,1727,13832,2587,6626,550,2173,1896,278,70,20,39,0,100,6,627,256,70,51,173,42,20,124,256,136,166,6717,252,386,2937,1652,1490,22988,2445,3070,8551,3796,1830,2210,1086,-888888888,-888888888,25456,2734,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,31966,26863,5092,3029,2063,1246,817,11,32268,31903,31741,24626,7115,162,365,365,86,279,527,162,33,129,365,168,197,365,20,71,68,0,155,51,30386,29681,705,247,527,186,106,31,8,0,64,30,32268,6667,79,0,14,546,3169,347,48,3341,33,3,2527,222,0,30,203,24,25,1298,658,0,14,161,48,13,265,34
2011,Bedford city; Virginia,2776,1770,800,1069,374,119,48,582,378,1006,953,330,905,719,2.10,2.67,5824,2776,1064,1649,251,84,27,2298,718,1152,115,56,257,2724,634,1117,150,367,456,45,13,16,31,0,90,0,203,138,0,51,515,79,13,46,138,94,79,1500,44,111,653,347,345,4335,337,365,1437,1070,224,576,326,-888888888,-888888888,4825,630,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,6144,5289,855,337,518,343,175,0,6184,6003,5909,4065,1844,94,181,181,49,132,275,94,0,94,181,108,73,181,82,54,16,0,29,0,5971,5795,176,51,42,29,112,11,22,11,0,0,6184,1154,0,0,22,303,500,47,24,648,16,45,769,239,38,0,73,0,13,143,156,0,38,46,126,33,29,41
2011,Lexington city; Virginia,1727,833,361,707,292,0,0,126,69,894,720,367,411,634,2.07,2.89,3581,1727,684,760,131,279,66,4028,3143,742,54,57,32,2332,1003,780,22,338,189,17,0,0,12,0,0,41,86,19,0,51,678,19,0,0,19,9,19,4266,89,45,277,98,3757,2559,263,274,501,337,67,609,508,-888888888,-888888888,6230,313,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,6998,5844,1065,226,839,378,461,89,6998,6629,6497,3322,3175,132,369,369,186,183,501,132,15,117,369,293,76,369,52,186,0,8,123,0,6708,6186,522,156,138,63,140,57,240,36,4,0,6998,737,34,20,0,79,983,261,6,1542,23,21,924,555,0,22,114,10,33,663,387,23,19,48,42,31,182,12
2011,Campbell County; Virginia,21610,14939,6144,11163,3910,810,457,2966,1777,6671,5614,1989,6919,5707,2.50,2.99,54022,21610,11167,15354,3253,2638,1190,21503,6615,11667,519,741,1961,23346,5560,11676,803,2483,2824,628,256,40,48,25,108,13,1581,667,279,51,031,143,70,175,667,438,483,13442,559,460,5628,3445,3350,37280,2523,3947,13677,8163,2975,4358,1637,-888888888,-888888888,42479,4547,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,53850,47804,6046,2683,3363,2732,631,0,54485,53506,53158,40404,12754,348,979,979,546,433,1327,348,15,333,979,328,651,979,187,393,34,0,295,70,51564,50466,1098,392,500,222,277,82,277,55,44,33,54485,13179,0,49,27,722,6872,1145,110,6076,73,132,6477,1686,144,125,428,136,106,1722,1174,16,90,248,52,0,227,93
2011,Henry County; Virginia,22871,15398,5849,10908,3308,1074,426,3416,2115,7473,6924,3162,6595,7502,2.36,2.92,54057,22871,10921,14600,4076,1589,905,21479,5663,11431,740,1002,2643,23810,4909,11462,1059,3339,3041,650,250,40,53,69,114,10,1293,547,86,51,089,119,90,252,547,421,356,11502,582,580,4925,3095,2320,39275,4230,5828,13816,7288,3684,2952,1477,-888888888,-888888888,43180,4696,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,53940,46701,7168,3712,3456,2396,1060,71,54524,52778,52636,39084,13552,142,1746,1746,285,1461,1888,142,16,126,1746,997,749,1746,37,190,18,0,1501,0,51537,48800,2737,1571,2397,1394,190,57,150,120,0,0,54524,9820,10,24,100,510,5486,825,35,3614,144,46,4647,300,47,70,379,0,167,872,865,67,390,166,38,0,140,0
2011,King George County; Virginia,8200,5986,3209,4812,2274,308,219,866,716,2214,1747,529,3400,1571,2.79,3.28,22860,8200,4850,7790,1029,991,513,8935,2497,5155,140,157,986,9041,2164,5038,349,718,772,439,163,64,74,56,158,25,554,128,77,51,099,21,7,23,128,74,103,6035,320,332,2925,1331,1127,15053,385,984,4737,3445,1060,2786,1656,-888888888,-888888888,16117,3049,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,22917,19881,2965,446,2519,1148,1371,71,23321,22804,22424,11036,11388,380,517,517,352,165,897,380,94,286,517,101,416,517,144,227,49,6,91,0,21526,20748,778,171,179,20,344,85,200,66,55,0,23321,2058,103,84,0,500,3664,651,97,4515,198,33,2943,951,28,116,590,55,107,584,475,17,123,147,21,70,104,42
2011,Lancaster County; Virginia,5570,3706,988,2800,472,238,216,668,300,1864,1691,943,1204,2416,1.99,2.34,11084,5570,2775,1811,396,532,332,4648,887,2958,102,282,419,5300,741,2865,82,1032,580,40,6,7,20,0,48,10,169,50,0,51,103,4,10,36,50,35,17,1655,103,89,876,408,179,9031,517,971,2788,1813,631,1478,833,-888888888,-888888888,9586,1413,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,11368,10616,684,475,209,146,63,68,11424,11150,11076,7375,3701,74,274,274,153,121,348,74,14,60,274,116,158,274,100,79,5,8,72,10,10963,10543,420,50,287,24,98,18,35,8,0,0,11424,993,4,46,47,112,2690,329,12,1296,0,14,1119,291,66,99,71,0,20,272,346,9,21,46,41,18,139,57
2011,Lee County; Virginia,10001,6836,2562,5340,1861,597,213,899,488,3165,2897,1309,3196,3056,2.38,2.91,23848,10001,5309,6212,1512,814,330,11119,3260,5836,412,340,1271,10119,1970,5501,201,1504,943,167,81,34,31,38,61,8,759,579,43,51,105,84,131,321,579,311,513,5140,199,261,2274,1298,1108,18266,2726,2305,5890,4046,1149,1451,699,-888888888,-888888888,20259,1783,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,25224,22433,2749,1674,1075,366,709,42,25405,25079,24998,14704,10294,81,326,326,118,208,407,81,0,81,326,58,268,326,9,127,0,0,190,0,24113,23330,783,190,324,122,233,20,123,29,103,19,25405,3981,61,0,0,384,1730,331,14,2374,0,16,3157,477,44,33,152,0,11,604,266,0,242,74,32,0,97,22
