year,county_name,households_by_type_total_households,households_by_type_family_households_families,households_by_type_family_households_families_with,households_by_type_family_households_families_marr,households_by_type_family_households_families_marr,households_by_type_family_households_families_male,households_by_type_family_households_families_male,households_by_type_family_households_families_fema,households_by_type_family_households_families_fema,households_by_type_nonfamily_households,households_by_type_nonfamily_households_householde,households_by_type_nonfamily_households_householde,households_by_type_households_with_one_or_more_peo,households_by_type_households_with_one_or_more_peo,households_by_type_average_household_size,households_by_type_average_family_size,relationship_population_in_households,relationship_householder,relationship_spouse,relationship_child,relationship_other_relatives,relationship_nonrelatives,relationship_nonrelatives_unmarried_partner,marital_status_males_15_years_and_over,marital_status_never_married,marital_status_now_married_except_separated,marital_status_separated,marital_status_widowed,marital_status_divorced,marital_status_females_15_years_and_over,marital_status_never_married,marital_status_now_married_except_separated,marital_status_separated,marital_status_widowed,marital_status_divorced,fertility_number_of_women_15_to_50_years_old_who_h,fertility_unmarried_women_widowed_divorced_and_nev,fertility_unmarried_women_widowed_divorced_and_nev,fertility_per_1000_women_15_to_50_years_old,fertility_per_1000_women_15_to_50_years_old_per_10,fertility_per_1000_women_15_to_50_years_old_per_10,fertility_per_1000_women_15_to_50_years_old_per_10,grandparents_number_of_grandparents_living_with_ow,grandparents_responsible_for_grandchildren,grandparents_responsible_for_grandchildren_years_r,state_fips,county_fips,grandparents_responsible_for_grandchildren_years_r,grandparents_responsible_for_grandchildren_years_r,grandparents_responsible_for_grandchildren_years_r,grandparents_number_of_grandparents_responsible_fo,grandparents_who_are_female,grandparents_who_are_married,school_enrollment_population_3_years_and_over_enro,school_enrollment_nursery_school_preschool,school_enrollment_kindergarten,school_enrollment_elementary_school_grades_1_8,school_enrollment_high_school_grades_9_12,school_enrollment_college_or_graduate_school,educational_attainment_population_25_years_and_ove,educational_attainment_less_than_9th_grade,educational_attainment_9th_to_12th_grade_no_diplom,educational_attainment_high_school_graduate_includ,educational_attainment_some_college_no_degree,educational_attainment_associates_degree,educational_attainment_bachelors_degree,educational_attainment_graduate_or_professional_de,educational_attainment_percent_high_school_graduat,educational_attainment_percent_bachelors_degree_or,veteran_status_civilian_population_18_years_and_ov,veteran_status_civilian_veterans,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,residence_1_year_ago_population_1_year_and_over,residence_1_year_ago_same_house,residence_1_year_ago_different_house_in_the_u.s.,residence_1_year_ago_different_house_in_the_u.s._s,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_abroad,place_of_birth_total_population,place_of_birth_native,place_of_birth_native_born_in_united_states,place_of_birth_native_born_in_united_states_state_,place_of_birth_native_born_in_united_states_differ,place_of_birth_native_born_in_puerto_rico_u.s._isl,place_of_birth_foreign_born,u.s._citizenship_status_foreign_born_population,u.s._citizenship_status_naturalized_u.s._citizen,u.s._citizenship_status_not_a_u.s._citizen,year_of_entry_population_born_outside_the_united_s,year_of_entry_native,year_of_entry_entered_2010_or_later,year_of_entry_entered_before_2010,year_of_entry_foreign_born,year_of_entry_entered_2010_or_later,year_of_entry_entered_before_2010,world_region_of_birth_of_foreign_born_foreign_born,world_region_of_birth_of_foreign_born_europe,world_region_of_birth_of_foreign_born_asia,world_region_of_birth_of_foreign_born_africa,world_region_of_birth_of_foreign_born_oceania,world_region_of_birth_of_foreign_born_latin_americ,world_region_of_birth_of_foreign_born_northern_ame,language_spoken_at_home_population_5_years_and_ove,language_spoken_at_home_english_only,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,ancestry_total_population,ancestry_american,ancestry_arab,ancestry_czech,ancestry_danish,ancestry_dutch,ancestry_english,ancestry_french_except_basque,ancestry_french_canadian,ancestry_german,ancestry_greek,ancestry_hungarian,ancestry_irish,ancestry_italian,ancestry_lithuanian,ancestry_norwegian,ancestry_polish,ancestry_portuguese,ancestry_russian,ancestry_scotch_irish,ancestry_scottish,ancestry_slovak,ancestry_subsaharan_african,ancestry_swedish,ancestry_swiss,ancestry_ukrainian,ancestry_welsh,ancestry_west_indian_excluding_hispanic_origin_gro
2012,Worcester County; Maryland,21194,13881,4746,11217,3325,830,369,1834,1052,7313,6080,2825,5286,8056,2.39,2.93,50642,21194,11156,12699,2908,2685,1276,21114,5827,12053,480,808,1946,22698,4823,11684,438,2943,2810,411,167,31,40,0,73,29,1152,482,109,24,047,90,168,115,482,298,424,10274,566,399,4240,2412,2657,38247,1029,2911,12470,8316,3056,6548,3917,-888888888,-888888888,42007,5444,50690,6879,9345,273,29659,3316,11686,3290,51115,45534,5195,2296,2899,1515,1384,386,51398,48978,48618,29256,19362,360,2420,2420,1035,1385,2780,360,0,360,2420,0,2420,2420,617,722,155,0,856,70,49129,45884,3245,1039,1367,637,1486,270,232,79,160,53,51398,3584,138,131,75,684,7754,1308,220,10453,269,316,9751,4072,322,232,1786,181,486,659,1162,106,205,376,205,160,495,63
2012,Baltimore city; Maryland,240630,126119,53440,57865,19585,12049,4921,56205,28934,114511,94385,26877,67178,56410,2.48,3.41,597192,240630,57535,175060,71015,52952,17650,235218,125645,69638,8872,7523,23540,273240,136503,64935,11758,28469,31575,10455,6708,51,60,38,95,25,18718,8118,1362,24,510,1765,1411,3580,8118,6322,3727,167593,10567,7170,55566,31504,62786,409318,26434,56980,121707,79908,17456,57421,49412,-888888888,-888888888,485370,37185,610197,92179,134468,7826,405649,55135,70080,29218,612310,505403,102950,67730,35220,19827,15393,3957,620644,574688,569391,418947,150444,5297,45956,45956,17376,28580,51253,5297,219,5078,45956,2586,43370,45956,6425,11501,6646,323,20319,742,579143,527767,51376,20807,21155,10394,15691,4739,8167,3594,6363,2080,620644,14187,2049,2003,487,3172,22753,4870,1068,46708,2778,1784,40530,20480,1508,1813,15448,619,6483,2346,5015,395,15893,2082,923,1644,2098,8538
2012,Somerset County; Maryland,8494,5205,1892,3558,964,471,215,1176,713,3289,2638,1032,2254,2497,2.26,2.86,19222,8494,3578,4607,1481,1062,554,12509,6189,4231,315,422,1352,10294,3925,3863,279,1111,1116,139,123,30,23,0,47,6,656,289,1,24,039,55,91,142,289,215,197,8057,371,209,1759,1736,3982,17046,1058,2391,6995,3139,849,1641,973,-888888888,-888888888,22012,2161,21618,3558,4354,358,13867,1706,3397,1494,26253,21450,4725,1389,3336,2750,586,78,26402,25425,25248,18141,7107,177,977,977,271,706,1154,177,0,177,977,55,922,977,125,240,325,0,287,0,25150,23645,1505,463,700,266,356,44,169,142,280,11,26402,2353,41,67,27,123,2875,341,41,2822,35,87,2094,668,52,62,455,30,87,303,510,33,822,73,70,31,190,210
2012,Talbot County; Maryland,15856,10854,4009,8635,2642,621,335,1598,1032,5002,4577,2288,4278,6092,2.35,2.85,37205,15856,8641,9345,2047,1316,561,14944,3602,9169,422,472,1279,16824,3347,9114,378,1988,1997,344,73,20,45,15,103,19,493,177,68,24,041,27,31,51,177,94,154,7921,549,504,3164,1794,1910,27955,1014,1902,8052,5817,2077,4835,4258,-888888888,-888888888,30455,4398,37301,4778,7276,359,21219,1706,8806,2713,37529,33678,3656,1834,1822,1159,663,195,37746,35801,35361,21572,13789,440,1945,1945,802,1143,2385,440,68,372,1945,60,1885,1945,470,425,20,35,940,55,35937,33014,2923,944,1786,710,877,192,186,28,74,14,37746,3707,77,230,217,424,6773,1168,151,8039,73,214,6467,1876,117,407,1078,24,274,639,1171,76,78,352,72,168,512,79
2012,Harford County; Maryland,90080,66419,30351,52533,22627,3569,1831,10317,5893,23661,19624,7467,33101,21612,2.70,3.17,243497,90080,52545,77959,13681,9232,4542,94929,28346,55612,1751,2299,6921,101418,23784,55843,2327,9122,10342,3159,750,28,53,14,106,26,4885,1969,379,24,025,521,297,772,1969,1300,1314,65475,4384,3034,27109,14300,16648,164923,4114,9304,48295,37713,13618,31667,20212,-888888888,-888888888,184076,22270,242804,24250,60035,2157,152455,12585,30314,9508,242602,221366,20494,11433,9061,5246,3815,742,245396,233154,229203,160783,68420,3951,12242,12242,7333,4909,16193,3951,301,3650,12242,339,11903,12242,2696,4890,1407,76,2903,270,230539,213212,17327,5345,6232,1953,6390,1700,3453,1533,1252,159,245396,15059,337,2222,613,3275,28828,5525,795,68070,1604,1192,44286,24645,608,1147,17487,357,1975,3103,5824,675,4381,1366,368,957,2674,767
2012,Howard County; Maryland,104905,77803,39779,63213,31523,3782,1716,10808,6540,27102,22424,6403,42029,20640,2.72,3.19,285661,104905,63201,92581,14548,10426,3552,110650,32531,67167,2057,1881,7014,117902,29825,67692,2329,6957,11099,4178,784,24,57,13,98,41,4900,1297,247,24,027,225,351,474,1297,833,939,83794,5446,4230,33130,18990,21998,192975,4767,4722,28053,29478,11200,60143,54612,-888888888,-888888888,213192,18794,285692,19383,74261,1911,182101,9648,29330,7824,285075,251673,31165,13653,17512,10136,7376,2237,288676,237729,232702,118534,114168,5027,50947,50947,27945,23002,55974,5027,65,4962,50947,1389,49558,50947,4596,30437,5121,95,9871,827,271185,211637,59548,21156,12626,5225,19058,4976,23863,10062,4001,893,288676,13458,1892,1547,1019,2594,28235,5113,1597,49240,1596,1548,36919,18075,1236,2100,12584,668,6016,2399,6348,1218,8612,2926,996,1639,1985,3694
2012,Prince George's County; Maryland,302683,199652,92784,117854,51709,20187,9047,61611,32028,103031,83726,19526,109920,60729,2.79,3.40,845452,302683,117658,266501,95428,63182,18539,328823,145988,138674,9386,7360,27415,366887,147977,132182,13754,28281,44693,13176,6372,42,55,21,97,28,28363,8645,1748,24,033,2155,1350,3392,8645,5827,5526,249837,14480,11751,85787,49310,88509,559319,41105,39701,152581,127391,33338,96558,68645,-888888888,-888888888,656074,62430,857442,67685,205935,5886,570880,36840,80627,24959,854296,721486,125953,76310,49643,18004,31639,6857,865443,692492,683415,208946,474469,9077,172951,172951,64840,108111,182028,9077,191,8886,172951,5177,167774,172951,5475,27799,38518,113,100226,820,806402,642214,164188,69705,88365,47783,29249,7448,22499,9355,24075,5119,865443,18150,2399,744,552,2503,23064,5739,1033,31390,1329,1127,29381,13276,617,1350,6304,900,2834,2539,4268,790,56278,2014,618,717,1754,23209
2012,Baltimore County; Maryland,314823,203327,88612,146668,58784,13601,6606,43058,23222,111496,92574,35601,99807,84229,2.50,3.12,787143,314823,146517,230727,52970,42106,17183,307896,106983,158594,6326,9961,26032,354397,111903,156088,9839,37766,38801,10846,3552,31,53,17,90,30,18836,7370,1202,24,005,1929,1374,2865,7370,4563,5072,216475,14171,8920,75928,41221,76235,548613,19738,36785,150878,112946,34591,111453,82222,-888888888,-888888888,629128,59402,798951,87927,176497,6675,507924,41854,114530,39398,797983,703483,89502,50862,38640,25261,13379,4998,807318,718958,711184,523514,187670,7774,88360,88360,42235,46125,96134,7774,151,7623,88360,3098,85262,88360,14747,34327,14233,156,23886,1011,758978,660432,98546,36205,28200,11755,35014,11782,23238,9738,12094,2930,807318,44003,4655,5246,1305,7704,65596,13088,2074,157950,6787,3450,113940,58611,3596,3296,46614,518,17248,6050,11478,1648,28265,3187,917,5047,5453,8870
2012,Frederick County; Maryland,85559,61941,30078,49734,23505,3547,1937,8660,4636,23618,18956,6758,32502,18667,2.68,3.16,229578,85559,49718,72294,11938,10069,4669,90456,26559,52979,1407,1718,7793,95454,24411,51588,1834,7555,10066,3092,779,28,52,14,111,22,4403,1332,347,24,021,305,181,499,1332,869,889,64670,4355,3500,25189,14511,17115,155400,4833,7921,40526,31969,11918,35373,22860,-888888888,-888888888,174464,18584,231511,21409,58755,1817,147400,11381,25356,8211,231582,203098,27152,15983,11169,5733,5436,1332,234268,212076,208874,116820,92054,3202,22192,22192,9868,12324,25394,3202,54,3148,22192,949,21243,22192,3439,7262,2007,121,8913,450,219338,192483,26855,8838,12577,4750,7400,1283,5468,2627,1410,178,234268,15115,975,1191,956,3222,27736,6231,1341,60472,1425,1494,38781,16390,863,2131,8089,568,3136,3882,5478,762,2074,2185,628,688,2197,1027
2012,Garrett County; Maryland,12354,8420,3240,6824,2396,495,257,1101,587,3934,3495,1509,3524,3703,2.38,2.89,29405,12354,6889,8099,898,1165,567,12242,3457,7105,212,424,1044,12668,2383,7138,202,1582,1363,409,113,38,61,12,129,27,367,209,14,24,023,60,57,78,209,136,185,6293,280,325,2815,1628,1245,21093,1259,1914,9015,3622,1467,2162,1654,-888888888,-888888888,23549,2308,29527,4148,6461,300,18001,2078,5065,1770,29732,26755,2963,1660,1303,460,843,14,30079,29707,29589,18212,11377,118,372,372,183,189,490,118,0,118,372,31,341,372,97,132,0,0,89,54,28542,26970,1572,475,238,30,1223,435,66,1,45,9,30079,3664,64,80,50,424,3242,481,47,10073,151,102,3393,1341,93,49,677,5,126,382,726,87,35,232,559,25,248,17
