year,county_name,households_by_type_total_households,households_by_type_family_households_families,households_by_type_family_households_families_with,households_by_type_family_households_families_marr,households_by_type_family_households_families_marr,households_by_type_family_households_families_male,households_by_type_family_households_families_male,households_by_type_family_households_families_fema,households_by_type_family_households_families_fema,households_by_type_nonfamily_households,households_by_type_nonfamily_households_householde,households_by_type_nonfamily_households_householde,households_by_type_households_with_one_or_more_peo,households_by_type_households_with_one_or_more_peo,households_by_type_average_household_size,households_by_type_average_family_size,relationship_population_in_households,relationship_householder,relationship_spouse,relationship_child,relationship_other_relatives,relationship_nonrelatives,relationship_nonrelatives_unmarried_partner,marital_status_males_15_years_and_over,marital_status_never_married,marital_status_now_married_except_separated,marital_status_separated,marital_status_widowed,marital_status_divorced,marital_status_females_15_years_and_over,marital_status_never_married,marital_status_now_married_except_separated,marital_status_separated,marital_status_widowed,marital_status_divorced,fertility_number_of_women_15_to_50_years_old_who_h,fertility_unmarried_women_widowed_divorced_and_nev,fertility_unmarried_women_widowed_divorced_and_nev,fertility_per_1000_women_15_to_50_years_old,fertility_per_1000_women_15_to_50_years_old_per_10,fertility_per_1000_women_15_to_50_years_old_per_10,fertility_per_1000_women_15_to_50_years_old_per_10,grandparents_number_of_grandparents_living_with_ow,grandparents_responsible_for_grandchildren,grandparents_responsible_for_grandchildren_years_r,state_fips,county_fips,grandparents_responsible_for_grandchildren_years_r,grandparents_responsible_for_grandchildren_years_r,grandparents_responsible_for_grandchildren_years_r,grandparents_number_of_grandparents_responsible_fo,grandparents_who_are_female,grandparents_who_are_married,school_enrollment_population_3_years_and_over_enro,school_enrollment_nursery_school_preschool,school_enrollment_kindergarten,school_enrollment_elementary_school_grades_1_8,school_enrollment_high_school_grades_9_12,school_enrollment_college_or_graduate_school,educational_attainment_population_25_years_and_ove,educational_attainment_less_than_9th_grade,educational_attainment_9th_to_12th_grade_no_diplom,educational_attainment_high_school_graduate_includ,educational_attainment_some_college_no_degree,educational_attainment_associates_degree,educational_attainment_bachelors_degree,educational_attainment_graduate_or_professional_de,educational_attainment_percent_high_school_graduat,educational_attainment_percent_bachelors_degree_or,veteran_status_civilian_population_18_years_and_ov,veteran_status_civilian_veterans,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,residence_1_year_ago_population_1_year_and_over,residence_1_year_ago_same_house,residence_1_year_ago_different_house_in_the_u.s.,residence_1_year_ago_different_house_in_the_u.s._s,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_abroad,place_of_birth_total_population,place_of_birth_native,place_of_birth_native_born_in_united_states,place_of_birth_native_born_in_united_states_state_,place_of_birth_native_born_in_united_states_differ,place_of_birth_native_born_in_puerto_rico_u.s._isl,place_of_birth_foreign_born,u.s._citizenship_status_foreign_born_population,u.s._citizenship_status_naturalized_u.s._citizen,u.s._citizenship_status_not_a_u.s._citizen,year_of_entry_population_born_outside_the_united_s,year_of_entry_native,year_of_entry_entered_2010_or_later,year_of_entry_entered_before_2010,year_of_entry_foreign_born,year_of_entry_entered_2010_or_later,year_of_entry_entered_before_2010,world_region_of_birth_of_foreign_born_foreign_born,world_region_of_birth_of_foreign_born_europe,world_region_of_birth_of_foreign_born_asia,world_region_of_birth_of_foreign_born_africa,world_region_of_birth_of_foreign_born_oceania,world_region_of_birth_of_foreign_born_latin_americ,world_region_of_birth_of_foreign_born_northern_ame,language_spoken_at_home_population_5_years_and_ove,language_spoken_at_home_english_only,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,ancestry_total_population,ancestry_american,ancestry_arab,ancestry_czech,ancestry_danish,ancestry_dutch,ancestry_english,ancestry_french_except_basque,ancestry_french_canadian,ancestry_german,ancestry_greek,ancestry_hungarian,ancestry_irish,ancestry_italian,ancestry_lithuanian,ancestry_norwegian,ancestry_polish,ancestry_portuguese,ancestry_russian,ancestry_scotch_irish,ancestry_scottish,ancestry_slovak,ancestry_subsaharan_african,ancestry_swedish,ancestry_swiss,ancestry_ukrainian,ancestry_welsh,ancestry_west_indian_excluding_hispanic_origin_gro
2012,Suffolk County; Massachusetts,287442,140113,64530,80259,32131,12966,4985,46888,27414,147329,107116,29547,71553,57399,2.36,3.20,679381,287442,80129,174712,53010,84088,20996,294975,165555,96572,7295,5843,19710,323156,168406,91401,11046,22139,30164,10228,4543,28,45,15,58,36,13510,4556,815,25,025,857,1173,1711,4556,3352,2503,215995,9010,9730,53475,29143,114637,470810,42342,36203,114038,68698,22845,104545,82139,-888888888,-888888888,595949,24215,716427,84295,127718,6391,516089,47564,72620,30340,716422,560047,142567,81271,61296,30833,30463,13808,724502,524856,502107,341340,160767,22749,199646,199646,86238,113408,222395,22749,606,22143,199646,9238,190408,199633,27325,45624,19963,424,103703,2594,684061,425815,258246,127210,121319,63024,78048,32139,44489,26275,14390,5772,724502,23925,9746,1318,1153,3091,37827,16355,9201,32440,5378,1876,114671,76655,2836,2413,19262,6923,13135,3143,9775,661,25479,5864,1334,2528,2173,40519
2012,Dukes County; Massachusetts,5782,3844,1570,3070,1020,61,30,713,520,1938,1599,655,1629,1840,2.83,3.36,16351,5782,3094,5184,790,1501,398,6893,2550,3241,54,126,922,7114,1822,3593,121,717,861,256,146,70,72,0,89,77,74,17,0,25,007,0,0,17,17,10,17,3258,361,260,1333,725,579,12393,161,804,2994,2538,919,2851,2126,-888888888,-888888888,13414,1212,16463,1706,3150,56,10623,1082,2690,568,16392,15210,972,444,528,369,159,210,16581,15183,15027,10148,4879,156,1398,1398,826,572,1554,156,0,156,1398,0,1398,1398,342,231,0,6,784,35,15692,14218,1474,471,49,10,1314,417,106,43,5,1,16581,3110,101,2,24,321,2480,857,227,1586,57,57,2881,1137,26,162,385,1545,199,85,431,40,74,232,80,17,254,490
2012,Middlesex County; Massachusetts,579209,369928,170599,294857,135349,18366,6768,56705,28482,209281,161608,57142,181285,141253,2.51,3.12,1451888,579209,294661,418018,70128,89872,33697,599226,221139,318323,7239,13925,38600,644885,204216,313912,11218,53804,61735,19008,3665,18,49,14,70,39,23633,5687,1282,25,017,1340,980,2085,5687,3632,4129,405566,28493,19439,139635,74378,143621,1043896,39450,44636,228467,143456,63971,268306,255610,-888888888,-888888888,1185792,78649,1491999,133447,319704,11020,981216,62664,191079,59763,1491023,1282882,189832,110347,79485,40671,38814,18309,1507558,1221651,1196072,870898,325174,25579,285907,285907,133704,152203,311486,25579,570,25009,285907,13020,272887,285907,62272,111862,17298,1464,84398,8613,1421700,1070090,351610,130461,77031,28762,166774,56595,86693,39120,21112,5984,1507558,53465,16102,3609,4825,11448,162510,76553,51150,106171,24869,6198,350168,240262,10541,9755,60047,46803,39986,11362,38313,1515,18975,25084,3397,6906,6116,22605
2012,Bristol County; Massachusetts,209532,139359,62327,99637,39970,9510,4398,30212,17959,70173,57801,22626,68240,54600,2.55,3.13,533976,209532,99581,168140,28970,27753,15226,215038,77198,107243,4225,6332,20040,234285,70246,105662,5597,24984,27796,6589,2636,34,48,10,92,25,10440,3139,692,25,005,832,354,1261,3139,1873,2178,136836,9742,6788,54669,30159,35478,374421,34232,35724,111790,66024,32145,62331,32175,-888888888,-888888888,426363,35363,542034,75910,121759,7436,345933,41466,74342,27008,542748,482013,59086,40313,18773,9583,9190,1649,548739,484057,473704,373896,99808,10353,64682,64682,41139,23543,75035,10353,237,10116,64682,951,63731,64682,38850,8264,5331,86,10830,1321,517687,410338,107349,41795,22588,9063,75508,28776,6788,3258,2465,698,548739,15853,6263,573,645,2273,66841,68222,27788,26365,3944,866,106688,51103,2597,2267,23788,163408,4210,2535,10657,212,17298,8115,428,693,1414,3278
2012,Hampden County; Massachusetts,177756,115997,53261,75325,29571,9072,4548,31600,19142,61759,51988,20944,59626,47450,2.52,3.12,448559,177756,75309,142212,28911,24371,12245,178094,70329,82263,4070,5979,15453,197579,65471,80266,6539,20305,24998,5664,2684,38,49,34,90,20,10585,3790,733,25,013,1015,668,1374,3790,2502,2676,125084,7257,6756,48514,28184,34373,305343,20183,29570,95905,57756,28170,45966,27793,-888888888,-888888888,354185,34026,457949,70230,109113,8063,285688,37578,63148,24589,459194,400863,54431,41036,13395,6106,7289,3900,464072,422999,383869,299023,84846,39130,41073,41073,21287,19786,80203,39130,1660,37470,41073,1196,39877,41073,16150,8851,2656,23,11710,1683,436411,330375,106036,44008,68447,26880,27921,12102,6715,4003,2953,1023,464072,12450,2805,904,550,2733,38264,59854,25115,27069,4037,959,79877,50827,1560,1100,49257,10963,7466,2646,8761,595,4224,4618,301,3810,1076,6285
2012,Essex County; Massachusetts,285144,189387,87572,137994,60286,13041,5648,38352,21638,95757,79957,32127,95609,76030,2.55,3.15,727672,285144,137940,225654,43647,35287,17823,286294,99413,150033,4998,8358,23492,318703,94326,147711,8508,31150,37008,9059,2944,30,50,15,93,29,14535,4449,1152,25,009,911,610,1776,4449,2681,3097,194219,14228,9710,76964,41911,51406,507496,27408,29693,134289,89435,41700,109985,74986,-888888888,-888888888,572677,44748,737370,83543,171593,6812,464030,42162,101747,34569,737039,646763,85840,60735,25105,12979,12126,4436,744961,634615,614458,494117,120341,20157,110346,110346,55993,54353,130503,20157,523,19634,110346,3800,106546,110346,21951,19448,5531,237,59704,3475,701438,534648,166790,70298,101150,47305,43619,13516,16034,7528,5987,1949,744961,29992,7838,1191,1610,4790,89206,59052,32701,43131,17105,2150,170238,129106,4726,4036,33355,18829,12122,5531,21504,414,5927,11264,1146,2674,2817,4949
2012,Franklin County; Massachusetts,30472,18564,7869,13695,4890,1427,892,3442,2087,11908,8868,3134,8597,7909,2.30,2.82,70042,30472,13634,17726,2450,5760,2802,29091,9629,14678,433,815,3536,31192,8521,14150,605,3098,4818,553,246,27,34,19,75,10,1084,272,86,25,011,67,16,103,272,172,208,16236,1065,758,6361,3658,4394,51643,1017,3239,14886,10535,4978,9579,7409,-888888888,-888888888,57444,6134,70707,10181,13982,988,46179,5549,10546,3644,70955,61323,9249,5284,3965,2495,1470,383,71489,68552,67750,49745,18005,802,2937,2937,1564,1373,3739,802,1,801,2937,129,2808,2937,1159,916,99,13,571,179,68127,64108,4019,1373,1338,379,2018,664,544,311,119,19,71489,2766,197,239,208,957,13558,11043,4849,8244,267,352,14263,6758,1017,587,9419,1017,975,813,2872,42,147,1627,104,505,709,55
2012,Worcester County; Massachusetts,299350,201432,95241,151603,67962,13387,6014,36442,21265,97918,79335,30090,102615,72331,2.58,3.14,772040,299350,151489,240831,39622,40748,19747,316002,112310,162190,4940,8393,28169,331566,95716,159756,6769,31359,37966,10033,3279,32,51,15,98,26,14258,4415,1126,25,027,860,717,1712,4415,2691,3243,216109,14665,9562,84847,45879,61156,535755,22317,36197,152078,95614,48608,111116,69825,-888888888,-888888888,611954,55594,786816,88181,186012,8455,503248,44891,97556,34835,789974,695601,89972,62743,27229,14950,12279,4401,799277,710357,687530,548145,139385,22827,88920,88920,43975,44945,111747,22827,517,22310,88920,3076,85844,88920,18903,25958,10637,333,27961,5128,752438,618583,133855,55691,55628,25200,47648,16643,19191,9628,11388,4220,799277,28938,8181,1272,1831,6673,87045,116233,52031,52926,10006,2428,175196,111103,12321,3952,52453,13142,9420,5079,19566,1392,10427,27066,1139,1948,2404,5517
2012,Hampshire County; Massachusetts,58932,34544,14327,26701,9990,1789,870,6054,3467,24388,18448,6539,15545,14980,2.29,2.88,134917,58932,26791,33294,4747,11153,3673,63628,27856,28062,816,1493,5401,74057,31173,28257,1124,5881,7622,1344,285,9,29,3,42,30,1711,518,75,25,015,121,204,118,518,314,413,57401,2239,1517,11786,6627,35232,97486,2074,4830,24159,16429,8628,20581,20785,-888888888,-888888888,132281,10339,157232,15597,26354,1387,111452,8122,19426,6088,157828,130811,24934,10035,14899,8695,6204,2083,158850,145949,142868,98615,44253,3081,12901,12901,5886,7015,15982,3081,188,2893,12901,784,12117,12901,3899,5712,724,35,1942,589,152803,137465,15338,4491,4673,1200,6376,1658,3683,1557,606,76,158850,4673,799,644,438,1558,21755,21502,9434,15843,1282,971,34611,14353,1778,809,22044,2127,3270,1436,4360,263,1004,2470,534,786,1082,816
2012,Barnstable County; Massachusetts,95520,59744,19773,47963,13776,2864,1113,8917,4884,35776,30656,14745,21130,37573,2.21,2.78,211153,95520,47989,51086,7262,9296,4969,87793,25328,50633,617,3062,8153,98390,21065,50704,1669,12143,12809,1768,534,26,43,2,92,24,2321,661,174,25,001,237,166,84,661,374,544,41581,2624,1884,16252,10231,10590,164127,2444,6039,40344,34170,15622,38583,26925,-888888888,-888888888,177957,22648,212996,25976,37061,1377,123104,10926,52831,13673,214471,195553,18307,9447,8860,3917,4943,611,216021,202027,200017,139796,60221,2010,13994,13994,7718,6276,16004,2010,0,2010,13994,227,13767,13994,5400,2190,458,38,4968,940,207025,190753,16272,4682,3092,601,11153,3356,1479,615,548,110,216021,27074,889,644,831,2211,37892,13422,5596,17622,2937,659,58382,26150,1707,1735,9081,9779,2724,1927,8486,334,1958,5970,433,750,1260,1032
