year,county_name,households_by_type_total_households,households_by_type_family_households_families,households_by_type_family_households_families_with,households_by_type_family_households_families_marr,households_by_type_family_households_families_marr,households_by_type_family_households_families_male,households_by_type_family_households_families_male,households_by_type_family_households_families_fema,households_by_type_family_households_families_fema,households_by_type_nonfamily_households,households_by_type_nonfamily_households_householde,households_by_type_nonfamily_households_householde,households_by_type_households_with_one_or_more_peo,households_by_type_households_with_one_or_more_peo,households_by_type_average_household_size,households_by_type_average_family_size,relationship_population_in_households,relationship_householder,relationship_spouse,relationship_child,relationship_other_relatives,relationship_nonrelatives,relationship_nonrelatives_unmarried_partner,marital_status_males_15_years_and_over,marital_status_never_married,marital_status_now_married_except_separated,marital_status_separated,marital_status_widowed,marital_status_divorced,marital_status_females_15_years_and_over,marital_status_never_married,marital_status_now_married_except_separated,marital_status_separated,marital_status_widowed,marital_status_divorced,fertility_number_of_women_15_to_50_years_old_who_h,fertility_unmarried_women_widowed_divorced_and_nev,fertility_unmarried_women_widowed_divorced_and_nev,fertility_per_1000_women_15_to_50_years_old,fertility_per_1000_women_15_to_50_years_old_per_10,fertility_per_1000_women_15_to_50_years_old_per_10,fertility_per_1000_women_15_to_50_years_old_per_10,grandparents_number_of_grandparents_living_with_ow,grandparents_responsible_for_grandchildren,grandparents_responsible_for_grandchildren_years_r,state_fips,county_fips,grandparents_responsible_for_grandchildren_years_r,grandparents_responsible_for_grandchildren_years_r,grandparents_responsible_for_grandchildren_years_r,grandparents_number_of_grandparents_responsible_fo,grandparents_who_are_female,grandparents_who_are_married,school_enrollment_population_3_years_and_over_enro,school_enrollment_nursery_school_preschool,school_enrollment_kindergarten,school_enrollment_elementary_school_grades_1_8,school_enrollment_high_school_grades_9_12,school_enrollment_college_or_graduate_school,educational_attainment_population_25_years_and_ove,educational_attainment_less_than_9th_grade,educational_attainment_9th_to_12th_grade_no_diplom,educational_attainment_high_school_graduate_includ,educational_attainment_some_college_no_degree,educational_attainment_associates_degree,educational_attainment_bachelors_degree,educational_attainment_graduate_or_professional_de,educational_attainment_percent_high_school_graduat,educational_attainment_percent_bachelors_degree_or,veteran_status_civilian_population_18_years_and_ov,veteran_status_civilian_veterans,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,residence_1_year_ago_population_1_year_and_over,residence_1_year_ago_same_house,residence_1_year_ago_different_house_in_the_u.s.,residence_1_year_ago_different_house_in_the_u.s._s,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_abroad,place_of_birth_total_population,place_of_birth_native,place_of_birth_native_born_in_united_states,place_of_birth_native_born_in_united_states_state_,place_of_birth_native_born_in_united_states_differ,place_of_birth_native_born_in_puerto_rico_u.s._isl,place_of_birth_foreign_born,u.s._citizenship_status_foreign_born_population,u.s._citizenship_status_naturalized_u.s._citizen,u.s._citizenship_status_not_a_u.s._citizen,year_of_entry_population_born_outside_the_united_s,year_of_entry_native,year_of_entry_entered_2010_or_later,year_of_entry_entered_before_2010,year_of_entry_foreign_born,year_of_entry_entered_2010_or_later,year_of_entry_entered_before_2010,world_region_of_birth_of_foreign_born_foreign_born,world_region_of_birth_of_foreign_born_europe,world_region_of_birth_of_foreign_born_asia,world_region_of_birth_of_foreign_born_africa,world_region_of_birth_of_foreign_born_oceania,world_region_of_birth_of_foreign_born_latin_americ,world_region_of_birth_of_foreign_born_northern_ame,language_spoken_at_home_population_5_years_and_ove,language_spoken_at_home_english_only,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,ancestry_total_population,ancestry_american,ancestry_arab,ancestry_czech,ancestry_danish,ancestry_dutch,ancestry_english,ancestry_french_except_basque,ancestry_french_canadian,ancestry_german,ancestry_greek,ancestry_hungarian,ancestry_irish,ancestry_italian,ancestry_lithuanian,ancestry_norwegian,ancestry_polish,ancestry_portuguese,ancestry_russian,ancestry_scotch_irish,ancestry_scottish,ancestry_slovak,ancestry_subsaharan_african,ancestry_swedish,ancestry_swiss,ancestry_ukrainian,ancestry_welsh,ancestry_west_indian_excluding_hispanic_origin_gro
2012,Bronx County; New York,473281,310803,167037,126677,61449,35203,15551,148923,90037,162478,141774,48856,190870,108059,2.84,3.56,1343608,473281,126353,502246,167249,74479,30352,495935,256429,169826,21006,11752,36922,587195,272729,157849,40632,50851,65134,22727,13139,50,59,34,98,28,43698,15547,2957,36,005,3518,2165,6907,15547,11649,8755,398434,22540,20040,163956,91940,99958,856624,133176,130822,233499,147600,57181,100173,54173,-888888888,-888888888,1016611,36544,1361525,184274,368136,18378,855841,106299,137548,59597,1366593,1199588,152584,101239,51345,37490,13855,14421,1386364,922341,808987,728147,80840,113354,464023,464023,205924,258099,577377,113354,2089,111265,464023,14838,449185,464023,31043,36179,45532,225,350491,553,1281697,553446,728251,324281,594250,267764,67727,29177,21203,11148,45071,16192,1386364,19378,5861,544,328,1615,6617,4288,482,15947,3717,2345,36112,53041,396,749,7336,1019,7872,485,1439,297,61730,629,284,1673,507,109928
2012,Onondaga County; New York,185036,113760,51205,81336,33001,7597,3768,24827,14436,71276,58351,21386,55881,47034,2.42,3.08,448277,185036,81370,134198,21042,26631,12331,180291,68597,86206,4401,5205,15882,199169,65758,86860,5565,19175,21811,6142,2439,36,53,22,98,23,6697,2962,705,36,067,840,507,910,2962,1946,1955,129591,6425,5727,47136,26222,44081,307743,9615,22860,82439,56252,35395,57308,43874,-888888888,-888888888,358987,31973,460883,52463,106482,4532,291648,27757,62753,20174,460893,388747,68410,47734,20676,11346,9330,3736,466179,432811,427160,357817,69343,5651,33368,33368,16571,16797,39019,5651,132,5519,33368,2117,31251,33368,9887,12600,2621,121,6364,1775,438951,394725,44226,16379,12612,4466,18084,6157,8957,4057,4573,1699,466179,17733,4110,1181,941,10516,55800,21765,8721,88503,2914,1802,106121,83395,1121,1694,32621,963,5698,3329,9287,979,3609,3723,1624,6634,4851,3563
2012,Clinton County; New York,31820,20105,8542,15156,5514,1415,967,3534,2061,11715,8760,3170,9457,7728,2.33,2.82,74129,31820,15039,19432,2171,5667,3124,35638,14011,16595,887,818,3327,33672,9899,15934,1106,3073,3660,682,291,26,34,5,63,18,935,471,143,36,019,127,64,137,471,278,368,20811,958,982,6862,4173,7836,55424,3209,5478,20249,9385,4829,6835,5439,-888888888,-888888888,66159,7449,77496,10707,15818,998,51236,5974,10442,3735,81415,68781,12140,6742,5398,4403,995,494,82054,77968,76867,63420,13447,1101,4086,4086,1729,2357,5187,1101,81,1020,4086,278,3808,4086,1177,841,183,11,705,1169,78004,73134,4870,1277,1279,399,2662,618,599,201,330,59,82054,9266,323,224,268,1159,8289,18953,5926,7234,202,285,13485,5623,303,339,3047,141,577,550,1677,102,194,538,193,381,341,455
2012,Seneca County; New York,13400,8725,3539,6512,2214,715,396,1498,929,4675,3691,1608,4027,3930,2.40,2.93,32176,13400,6425,8891,1520,1940,1168,15413,5467,7404,397,550,1595,13827,3174,6738,377,1651,1887,374,108,28,50,8,110,17,710,232,20,36,099,49,36,127,232,127,181,7516,354,258,3368,1744,1792,24581,1238,2784,8600,4572,2811,2805,1771,-888888888,-888888888,27762,2936,32594,4784,7460,442,19887,2399,5247,1943,34898,30009,4848,2061,2787,2191,596,41,35306,34667,34307,28336,5971,360,639,639,342,297,999,360,4,356,639,33,606,639,246,150,9,0,157,77,33356,31109,2247,576,821,181,1260,337,97,58,69,0,35306,2630,33,45,164,1747,5832,1419,244,7306,50,126,6527,6432,37,153,1109,7,174,218,859,64,65,358,347,171,194,131
2012,Putnam County; New York,35088,26712,12798,22199,10642,1319,434,3194,1722,8376,7145,2886,13454,8657,2.77,3.20,97175,35088,22253,32061,4555,3218,1358,40070,12309,23787,577,888,2509,40900,9353,24171,764,3272,3340,1192,98,10,50,0,93,41,1841,243,66,36,079,3,26,148,243,156,225,26132,1705,1169,10904,6630,5724,68798,1900,3104,18306,13094,5668,14751,11975,-888888888,-888888888,76240,4993,99107,8891,23314,802,63554,4526,12239,3563,98750,92340,6156,2540,3616,2689,927,254,99702,88183,87108,74906,12202,1075,11519,11519,6893,4626,12594,1075,34,1041,11519,130,11389,11519,4973,1642,253,105,4300,246,94832,78863,15969,4929,7603,2765,6602,1631,1382,471,382,62,99702,3871,514,592,207,1386,7375,2188,479,16282,1134,1324,26501,31053,327,636,5368,867,2589,612,1666,700,265,793,163,883,422,678
2012,Herkimer County; New York,26775,17531,7470,13195,4891,1190,624,3146,1955,9244,7839,3621,8082,7831,2.36,2.89,63156,26775,13136,17575,2340,3330,2356,25706,7882,13836,426,1031,2531,27286,6634,13497,714,3203,3238,791,308,40,54,29,118,14,972,465,102,36,043,185,58,120,465,289,360,15595,828,801,6444,3526,3996,44564,1519,3655,16110,8335,5948,5345,3652,-888888888,-888888888,50250,5676,63698,8631,14155,745,39089,4394,10454,3492,63758,56663,7025,4491,2534,2030,504,70,64475,62075,61615,55007,6608,460,2400,2400,1446,954,2860,460,8,452,2400,63,2337,2400,1492,334,59,0,384,131,60988,57089,3899,1197,959,276,2632,836,149,40,159,45,64475,3455,410,260,211,2422,8036,4130,1514,13759,54,245,14580,11455,217,176,5628,193,811,210,911,282,70,345,315,1086,2208,179
2012,Ontario County; New York,43822,28595,12362,22227,8625,2084,1191,4284,2546,15227,12220,4860,13223,11802,2.37,2.90,103891,43822,22328,28383,3511,5847,3116,42720,13117,23116,751,1486,4250,45590,11255,23471,877,4587,5400,1240,386,31,50,7,109,22,1469,484,94,36,069,61,95,234,484,324,340,27427,1562,1213,11270,5912,7470,73790,1886,4262,20674,14252,9647,13182,9887,-888888888,-888888888,83602,9166,106714,12892,24053,1319,66558,6285,16103,5288,106767,92194,14147,8234,5913,4593,1320,426,107728,103942,102769,86180,16589,1173,3786,3786,2344,1442,4959,1173,38,1135,3786,164,3622,3786,1434,930,14,19,1072,317,102106,95576,6530,2519,2957,1254,2583,677,877,580,113,8,107728,5740,355,417,1050,6126,20588,4644,1560,27981,365,520,22384,16128,290,649,5146,199,551,1151,2519,364,162,1287,450,732,1195,353
2012,Steuben County; New York,41268,26520,11457,20197,7548,2059,1209,4264,2700,14748,12069,4675,12758,11117,2.36,2.91,97325,41268,20163,27223,3170,5501,3575,39531,11494,20971,1298,1212,4556,40691,8686,21326,1483,4444,4752,1116,366,36,50,8,117,12,1491,782,219,36,101,161,90,312,782,408,583,23057,1178,1162,10430,6091,4196,68078,2898,5689,24520,12316,8960,7302,6393,-888888888,-888888888,75743,9818,97817,15160,23146,1380,59573,8141,15098,5639,97995,85421,12405,8617,3788,2588,1200,169,98992,96562,96009,78712,17297,553,2430,2430,1244,1186,2983,553,5,548,2430,88,2342,2430,872,1035,100,27,275,121,93174,88743,4431,1197,1218,308,2199,556,880,313,134,20,98992,11200,211,339,302,4438,15785,2740,638,22250,135,367,18488,8766,82,567,4556,218,494,1001,2401,105,78,1428,316,513,1066,134
2012,Hamilton County; New York,2134,1374,450,1181,337,69,32,124,81,760,618,344,465,794,2.22,2.71,4728,2134,1188,1020,143,243,125,2104,501,1254,32,84,233,2086,358,1241,40,219,228,23,8,21,26,0,38,28,19,15,0,36,041,2,0,13,15,8,13,825,58,30,388,241,108,3771,166,244,1308,678,429,504,442,-888888888,-888888888,4025,624,4822,647,807,40,2889,262,1126,345,4814,4546,268,118,150,93,57,0,4835,4736,4719,3935,784,17,99,99,56,43,116,17,0,17,99,0,99,99,72,15,0,0,9,3,4668,4509,159,61,56,14,85,38,7,2,11,7,4835,335,16,0,12,294,1011,570,123,1100,19,23,1056,400,10,82,355,15,45,67,146,22,0,110,18,18,59,15
2012,Chautauqua County; New York,54950,34342,14079,25466,8886,2212,1055,6664,4138,20608,16969,7073,15689,15705,2.33,2.91,128084,54950,25441,34953,5127,7613,4275,54070,18668,26992,1057,1611,5742,56694,15230,26547,1535,6498,6884,1553,636,38,50,33,97,17,2260,1090,320,36,013,162,116,492,1090,659,782,32934,1831,1349,13313,6982,9459,89975,3536,8215,31710,16984,11112,10247,8171,-888888888,-888888888,105224,12220,131857,19257,29264,2065,81356,9997,21237,7195,133200,114153,18702,12580,6122,3906,2216,345,134599,132019,129236,102414,26822,2783,2580,2580,1288,1292,5363,2783,110,2673,2580,120,2460,2580,847,711,65,28,698,231,127129,117519,9610,3231,5544,2055,3278,788,578,310,210,78,134599,4927,189,194,647,4219,20114,3048,741,32002,285,869,21061,20578,33,784,13793,33,777,1146,2225,266,115,16785,595,501,1090,241
