year,county_name,households_by_type_total_households,households_by_type_family_households_families,households_by_type_family_households_families_with,households_by_type_family_households_families_marr,households_by_type_family_households_families_marr,households_by_type_family_households_families_male,households_by_type_family_households_families_male,households_by_type_family_households_families_fema,households_by_type_family_households_families_fema,households_by_type_nonfamily_households,households_by_type_nonfamily_households_householde,households_by_type_nonfamily_households_householde,households_by_type_households_with_one_or_more_peo,households_by_type_households_with_one_or_more_peo,households_by_type_average_household_size,households_by_type_average_family_size,relationship_population_in_households,relationship_householder,relationship_spouse,relationship_child,relationship_other_relatives,relationship_nonrelatives,relationship_nonrelatives_unmarried_partner,marital_status_males_15_years_and_over,marital_status_never_married,marital_status_now_married_except_separated,marital_status_separated,marital_status_widowed,marital_status_divorced,marital_status_females_15_years_and_over,marital_status_never_married,marital_status_now_married_except_separated,marital_status_separated,marital_status_widowed,marital_status_divorced,fertility_number_of_women_15_to_50_years_old_who_h,fertility_unmarried_women_widowed_divorced_and_nev,fertility_unmarried_women_widowed_divorced_and_nev,fertility_per_1000_women_15_to_50_years_old,fertility_per_1000_women_15_to_50_years_old_per_10,fertility_per_1000_women_15_to_50_years_old_per_10,fertility_per_1000_women_15_to_50_years_old_per_10,grandparents_number_of_grandparents_living_with_ow,grandparents_responsible_for_grandchildren,grandparents_responsible_for_grandchildren_years_r,state_fips,county_fips,grandparents_responsible_for_grandchildren_years_r,grandparents_responsible_for_grandchildren_years_r,grandparents_responsible_for_grandchildren_years_r,grandparents_number_of_grandparents_responsible_fo,grandparents_who_are_female,grandparents_who_are_married,school_enrollment_population_3_years_and_over_enro,school_enrollment_nursery_school_preschool,school_enrollment_kindergarten,school_enrollment_elementary_school_grades_1_8,school_enrollment_high_school_grades_9_12,school_enrollment_college_or_graduate_school,educational_attainment_population_25_years_and_ove,educational_attainment_less_than_9th_grade,educational_attainment_9th_to_12th_grade_no_diplom,educational_attainment_high_school_graduate_includ,educational_attainment_some_college_no_degree,educational_attainment_associates_degree,educational_attainment_bachelors_degree,educational_attainment_graduate_or_professional_de,educational_attainment_percent_high_school_graduat,educational_attainment_percent_bachelors_degree_or,veteran_status_civilian_population_18_years_and_ov,veteran_status_civilian_veterans,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,residence_1_year_ago_population_1_year_and_over,residence_1_year_ago_same_house,residence_1_year_ago_different_house_in_the_u.s.,residence_1_year_ago_different_house_in_the_u.s._s,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_abroad,place_of_birth_total_population,place_of_birth_native,place_of_birth_native_born_in_united_states,place_of_birth_native_born_in_united_states_state_,place_of_birth_native_born_in_united_states_differ,place_of_birth_native_born_in_puerto_rico_u.s._isl,place_of_birth_foreign_born,u.s._citizenship_status_foreign_born_population,u.s._citizenship_status_naturalized_u.s._citizen,u.s._citizenship_status_not_a_u.s._citizen,year_of_entry_population_born_outside_the_united_s,year_of_entry_native,year_of_entry_entered_2010_or_later,year_of_entry_entered_before_2010,year_of_entry_foreign_born,year_of_entry_entered_2010_or_later,year_of_entry_entered_before_2010,world_region_of_birth_of_foreign_born_foreign_born,world_region_of_birth_of_foreign_born_europe,world_region_of_birth_of_foreign_born_asia,world_region_of_birth_of_foreign_born_africa,world_region_of_birth_of_foreign_born_oceania,world_region_of_birth_of_foreign_born_latin_americ,world_region_of_birth_of_foreign_born_northern_ame,language_spoken_at_home_population_5_years_and_ove,language_spoken_at_home_english_only,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,ancestry_total_population,ancestry_american,ancestry_arab,ancestry_czech,ancestry_danish,ancestry_dutch,ancestry_english,ancestry_french_except_basque,ancestry_french_canadian,ancestry_german,ancestry_greek,ancestry_hungarian,ancestry_irish,ancestry_italian,ancestry_lithuanian,ancestry_norwegian,ancestry_polish,ancestry_portuguese,ancestry_russian,ancestry_scotch_irish,ancestry_scottish,ancestry_slovak,ancestry_subsaharan_african,ancestry_swedish,ancestry_swiss,ancestry_ukrainian,ancestry_welsh,ancestry_west_indian_excluding_hispanic_origin_gro
2012,Dewey County; Oklahoma,1807,1257,453,1082,358,53,18,122,77,550,521,277,509,644,2.58,3.20,4666,1807,1068,1478,219,94,33,1892,464,1179,23,78,148,1890,266,1080,23,280,241,47,27,72,52,110,85,11,103,54,14,40,043,20,0,20,54,42,44,1152,93,64,591,299,105,3289,155,255,1377,673,155,531,143,-888888888,-888888888,3574,368,4666,856,1201,61,2569,424,896,371,4721,4231,490,194,296,259,37,0,4775,4711,4693,3486,1207,18,64,64,23,41,82,18,0,18,64,0,64,64,12,4,0,2,46,0,4503,4346,157,37,99,31,27,0,9,4,22,2,4775,288,6,11,23,75,745,130,19,1160,12,0,923,67,0,3,19,0,19,85,41,0,0,33,2,0,47,52
2012,Harper County; Oklahoma,1510,1058,412,871,287,84,38,103,87,452,409,229,451,484,2.40,2.90,3621,1510,875,1029,101,106,52,1401,316,835,24,52,174,1503,273,945,13,147,125,61,23,71,79,96,171,0,61,54,3,40,059,48,0,3,54,27,49,863,70,32,392,264,105,2507,145,215,1063,629,69,285,101,-888888888,-888888888,2747,257,3629,419,920,14,2046,138,663,267,3606,3220,362,156,206,139,67,24,3672,3226,3207,2163,1044,19,446,446,59,387,465,19,0,19,446,114,332,446,4,1,0,0,441,0,3389,2840,549,306,548,305,0,0,1,1,0,0,3672,420,0,10,0,120,254,125,0,493,0,0,307,9,0,15,0,0,29,52,26,0,0,8,14,0,6,0
2012,Logan County; Oklahoma,14682,10659,4557,8785,3620,478,224,1396,713,4023,3601,1253,5072,3730,2.73,3.27,40135,14682,8774,12942,2441,1296,461,16390,5109,9096,173,408,1604,17101,3874,9664,279,1469,1815,550,174,38,55,17,125,11,938,348,52,40,083,119,7,170,348,183,259,11566,708,708,4618,2596,2936,27368,920,2290,9027,7182,1678,4275,1996,-888888888,-888888888,31567,3715,41657,5429,10345,483,25893,3104,5419,1842,41568,35293,6170,2151,4019,3147,872,105,41982,41069,40670,26081,14589,399,913,913,413,500,1312,399,0,399,913,12,901,913,149,149,118,2,471,24,39284,37618,1666,576,1197,490,317,40,128,46,24,0,41982,4063,13,236,40,864,4211,1064,61,7734,0,46,5676,570,111,418,447,11,41,560,676,23,184,438,257,30,93,185
2012,Tulsa County; Oklahoma,240809,152829,72819,109924,47233,11140,5871,31765,19715,87980,74099,22852,80460,52794,2.46,3.10,593204,240809,109860,176626,34732,31177,12720,227893,73209,118793,3880,5736,26275,245994,63746,115395,5925,22491,38437,8556,3101,40,57,35,101,20,11945,5853,1309,40,143,1483,1125,1936,5853,3672,3691,159378,12118,9085,67158,32323,38694,390635,16303,28713,103376,95336,31779,78035,37093,-888888888,-888888888,448500,44958,597253,80866,153237,7471,373249,45873,70767,27522,594679,484156,108236,72735,35501,17366,18135,2287,602692,555559,550387,342637,207750,5172,47133,47133,15100,32033,52305,5172,131,5041,47133,1690,45443,47133,3036,11884,1844,312,28907,1150,558079,491079,67000,30849,46919,24138,7306,1703,9554,4461,3221,547,602692,49973,3371,2243,1511,10525,56725,15102,1543,89591,1271,1012,72453,12654,401,5430,6609,764,2667,7782,13608,233,3570,5890,1313,633,3775,2517
2012,Washington County; Oklahoma,21442,14133,6162,10661,3911,990,629,2482,1622,7309,6470,3026,6598,6565,2.35,2.90,50402,21442,10610,14075,2104,2171,1314,19404,4997,11062,197,656,2492,21795,4216,11137,538,2752,3152,649,186,33,57,27,127,5,697,442,80,40,147,37,80,245,442,267,336,11422,716,739,5365,2625,1977,34846,1057,2733,11911,7802,2491,6235,2617,-888888888,-888888888,39124,4868,50745,8911,11977,638,29878,4535,8890,3738,50421,41867,8380,4905,3475,1679,1796,174,51112,49429,49132,29636,19496,297,1683,1683,574,1109,1980,297,0,297,1683,227,1456,1683,149,574,12,0,904,44,47867,45209,2658,883,1834,663,426,82,315,115,83,23,51112,3595,23,149,74,1229,5673,1503,267,9456,124,198,7473,1104,10,246,736,63,115,866,1428,19,15,488,66,15,277,154
2012,Harmon County; Oklahoma,1107,783,361,569,239,61,33,153,89,324,281,127,397,330,2.48,2.96,2741,1107,583,779,172,100,62,1137,344,611,10,53,119,1186,212,641,27,182,124,48,27,99,75,0,151,37,46,33,8,40,057,0,4,21,33,18,23,599,37,42,262,170,88,1938,230,251,566,482,106,182,121,-888888888,-888888888,2170,236,2741,507,704,31,1573,314,464,162,2846,2393,453,260,193,87,106,0,2888,2830,2808,1739,1069,22,58,58,32,26,80,22,0,22,58,0,58,58,6,0,12,0,40,0,2664,2187,477,117,432,115,0,0,5,2,40,0,2888,255,26,39,0,38,332,34,8,215,3,0,250,7,0,5,3,0,0,29,22,0,0,4,9,0,18,34
2012,Haskell County; Oklahoma,4703,3162,1353,2546,990,177,108,439,255,1541,1354,705,1551,1621,2.69,3.30,12646,4703,2537,3565,1155,686,174,4987,1082,2848,106,137,814,5154,777,2802,101,759,715,216,48,44,79,91,127,36,316,179,42,40,061,14,31,92,179,103,163,2878,196,180,1377,711,414,8563,710,1348,2911,1666,821,827,280,-888888888,-888888888,9558,1120,12655,2620,3203,181,7212,1434,2240,1005,12543,10754,1755,1138,617,341,276,34,12761,12522,12497,8389,4108,25,239,239,39,200,264,25,0,25,239,6,233,239,7,36,0,0,192,4,11913,11581,332,190,245,167,2,0,50,23,35,0,12761,895,11,50,8,212,602,136,6,1054,0,0,1300,113,0,33,22,17,3,46,124,0,0,10,4,0,11,115
2012,Okmulgee County; Oklahoma,15229,10322,4280,7305,2472,791,478,2226,1330,4907,4329,1809,5125,4347,2.55,3.10,38772,15229,7259,11347,3072,1865,776,15671,4692,8135,268,620,1956,16078,3466,7535,522,2101,2454,493,238,54,57,74,101,12,1326,739,153,40,111,161,116,309,739,471,475,10256,664,651,4329,2279,2333,26216,1093,2901,9664,5987,2896,2615,1060,-888888888,-888888888,29981,3468,39247,8170,9780,776,23591,4614,5876,2780,39400,32965,6401,3973,2428,1695,733,34,39770,39508,39407,29429,9978,101,262,262,128,134,363,101,0,101,262,12,250,262,109,24,9,0,94,26,37203,36246,957,234,363,130,107,32,25,18,462,54,39770,7232,0,38,39,758,2366,1053,67,5026,57,12,4524,614,28,106,155,84,20,345,538,0,33,125,26,53,139,387
2012,Osage County; Oklahoma,18522,13090,5057,10187,3437,769,308,2134,1312,5432,4712,2116,5654,5535,2.48,3.01,46026,18522,10176,13551,2579,1198,809,19108,4827,10892,326,628,2435,19130,3450,10479,501,2026,2674,446,162,36,44,22,86,23,1047,621,212,40,113,102,156,151,621,352,507,11846,786,629,5623,2916,1892,32579,1165,2971,13114,7511,2467,3722,1629,-888888888,-888888888,36170,4395,46073,8094,11468,759,27130,3966,7475,3369,47241,41784,5349,1899,3450,2927,523,108,47650,47047,46862,33940,12922,185,603,603,236,367,788,185,0,185,603,86,517,603,77,98,48,9,357,14,44926,43408,1518,403,862,320,184,17,94,39,378,27,47650,2578,86,116,102,1031,4274,1213,26,6269,30,17,7801,645,29,458,488,48,130,564,664,9,177,490,23,0,205,231
2012,Jefferson County; Oklahoma,2492,1789,703,1328,418,164,111,297,174,703,634,293,793,852,2.50,2.95,6240,2492,1317,1739,431,261,93,2505,538,1499,44,103,321,2652,451,1387,122,392,300,92,35,60,69,0,187,0,157,66,8,40,067,42,9,7,66,38,59,1333,62,111,686,339,135,4418,229,631,2021,892,146,377,122,-888888888,-888888888,4901,465,6246,1083,1544,32,3553,608,1149,443,6370,5194,1176,483,693,464,229,0,6445,6268,6258,3918,2340,10,177,177,105,72,187,10,0,10,177,0,177,177,16,0,0,18,124,19,6021,5673,348,66,324,64,8,2,0,0,16,0,6445,1614,0,4,0,133,433,87,3,650,16,0,851,33,0,14,10,0,7,63,96,0,4,12,0,0,6,18
