year,county_name,households_by_type_total_households,households_by_type_family_households_families,households_by_type_family_households_families_with,households_by_type_family_households_families_marr,households_by_type_family_households_families_marr,households_by_type_family_households_families_male,households_by_type_family_households_families_male,households_by_type_family_households_families_fema,households_by_type_family_households_families_fema,households_by_type_nonfamily_households,households_by_type_nonfamily_households_householde,households_by_type_nonfamily_households_householde,households_by_type_households_with_one_or_more_peo,households_by_type_households_with_one_or_more_peo,households_by_type_average_household_size,households_by_type_average_family_size,relationship_population_in_households,relationship_householder,relationship_spouse,relationship_child,relationship_other_relatives,relationship_nonrelatives,relationship_nonrelatives_unmarried_partner,marital_status_males_15_years_and_over,marital_status_never_married,marital_status_now_married_except_separated,marital_status_separated,marital_status_widowed,marital_status_divorced,marital_status_females_15_years_and_over,marital_status_never_married,marital_status_now_married_except_separated,marital_status_separated,marital_status_widowed,marital_status_divorced,fertility_number_of_women_15_to_50_years_old_who_h,fertility_unmarried_women_widowed_divorced_and_nev,fertility_unmarried_women_widowed_divorced_and_nev,fertility_per_1000_women_15_to_50_years_old,fertility_per_1000_women_15_to_50_years_old_per_10,fertility_per_1000_women_15_to_50_years_old_per_10,fertility_per_1000_women_15_to_50_years_old_per_10,grandparents_number_of_grandparents_living_with_ow,grandparents_responsible_for_grandchildren,grandparents_responsible_for_grandchildren_years_r,state_fips,county_fips,grandparents_responsible_for_grandchildren_years_r,grandparents_responsible_for_grandchildren_years_r,grandparents_responsible_for_grandchildren_years_r,grandparents_number_of_grandparents_responsible_fo,grandparents_who_are_female,grandparents_who_are_married,school_enrollment_population_3_years_and_over_enro,school_enrollment_nursery_school_preschool,school_enrollment_kindergarten,school_enrollment_elementary_school_grades_1_8,school_enrollment_high_school_grades_9_12,school_enrollment_college_or_graduate_school,educational_attainment_population_25_years_and_ove,educational_attainment_less_than_9th_grade,educational_attainment_9th_to_12th_grade_no_diplom,educational_attainment_high_school_graduate_includ,educational_attainment_some_college_no_degree,educational_attainment_associates_degree,educational_attainment_bachelors_degree,educational_attainment_graduate_or_professional_de,educational_attainment_percent_high_school_graduat,educational_attainment_percent_bachelors_degree_or,veteran_status_civilian_population_18_years_and_ov,veteran_status_civilian_veterans,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,residence_1_year_ago_population_1_year_and_over,residence_1_year_ago_same_house,residence_1_year_ago_different_house_in_the_u.s.,residence_1_year_ago_different_house_in_the_u.s._s,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_abroad,place_of_birth_total_population,place_of_birth_native,place_of_birth_native_born_in_united_states,place_of_birth_native_born_in_united_states_state_,place_of_birth_native_born_in_united_states_differ,place_of_birth_native_born_in_puerto_rico_u.s._isl,place_of_birth_foreign_born,u.s._citizenship_status_foreign_born_population,u.s._citizenship_status_naturalized_u.s._citizen,u.s._citizenship_status_not_a_u.s._citizen,year_of_entry_population_born_outside_the_united_s,year_of_entry_native,year_of_entry_entered_2010_or_later,year_of_entry_entered_before_2010,year_of_entry_foreign_born,year_of_entry_entered_2010_or_later,year_of_entry_entered_before_2010,world_region_of_birth_of_foreign_born_foreign_born,world_region_of_birth_of_foreign_born_europe,world_region_of_birth_of_foreign_born_asia,world_region_of_birth_of_foreign_born_africa,world_region_of_birth_of_foreign_born_oceania,world_region_of_birth_of_foreign_born_latin_americ,world_region_of_birth_of_foreign_born_northern_ame,language_spoken_at_home_population_5_years_and_ove,language_spoken_at_home_english_only,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,ancestry_total_population,ancestry_american,ancestry_arab,ancestry_czech,ancestry_danish,ancestry_dutch,ancestry_english,ancestry_french_except_basque,ancestry_french_canadian,ancestry_german,ancestry_greek,ancestry_hungarian,ancestry_irish,ancestry_italian,ancestry_lithuanian,ancestry_norwegian,ancestry_polish,ancestry_portuguese,ancestry_russian,ancestry_scotch_irish,ancestry_scottish,ancestry_slovak,ancestry_subsaharan_african,ancestry_swedish,ancestry_swiss,ancestry_ukrainian,ancestry_welsh,ancestry_west_indian_excluding_hispanic_origin_gro
2012,Barron County; Wisconsin,19010,12731,4963,10186,3418,851,496,1694,1049,6279,5314,2458,5356,5745,2.38,2.88,45218,19010,10286,12288,1353,2281,1331,18547,4838,10763,302,396,2248,19016,3807,10560,176,2123,2350,534,156,35,55,20,119,16,545,265,74,55,005,74,35,82,265,169,206,10197,706,729,4287,2330,2145,32308,1537,2411,13082,6497,3609,3498,1674,-888888888,-888888888,35702,4112,45342,5705,10167,424,27157,2786,8018,2495,45398,39413,5959,3726,2233,1435,798,26,45882,45099,44893,33072,11821,206,783,783,350,433,989,206,0,206,783,4,779,783,194,192,105,0,265,27,43162,41340,1822,622,742,290,779,169,116,54,185,109,45882,2917,35,1829,536,703,3136,2248,772,19273,50,124,4553,1448,107,9642,2263,37,294,246,453,117,156,2567,618,32,159,15
2012,Sawyer County; Wisconsin,7720,5248,1828,3905,1016,384,233,959,579,2472,1990,844,2022,2517,2.10,2.47,16239,7720,3844,3512,366,797,653,6987,1814,4090,56,213,814,6782,1355,3800,132,692,803,179,102,61,58,15,149,13,232,146,6,55,113,19,50,71,146,84,99,3234,193,244,1441,800,556,12084,303,1033,4234,2813,1127,1659,915,-888888888,-888888888,13145,1676,16275,2379,3424,187,9526,1223,3325,969,16427,14627,1782,1020,762,536,226,18,16580,16347,16190,9656,6534,157,233,233,117,116,390,157,0,157,233,5,228,233,104,62,2,0,31,34,15597,14916,681,114,159,30,217,25,58,22,247,37,16580,547,0,255,193,262,1192,520,222,5466,65,90,1741,371,50,1777,1284,5,159,119,218,22,6,981,276,0,82,72
2012,Green Lake County; Wisconsin,7925,5263,1944,4334,1406,419,273,510,265,2662,2310,1040,2083,2529,2.37,2.93,18802,7925,4312,5198,650,717,481,7590,1946,4520,38,307,779,7869,1547,4453,55,1043,771,150,26,14,39,0,86,16,218,90,49,55,047,12,20,9,90,54,80,4111,209,177,2142,946,637,13477,611,1038,5740,2831,1156,1418,683,-888888888,-888888888,14698,1665,18845,2290,4346,155,10987,1078,3512,1057,18906,16892,1988,1089,899,800,99,26,19064,18692,18642,15200,3442,50,372,372,154,218,422,50,0,50,372,2,370,372,64,77,10,0,214,7,18009,16505,1504,536,726,254,701,234,64,48,13,0,19064,791,39,111,207,771,1304,520,123,10060,40,55,1775,472,3,784,2668,7,132,91,239,11,45,249,156,3,221,0
2012,Price County; Wisconsin,6890,4455,1522,3593,1058,405,163,457,301,2435,2123,944,1652,2098,2.02,2.46,13907,6890,3604,2695,212,506,373,6109,1426,3760,56,195,672,5919,974,3578,96,703,568,146,55,50,54,0,169,6,135,48,20,55,099,5,1,22,48,23,43,2631,137,138,1215,675,466,10689,261,865,4693,2238,996,1182,454,-888888888,-888888888,11472,1629,13924,1895,2669,59,8432,885,2823,951,14030,12572,1451,964,487,360,127,7,14141,14006,13946,10892,3054,60,135,135,49,86,195,60,0,60,135,3,132,135,50,59,1,0,14,11,13533,13242,291,99,96,49,133,15,50,33,12,2,14141,515,1,1074,138,306,845,483,130,6814,20,44,1200,220,37,1089,1200,0,147,52,199,174,1,1087,152,33,68,0
2012,Marquette County; Wisconsin,6598,4528,1447,3729,1018,331,155,468,274,2070,1736,914,1622,2295,2.30,2.73,15155,6598,3706,3607,511,733,413,6487,1412,3862,55,269,889,6369,988,3866,87,760,668,169,54,44,56,45,120,21,201,111,29,55,077,57,0,25,111,62,72,2904,175,161,1384,766,418,11320,460,1102,5034,2460,756,1049,459,-888888888,-888888888,12281,1630,15260,2568,3066,218,9039,1262,3155,1088,15248,13285,1927,888,1039,915,124,36,15366,15148,15078,11562,3516,70,218,218,95,123,288,70,0,70,218,1,217,218,90,37,0,0,78,13,14580,14041,539,134,244,67,255,63,30,4,10,0,15366,529,13,151,189,362,1392,544,142,7928,15,125,2299,480,12,1184,1618,7,61,142,281,9,3,300,162,10,70,2
2012,Marinette County; Wisconsin,18855,11736,4362,9654,3088,779,432,1303,842,7119,5973,2732,4794,5904,2.15,2.69,40530,18855,9607,9542,674,1852,1361,17265,4121,9957,207,654,2326,17622,3319,9804,156,2101,2242,488,147,35,56,13,133,13,452,273,76,55,075,76,39,82,273,156,189,9123,587,459,3778,2275,2024,30048,961,2249,12821,7151,2703,2871,1292,-888888888,-888888888,33261,4475,41050,5987,8443,421,24836,3016,7771,2550,41271,36947,4208,2668,1540,978,562,116,41704,41043,40897,27718,13179,146,661,661,360,301,807,146,7,139,661,29,632,661,377,146,2,6,90,40,39694,38386,1308,481,578,287,599,151,126,43,5,0,41704,1874,70,779,510,1003,2367,2913,2106,16951,148,160,4355,1695,124,1724,5642,5,228,218,534,80,14,2631,129,69,145,2
2012,Milwaukee County; Wisconsin,379711,218244,107469,134735,56148,18893,9913,64616,41408,161467,131941,39491,119026,81011,2.44,3.20,925289,379711,134510,286175,59850,65043,28596,356676,162337,144684,5395,9113,35147,392814,159601,143429,8204,35422,46158,14011,6359,40,57,34,89,27,17830,7864,1383,55,079,1978,1621,2882,7864,5811,4086,271228,9936,22416,101076,54102,83698,604095,31153,56152,175943,131280,42385,108296,58886,-888888888,-888888888,709778,54937,937356,116663,235906,12538,595521,64100,105929,40025,933210,760056,169066,134314,34752,19196,15556,4088,946584,863575,847265,646434,200831,16310,83009,83009,31633,51376,99319,16310,468,15842,83009,2733,80276,83009,14710,22417,4248,113,40591,930,877065,736394,140671,60667,87496,41126,26187,8615,20199,8761,6789,2165,946584,16961,4650,8771,4010,9959,35402,22967,4796,256234,4061,4834,84627,38174,1869,26390,109275,574,8947,2597,7039,3122,7603,13310,3611,1911,3317,2169
2012,Racine County; Wisconsin,75775,50148,22178,38305,14841,3020,1676,8823,5661,25627,21650,7591,24595,18283,2.50,3.10,189673,75775,38332,57576,9167,8823,4386,76238,25516,40451,753,1929,7589,78946,21376,39597,1132,6985,9856,2474,958,40,54,27,111,18,3696,1413,399,55,101,456,148,410,1413,943,930,50200,2593,3057,21562,11897,11091,130631,4910,10789,43825,30226,11054,19878,9949,-888888888,-888888888,146652,14600,190543,21342,48143,2167,117271,11113,25129,8062,192852,170717,21817,14236,7581,5680,1901,318,195024,185676,184539,142266,42273,1137,9348,9348,3786,5562,10485,1137,21,1116,9348,262,9086,9348,1387,1779,192,0,5854,136,182245,166181,16064,6366,11726,4922,2887,765,1126,596,325,83,195024,5139,273,3116,8174,3866,10802,6276,1583,69039,717,1615,19255,9353,1096,9536,17664,92,1146,651,2252,493,4168,3085,1035,349,785,343
2012,Dunn County; Wisconsin,16348,10440,4597,8449,3287,618,354,1373,956,5908,4245,1373,4985,3603,2.47,2.94,40448,16348,8464,10520,1295,3821,1148,18276,7636,8757,100,396,1387,18038,5920,8748,275,1350,1745,504,105,16,44,25,74,17,525,219,48,55,033,73,0,98,219,139,193,15012,658,518,4143,2040,7653,26051,859,1409,9298,5553,2655,4033,2244,-888888888,-888888888,34774,3115,43369,4282,8961,326,29222,2368,5186,1588,43284,33958,9177,4634,4543,3099,1444,149,43788,42922,42698,29938,12760,224,866,866,364,502,1090,224,0,224,866,108,758,866,125,460,36,7,195,43,41437,39641,1796,622,630,158,418,116,688,346,60,2,43788,1991,91,621,563,680,2644,1607,393,19916,157,93,5210,952,93,9215,1835,4,199,126,424,134,68,1610,457,66,187,11
2012,Forest County; Wisconsin,3853,2620,1011,1950,606,258,122,412,283,1233,1070,526,1132,1311,2.35,2.80,9038,3853,1961,2361,386,477,298,3922,1204,2052,24,142,500,3787,791,2033,61,443,459,119,41,42,63,0,120,45,180,96,33,55,041,6,2,55,96,66,44,2084,114,152,914,609,295,6487,236,639,2737,1579,513,510,273,-888888888,-888888888,7273,994,9170,1485,2085,130,5270,707,1815,648,9276,8392,874,552,322,253,69,10,9361,9308,9296,7869,1427,12,53,53,30,23,65,12,0,12,53,4,49,53,33,8,0,0,12,0,8858,8467,391,47,78,25,88,15,13,0,212,7,9361,291,0,150,62,237,578,409,295,3530,75,9,1345,124,20,256,1077,0,20,42,122,7,13,221,22,16,16,0
