year,county_name,households_by_type_total_households,households_by_type_family_households_families,households_by_type_family_households_families_with,households_by_type_family_households_families_marr,households_by_type_family_households_families_marr,households_by_type_family_households_families_male,households_by_type_family_households_families_male,households_by_type_family_households_families_fema,households_by_type_family_households_families_fema,households_by_type_nonfamily_households,households_by_type_nonfamily_households_householde,households_by_type_nonfamily_households_householde,households_by_type_households_with_one_or_more_peo,households_by_type_households_with_one_or_more_peo,households_by_type_average_household_size,households_by_type_average_family_size,relationship_population_in_households,relationship_householder,relationship_spouse,relationship_child,relationship_other_relatives,relationship_nonrelatives,relationship_nonrelatives_unmarried_partner,marital_status_males_15_years_and_over,marital_status_never_married,marital_status_now_married_except_separated,marital_status_separated,marital_status_widowed,marital_status_divorced,marital_status_females_15_years_and_over,marital_status_never_married,marital_status_now_married_except_separated,marital_status_separated,marital_status_widowed,marital_status_divorced,fertility_number_of_women_15_to_50_years_old_who_h,fertility_unmarried_women_widowed_divorced_and_nev,fertility_unmarried_women_widowed_divorced_and_nev,fertility_per_1000_women_15_to_50_years_old,fertility_per_1000_women_15_to_50_years_old_per_10,fertility_per_1000_women_15_to_50_years_old_per_10,fertility_per_1000_women_15_to_50_years_old_per_10,grandparents_number_of_grandparents_living_with_ow,grandparents_responsible_for_grandchildren,grandparents_responsible_for_grandchildren_years_r,state_fips,county_fips,grandparents_responsible_for_grandchildren_years_r,grandparents_responsible_for_grandchildren_years_r,grandparents_responsible_for_grandchildren_years_r,grandparents_number_of_grandparents_responsible_fo,grandparents_who_are_female,grandparents_who_are_married,school_enrollment_population_3_years_and_over_enro,school_enrollment_nursery_school_preschool,school_enrollment_kindergarten,school_enrollment_elementary_school_grades_1_8,school_enrollment_high_school_grades_9_12,school_enrollment_college_or_graduate_school,educational_attainment_population_25_years_and_ove,educational_attainment_less_than_9th_grade,educational_attainment_9th_to_12th_grade_no_diplom,educational_attainment_high_school_graduate_includ,educational_attainment_some_college_no_degree,educational_attainment_associates_degree,educational_attainment_bachelors_degree,educational_attainment_graduate_or_professional_de,educational_attainment_percent_high_school_graduat,educational_attainment_percent_bachelors_degree_or,veteran_status_civilian_population_18_years_and_ov,veteran_status_civilian_veterans,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,disability_status_of_the_civilian_noninstitutional,residence_1_year_ago_population_1_year_and_over,residence_1_year_ago_same_house,residence_1_year_ago_different_house_in_the_u.s.,residence_1_year_ago_different_house_in_the_u.s._s,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_different_house_in_the_u.s._d,residence_1_year_ago_abroad,place_of_birth_total_population,place_of_birth_native,place_of_birth_native_born_in_united_states,place_of_birth_native_born_in_united_states_state_,place_of_birth_native_born_in_united_states_differ,place_of_birth_native_born_in_puerto_rico_u.s._isl,place_of_birth_foreign_born,u.s._citizenship_status_foreign_born_population,u.s._citizenship_status_naturalized_u.s._citizen,u.s._citizenship_status_not_a_u.s._citizen,year_of_entry_population_born_outside_the_united_s,year_of_entry_native,year_of_entry_entered_2010_or_later,year_of_entry_entered_before_2010,year_of_entry_foreign_born,year_of_entry_entered_2010_or_later,year_of_entry_entered_before_2010,world_region_of_birth_of_foreign_born_foreign_born,world_region_of_birth_of_foreign_born_europe,world_region_of_birth_of_foreign_born_asia,world_region_of_birth_of_foreign_born_africa,world_region_of_birth_of_foreign_born_oceania,world_region_of_birth_of_foreign_born_latin_americ,world_region_of_birth_of_foreign_born_northern_ame,language_spoken_at_home_population_5_years_and_ove,language_spoken_at_home_english_only,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,language_spoken_at_home_language_other_than_englis,ancestry_total_population,ancestry_american,ancestry_arab,ancestry_czech,ancestry_danish,ancestry_dutch,ancestry_english,ancestry_french_except_basque,ancestry_french_canadian,ancestry_german,ancestry_greek,ancestry_hungarian,ancestry_irish,ancestry_italian,ancestry_lithuanian,ancestry_norwegian,ancestry_polish,ancestry_portuguese,ancestry_russian,ancestry_scotch_irish,ancestry_scottish,ancestry_slovak,ancestry_subsaharan_african,ancestry_swedish,ancestry_swiss,ancestry_ukrainian,ancestry_welsh,ancestry_west_indian_excluding_hispanic_origin_gro
2012,Lincoln County; Wyoming,6346,4922,2073,4292,1679,275,204,355,190,1424,1272,543,2261,1536,2.82,3.24,17873,6346,4236,6011,801,479,288,7061,1662,4655,47,157,540,6682,1087,4302,39,630,624,250,31,22,66,7,115,45,417,246,39,56,023,14,11,182,246,128,216,4475,273,367,2071,1181,583,11722,184,636,3867,3192,1122,1951,770,-888888888,-888888888,12821,1204,17855,1960,5114,228,10540,1073,2201,659,17744,15476,2239,1107,1132,334,798,29,17960,17574,17336,7544,9792,238,386,386,177,209,624,238,42,196,386,5,381,386,36,33,8,13,255,41,16580,15851,729,208,549,187,77,14,72,7,31,0,17960,3231,23,105,790,329,4314,335,62,3357,62,16,1611,989,70,428,476,12,34,241,571,10,5,715,550,61,270,0
2012,Johnson County; Wyoming,3754,2461,829,2217,672,168,112,76,45,1293,1165,400,912,1081,2.25,2.78,8448,3754,2180,2016,175,323,249,3627,826,2392,39,64,306,3413,499,2096,50,324,444,165,18,26,97,0,264,0,102,41,0,56,019,26,0,15,41,13,26,1853,176,78,638,486,475,6184,78,277,2030,1559,556,1130,554,-888888888,-888888888,6698,861,8467,1200,1866,75,5040,685,1561,440,8407,7540,856,436,420,291,129,11,8564,8373,8333,3836,4497,40,191,191,55,136,231,40,0,40,191,1,190,191,32,36,62,3,44,14,8008,7762,246,132,103,57,75,43,14,0,54,32,8564,652,10,63,182,207,1355,251,136,2507,14,18,1738,247,0,318,127,0,107,159,121,0,0,230,112,0,31,1
2012,Laramie County; Wyoming,36736,24123,10244,18510,6669,1690,1104,3923,2471,12613,10538,3557,11331,8239,2.46,2.99,90222,36736,18497,25653,3928,5408,2428,36312,10461,19904,512,898,4537,36747,7966,19262,716,3278,5525,1175,402,39,54,31,103,15,1764,897,259,56,021,166,184,288,897,473,763,23955,1391,1124,9883,5050,6507,60322,1197,3210,17110,17219,7017,9518,5051,-888888888,-888888888,66876,11818,88433,10988,22154,882,55068,6022,11211,4084,90484,73692,16134,10571,5563,1161,4402,658,91719,89096,87759,35862,51897,1337,2623,2623,1463,1160,3960,1337,69,1268,2623,73,2550,2623,717,629,42,13,1140,82,85158,78759,6399,1369,4407,920,1236,222,685,224,71,3,91719,4594,114,847,808,1747,12079,2881,419,24535,288,482,14554,3300,20,2922,1996,476,785,1725,2998,42,95,2530,338,122,728,17
2012,Converse County; Wyoming,5608,3775,1695,3099,1232,230,157,446,306,1833,1628,609,1914,1295,2.44,2.97,13700,5608,3109,3793,526,664,221,5502,1330,3345,59,115,653,5412,928,3181,121,434,748,210,85,67,69,10,119,44,403,282,81,56,009,11,124,66,282,116,273,3248,328,109,1496,714,601,9326,249,536,3765,2393,856,1120,407,-888888888,-888888888,10318,1271,13709,1599,3458,88,8467,769,1784,742,13619,11314,2305,1352,953,479,474,0,13779,13561,13532,5841,7691,29,218,218,80,138,247,29,0,29,218,8,210,218,35,58,0,0,118,7,12818,12352,466,186,330,122,111,45,21,18,4,1,13779,927,0,61,153,332,2487,870,60,5094,0,16,2427,200,0,349,236,122,110,145,296,0,0,535,19,20,204,20
2012,Teton County; Wyoming,7327,4398,2016,3852,1635,178,131,368,250,2929,2103,464,2079,1265,2.84,3.46,20795,7327,3756,5471,1574,2667,707,9346,4215,4190,1,168,772,8483,2767,4185,287,497,747,188,42,15,35,0,58,19,220,184,30,56,039,38,0,116,184,138,38,4159,325,193,1893,992,756,15712,332,285,3731,3009,657,5412,2286,-888888888,-888888888,17037,1090,21261,1378,4280,158,14928,712,2053,508,21150,18539,2557,1870,687,24,663,54,21326,19147,18745,4951,13794,402,2179,2179,149,2030,2581,402,72,330,2179,353,1826,2179,270,13,0,25,1788,83,20082,16736,3346,1689,3023,1662,251,27,8,0,64,0,21326,3498,72,97,264,519,3081,895,56,4678,42,97,2309,597,0,540,411,34,161,455,721,55,0,736,322,55,216,19
2012,Sweetwater County; Wyoming,16535,11714,5794,9496,4256,779,562,1439,976,4821,3782,1049,6348,2643,2.61,3.09,43208,16535,9463,13282,1680,2248,1263,17668,4949,10060,232,227,2200,16086,2814,9669,362,1173,2068,944,123,31,90,46,162,24,906,501,35,56,037,149,38,279,501,261,362,11419,843,617,5086,2329,2544,27584,942,1738,9931,7420,2862,3418,1273,-888888888,-888888888,32023,3916,43629,4928,11852,495,28222,2962,3555,1471,42996,34578,8270,4646,3624,588,3036,148,43890,41307,41001,19037,21964,306,2583,2583,545,2038,2889,306,14,292,2583,29,2554,2583,118,135,2,3,2281,44,40222,36408,3814,1757,3371,1642,237,32,166,83,40,0,43890,2267,12,216,950,1076,8333,1547,176,9229,196,70,6181,2710,47,1061,1073,41,313,702,2263,70,20,1265,251,54,548,3
2012,Platte County; Wyoming,3662,2328,908,1911,601,102,80,315,227,1334,1259,662,986,1308,2.34,2.96,8575,3662,1869,2363,333,348,239,3669,923,2041,88,187,430,3555,550,1985,48,494,478,57,30,42,36,0,80,18,150,112,7,56,031,0,44,61,112,73,94,1742,114,125,690,466,347,6349,230,404,2137,1726,637,776,439,-888888888,-888888888,6876,1020,8556,1251,1773,66,5025,501,1758,684,8594,7373,1219,526,693,369,324,2,8677,8577,8571,4067,4504,6,100,100,72,28,106,6,0,6,100,2,98,100,25,0,0,0,72,3,8197,7848,349,119,288,93,59,24,0,0,2,2,8677,436,0,318,57,346,1683,272,11,3378,12,60,1451,228,0,299,151,29,118,243,309,0,0,309,25,0,31,0
2012,Sheridan County; Wyoming,12446,7842,3142,6538,2342,479,296,825,504,4604,3893,1381,3332,3205,2.26,2.86,28164,12446,6566,7173,846,1133,564,11672,3020,6782,136,279,1455,12166,2542,6789,95,1135,1605,400,78,26,61,59,130,9,266,159,0,56,033,141,0,18,159,99,130,6717,472,236,2683,1491,1835,20354,311,889,6179,5876,1948,3516,1635,-888888888,-888888888,22625,3192,28640,3670,6280,228,17955,2001,4405,1441,28680,24251,4413,2197,2216,1133,1083,16,29097,28342,28147,12167,15980,195,755,755,455,300,950,195,0,195,755,10,745,755,83,206,40,15,327,84,27294,26157,1137,305,810,138,253,137,41,25,33,5,29097,2616,16,296,453,703,3346,1000,127,8375,85,108,4669,900,66,1299,1473,20,113,650,833,30,40,1251,157,37,353,8
2012,Big Horn County; Wyoming,4587,3197,1357,2770,1085,161,112,266,160,1390,1232,578,1478,1441,2.50,3.04,11470,4587,2790,3412,308,373,191,4641,1015,3016,45,156,409,4566,796,2757,60,511,442,145,5,6,63,0,164,12,147,69,24,56,003,36,0,9,69,17,57,2865,238,143,1346,771,367,7797,307,631,2408,2321,663,989,478,-888888888,-888888888,8637,1152,11486,1807,2979,119,6510,893,1997,795,11521,9866,1621,727,894,298,596,34,11636,11284,11206,5949,5257,78,352,352,112,240,430,78,0,78,352,0,352,352,35,17,0,2,285,13,10872,10119,753,296,678,289,47,0,27,6,1,1,11636,791,0,26,409,364,2478,418,57,3088,3,7,1285,238,8,305,159,0,109,207,842,9,6,266,117,20,226,0
2012,Crook County; Wyoming,2946,2023,752,1714,551,55,27,254,174,923,831,224,791,806,2.36,2.90,6957,2946,1728,1916,193,174,131,2917,688,1776,34,33,386,2805,460,1751,19,304,271,87,20,31,61,0,159,10,93,47,9,56,011,17,0,21,47,30,34,1544,102,73,685,474,210,4912,92,232,1948,1191,428,677,344,-888888888,-888888888,5403,593,6959,1218,1617,51,4194,620,1148,547,6933,6300,632,261,371,188,183,1,7036,7014,6998,2370,4628,16,22,22,0,22,38,16,0,16,22,0,22,22,0,6,0,0,0,16,6565,6409,156,18,110,14,33,1,6,3,7,0,7036,362,0,41,108,199,1072,277,84,2639,0,5,1020,178,0,425,111,0,55,119,135,0,0,274,56,6,29,0
