year,county,state,number_sex_and_age_total_population,number_sex_and_age_total_population_male,number_sex_and_age_total_population_female,number_sex_and_age_total_population_under_5_years,number_sex_and_age_total_population_5_to_9_years,number_sex_and_age_total_population_10_to_14_years,number_sex_and_age_total_population_15_to_19_years,number_sex_and_age_total_population_20_to_24_years,number_sex_and_age_total_population_25_to_34_years,number_sex_and_age_total_population_35_to_44_years,number_sex_and_age_total_population_45_to_54_years,number_sex_and_age_total_population_55_to_59_years,number_sex_and_age_total_population_60_to_64_years,number_sex_and_age_total_population_65_to_74_years,number_sex_and_age_total_population_75_to_84_years,number_sex_and_age_total_population_85_years_and_o,number_sex_and_age_total_population_median_age_yea,number_sex_and_age_total_population_18_years_and_o,number_sex_and_age_total_population_21_years_and_o,number_sex_and_age_total_population_62_years_and_o,number_sex_and_age_total_population_65_years_and_o,number_sex_and_age_total_population_18_years_and_o.1,number_sex_and_age_total_population_18_years_and_o.2,number_sex_and_age_total_population_18_years_and_o.3,number_sex_and_age_total_population_65_years_and_o.1,number_sex_and_age_total_population_65_years_and_o.2,number_sex_and_age_total_population_65_years_and_o.3,number_race_total_population,number_race_total_population_one_race,number_race_total_population_two_or_more_races,number_race_one_race,number_race_one_race_white,number_race_one_race_black_or_african_american,number_race_one_race_american_indian_and_alaska_na,number_race_one_race_american_indian_and_alaska_na.1,number_race_one_race_american_indian_and_alaska_na.2,number_race_one_race_american_indian_and_alaska_na.3,number_race_one_race_american_indian_and_alaska_na.4,number_race_one_race_asian,number_race_one_race_asian_asian_indian,number_race_one_race_asian_chinese,number_race_one_race_asian_filipino,number_race_one_race_asian_japanese,number_race_one_race_asian_korean,number_race_one_race_asian_vietnamese,state_fips,county_fips,number_race_one_race_asian_other_asian,number_race_one_race_native_hawaiian_and_other_pac,number_race_one_race_native_hawaiian_and_other_pac.1,number_race_one_race_native_hawaiian_and_other_pac.2,number_race_one_race_native_hawaiian_and_other_pac.3,number_race_one_race_native_hawaiian_and_other_pac.4,number_race_one_race_some_other_race,number_race_two_or_more_races,number_race_two_or_more_races_white_and_black_or_a,number_race_two_or_more_races_white_and_american_i,number_race_two_or_more_races_white_and_asian,number_race_two_or_more_races_black_or_african_ame,number_race_alone_or_in_combination_with_one_or_mo,number_race_alone_or_in_combination_with_one_or_mo.1,number_race_alone_or_in_combination_with_one_or_mo.2,number_race_alone_or_in_combination_with_one_or_mo.3,number_race_alone_or_in_combination_with_one_or_mo.4,number_race_alone_or_in_combination_with_one_or_mo.5,number_race_alone_or_in_combination_with_one_or_mo.6,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio.1,number_hispanic_or_latino_and_race_total_populatio.2,number_hispanic_or_latino_and_race_total_populatio.3,number_hispanic_or_latino_and_race_total_populatio.4,number_hispanic_or_latino_and_race_total_populatio.5,number_hispanic_or_latino_and_race_total_populatio.6,number_hispanic_or_latino_and_race_total_populatio.7,number_hispanic_or_latino_and_race_total_populatio.8,number_hispanic_or_latino_and_race_total_populatio.9,number_hispanic_or_latino_and_race_total_populatio.10,number_hispanic_or_latino_and_race_total_populatio.11,number_hispanic_or_latino_and_race_total_populatio.12,number_hispanic_or_latino_and_race_total_populatio.13,number_hispanic_or_latino_and_race_total_populatio.14,number_hispanic_or_latino_and_race_total_populatio.15,number_total_housing_units
2009,Autauga County,Alabama,49584,24057,25527,3402,3574,4395,3996,2748,5917,7901,7158,2624,2408,3423,1564,474,36.0,35648,33584,6847,5461,35648,17001,18647,5461,2356,3105,49584,48907,677,48907,39215,8854,193,106,0,0,0,309,46,3,72,18,131,0,1,1,39,0,0,0,0,0,336,677,74,293,144,22,49584,39844,8992,537,479,46,392,49584,1012,573,142,22,275,48572,38636,8827,183,309,0,56,561,0,561,19882
2009,Baldwin County,Alabama,171997,84263,87734,10731,10609,11671,11012,9389,19516,23215,25333,11176,10672,15914,9767,2992,41.0,131900,126047,34868,28673,131900,63691,68209,28673,13112,15561,171997,170157,1840,170157,148799,17028,981,98,154,0,0,980,126,323,249,31,43,86,1,3,122,3,0,0,0,3,2366,1840,248,674,259,179,171997,150271,17803,1948,1416,14,2557,171997,4989,2797,238,320,1634,167008,146381,16851,968,980,3,128,1697,72,1625,99645
2009,Barbour County,Alabama,29663,15687,13976,1852,1645,2007,2157,2211,3934,4333,4039,2005,1546,2054,1332,548,37.5,22863,21652,4764,3934,22863,12154,10709,3934,1561,2373,29663,29423,240,29423,15244,13742,135,11,0,0,0,27,0,0,0,0,27,0,1,5,0,5,5,0,0,0,270,240,53,35,10,100,29663,15357,13922,270,49,10,295,29663,1262,1180,19,0,63,28401,14251,13724,135,27,5,27,232,20,212,12956
2009,Bibb County,Alabama,21464,11164,10300,1286,1406,1502,1321,1460,2590,3608,3133,1233,1166,1570,1064,125,38.6,16336,15724,3461,2759,16336,8464,7872,2759,1177,1582,21464,21397,67,21397,16372,4953,21,8,0,0,0,51,18,0,0,25,0,0,1,7,8,0,0,0,0,0,0,67,0,26,0,41,21464,16398,4994,88,51,0,0,21464,190,184,6,0,0,21274,16182,4953,21,51,0,0,67,0,67,8706
2009,Blount County,Alabama,56804,28216,28588,3740,3517,4292,3615,3168,7130,8456,8088,3450,3386,4635,2716,611,38.2,42877,40580,10021,7962,42877,20990,21887,7962,3458,4504,56804,56072,732,56072,53846,547,438,319,0,0,18,247,183,0,42,0,22,0,1,9,0,19,0,19,0,0,975,732,270,433,29,0,56804,54578,817,871,276,19,975,56804,4134,3808,28,0,298,52670,50787,473,404,247,0,27,732,0,732,21935
2009,Bullock County,Alabama,10917,6165,4752,789,476,900,908,729,1280,1733,1707,630,517,613,317,318,37.4,8260,7718,1449,1248,8260,4603,3657,1248,481,767,10917,10903,14,10903,2668,8193,13,0,0,0,0,29,29,0,0,0,0,0,1,11,0,0,0,0,0,0,0,14,0,0,0,14,10917,2668,8207,27,29,0,0,10917,252,252,0,0,0,10665,2427,8182,13,29,0,0,14,0,14,4850
2009,Butler County,Alabama,20189,9517,10672,1387,1384,1328,1399,1313,2280,2384,2964,1328,1163,1589,1252,418,39.2,15176,14472,3908,3259,15176,6886,8290,3259,1263,1996,20189,20002,187,20002,11525,8328,31,0,0,0,0,118,0,69,0,0,0,0,1,13,49,0,0,0,0,0,0,187,53,126,0,0,20189,11712,8381,157,118,8,0,20189,74,0,0,0,74,20115,11451,8328,31,118,0,0,187,0,187,10393
2009,Calhoun County,Alabama,112969,53981,58988,7504,7712,6757,7484,7601,15158,14545,16306,7530,5873,8822,5778,1899,38.1,86534,81893,19745,16499,86534,40552,45982,16499,6590,9909,112969,111648,1321,111648,86819,22155,600,332,8,0,0,899,232,158,166,127,147,0,1,15,69,74,0,56,0,18,1101,1321,529,320,170,71,112969,87975,22890,1077,1196,76,1164,112969,2725,1612,332,144,637,110244,85467,21946,600,850,74,51,1256,0,1256,53553
2009,Chambers County,Alabama,34704,16425,18279,2193,2416,2118,2167,1909,4367,4540,4987,2378,2002,2877,2105,645,39.6,26572,25438,6803,5627,26572,12371,14201,5627,2187,3440,34704,34077,627,34077,20951,12947,57,48,0,0,0,84,0,63,8,1,0,6,1,17,6,0,0,0,0,0,38,627,252,298,10,4,34704,21552,13203,359,94,31,92,34704,462,314,116,0,32,34242,20758,12947,57,84,0,3,393,11,382,16846
2009,Cherokee County,Alabama,24427,11996,12431,1231,1319,1615,1389,1117,2825,3232,3754,2146,1527,2520,1219,533,43.5,19336,18594,5093,4272,19336,9321,10015,4272,1873,2399,24427,24267,160,24267,22520,1373,140,63,0,0,0,43,0,0,11,32,0,0,1,19,0,39,39,0,0,0,152,160,47,62,0,0,24427,22680,1420,202,43,39,203,24427,293,142,30,0,121,24134,22441,1373,140,32,39,0,109,0,109,14690
