year,county,state,sex_and_age_total_population,sex_and_age_male,sex_and_age_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over.1,sex_and_age_male.1,sex_and_age_female.1,sex_and_age_65_years_and_over.1,sex_and_age_male.2,sex_and_age_female.2,race_total_population,race_one_race,race_two_or_more_races,race_one_race.1,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch.1,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is.1,race_one_race_native_hawaiian_and_other_pacific_is.2,race_one_race_native_hawaiian_and_other_pacific_is.3,race_one_race_native_hawaiian_and_other_pacific_is.4,race_one_race_some_other_race,race_two_or_more_races.1,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_white,race_black_or_african_american,race_american_indian_and_alaska_native,race_asian,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_.1,hispanic_or_latino_and_race_hispanic_or_latino_of_.2,hispanic_or_latino_and_race_hispanic_or_latino_of_.3,hispanic_or_latino_and_race_hispanic_or_latino_of_.4,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino.1,hispanic_or_latino_and_race_not_hispanic_or_latino.2,hispanic_or_latino_and_race_not_hispanic_or_latino.3,hispanic_or_latino_and_race_not_hispanic_or_latino.4,hispanic_or_latino_and_race_not_hispanic_or_latino.5,hispanic_or_latino_and_race_not_hispanic_or_latino.6,hispanic_or_latino_and_race_not_hispanic_or_latino.7,hispanic_or_latino_and_race_not_hispanic_or_latino.8,hispanic_or_latino_and_race_not_hispanic_or_latino.9,total_housing_units
2010,Autauga County,Alabama,53155,25780,27375,3520,3955,4322,4556,2918,6370,8269,7720,2760,2705,3755,1724,581,36.2,38430,36078,7615,6060,38430,18301,20129,6060,2566,3494,53155,52379,776,52379,42031,9508,168,31,0,37,0,348,63,3,101,21,157,0,1,1,3,0,0,0,0,0,324,776,114,296,213,17,53155,42758,9676,507,589,34,389,53155,1233,555,301,26,351,51922,41223,9473,154,348,0,58,666,4,662,21530
2010,Baldwin County,Alabama,175791,85902,89889,10892,11380,11616,11265,9078,19930,23424,26262,11604,11350,16629,9525,2836,41.0,134817,128789,35372,28990,134817,65094,69723,28990,13443,15547,175791,173395,2396,173395,151453,16613,1090,182,167,0,0,1149,100,373,259,72,81,90,1,3,174,6,0,0,0,6,3084,2396,317,957,351,206,175791,153434,17528,2394,1704,16,3329,175791,6848,4209,211,491,1937,168943,147801,16488,1066,1149,6,225,2208,78,2130,101093
2010,Barbour County,Alabama,27699,14652,13047,1737,1537,1827,1912,1807,3748,3840,4020,1873,1592,2084,1235,487,38.0,21469,20418,4633,3806,21469,11466,10003,3806,1607,2199,27699,27332,367,27332,13759,12911,87,10,0,0,0,46,0,0,0,0,24,0,1,5,22,3,3,0,0,0,526,367,79,63,9,103,27699,13972,13124,291,92,8,588,27699,1273,1127,50,0,96,26426,13077,12871,87,46,3,24,318,19,299,12011
2010,Bibb County,Alabama,22610,12162,10448,1384,1493,1436,1574,1641,2754,3604,3276,1285,1351,1628,1033,151,38.3,17312,16385,3541,2812,17312,9209,8103,2812,1184,1628,22610,22564,46,22564,19038,3450,40,14,0,0,0,36,12,0,0,17,0,0,1,7,7,0,0,0,0,0,0,46,0,16,0,30,22610,19054,3480,86,36,0,0,22610,134,128,6,0,0,22476,18904,3450,40,36,0,0,46,0,46,8885
2010,Blount County,Alabama,56692,28080,28612,3611,3698,4309,3893,3096,6932,8080,8067,3327,3625,4791,2600,663,38.3,42644,40409,10289,8054,42644,20762,21882,8054,3503,4551,56692,56087,605,56087,53938,716,255,173,0,0,8,246,178,0,37,0,31,0,1,9,0,9,0,9,0,0,923,605,221,351,9,0,56692,54543,937,606,255,9,947,56692,4246,3788,57,0,401,52446,50737,655,218,246,0,9,581,0,581,23482
2010,Bullock County,Alabama,10923,5848,5075,644,579,758,952,689,1313,1433,1748,869,610,733,368,227,38.7,8427,7872,1586,1328,8427,4500,3927,1328,483,845,10923,10834,89,10834,2589,8110,24,0,0,0,0,47,47,0,0,0,0,0,1,11,0,64,0,0,64,0,0,89,0,0,0,12,10923,2650,8199,97,47,80,0,10923,180,180,0,0,0,10743,2418,8101,24,47,64,0,89,0,89,4548
2010,Butler County,Alabama,20895,9810,11085,1345,1440,1380,1385,1306,2449,2439,3059,1490,1180,1752,1271,399,39.7,15808,15163,4102,3422,15808,7156,8652,3422,1339,2083,20895,20666,229,20666,11493,8969,28,0,0,0,0,176,0,91,0,0,11,39,1,13,35,0,0,0,0,0,0,229,73,104,0,0,20895,11676,9088,132,176,6,46,20895,58,12,0,0,46,20837,11435,8969,28,176,0,0,229,46,183,10015
2010,Calhoun County,Alabama,117149,56312,60837,7266,7923,7134,8362,8742,14841,15094,16949,8126,6215,9088,5651,1758,38.1,90174,84381,19871,16497,90174,42528,47646,16497,6735,9762,117149,115603,1546,115603,88451,23928,513,331,7,0,0,815,214,143,111,114,171,0,1,15,62,85,7,59,0,19,1811,1546,622,436,172,86,117149,89807,24744,1083,1155,137,1870,117149,3555,2353,369,193,640,113594,86996,23686,513,777,85,41,1496,0,1496,53094
2010,Chambers County,Alabama,34579,16408,18171,2085,2235,2310,2292,1920,4038,4481,5040,2287,2260,3003,1912,716,40.1,26469,25245,6898,5631,26469,12342,14127,5631,2241,3390,34579,34171,408,34171,20425,13527,17,17,0,0,0,145,0,96,13,3,16,7,1,17,10,0,0,0,0,0,57,408,94,207,29,18,34579,20793,13639,242,174,22,117,34579,524,377,81,0,66,34055,20138,13527,17,145,0,3,225,9,216,16794
2010,Cherokee County,Alabama,25700,12804,12896,1337,1269,1813,1580,1147,2743,3329,4046,2399,1533,2856,1185,463,43.9,20363,19563,5402,4504,20363,9963,10400,4504,2039,2465,25700,25464,236,25464,23842,1202,198,80,0,0,0,69,0,0,26,19,0,0,1,19,24,32,32,0,0,0,121,236,41,93,42,26,25700,24052,1269,317,111,32,155,25700,321,170,51,35,65,25379,23676,1202,198,69,32,0,202,0,202,15932
2010,Chilton County,Alabama,43121,21298,21823,2969,2994,3022,2948,2634,5596,6115,5993,2914,2208,3361,1791,576,37.2,32208,30630,6875,5728,32208,15731,16477,5728,2525,3203,43121,42529,592,42529,37736,4052,242,41,0,0,19,85,15,5,0,9,18,29,1,21,9,0,0,0,0,0,414,592,350,128,61,0,43121,38304,4444,388,146,0,449,43121,2806,2681,41,0,84,40315,35475,3962,152,80,0,54,592,35,557,19124
2010,Choctaw County,Alabama,14111,6859,7252,802,983,866,997,670,1248,1970,2146,906,1061,1389,789,284,43.2,10850,10288,3083,2462,10850,5107,5743,2462,1051,1411,14111,13936,175,13936,7823,6064,0,0,0,0,0,39,0,26,0,0,13,0,1,23,0,0,0,0,0,0,10,175,0,123,0,0,14111,7966,6096,123,39,0,62,14111,52,16,0,0,36,14059,7812,6060,0,39,0,0,148,25,123,7418
2010,Clarke County,Alabama,26255,12375,13880,1548,1768,2099,2537,1464,2344,3801,3488,1644,1552,2285,1190,535,38.9,19508,17879,4942,4010,19508,9074,10434,4010,1700,2310,26255,26062,193,26062,14451,10990,483,23,0,0,0,108,10,0,21,0,77,0,1,25,0,0,0,0,0,0,30,193,36,85,0,66,26255,14572,11098,634,114,0,30,26255,238,165,6,0,67,26017,14243,10966,483,108,0,24,193,0,193,12699
2010,Clay County,Alabama,14040,6873,7167,773,917,959,750,813,1548,2058,1918,1079,711,1234,762,518,41.3,10915,10531,2936,2514,10915,5295,5620,2514,1121,1393,14040,13846,194,13846,11562,2160,59,8,0,37,0,0,0,0,0,0,0,0,1,27,0,0,0,0,0,0,65,194,83,111,0,0,14040,11756,2243,170,0,0,65,14040,360,209,46,105,0,13680,11280,2160,59,0,0,0,181,0,181,6794
2010,Cleburne County,Alabama,14823,7397,7426,925,1009,938,1040,781,1681,2063,2132,929,993,1383,711,238,40.1,11268,10777,2896,2332,11268,5557,5711,2332,1035,1297,14823,14646,177,14646,13983,606,32,21,0,0,0,2,0,0,2,0,0,0,1,29,0,0,0,0,0,0,23,177,61,98,8,0,14823,14160,667,130,10,0,33,14823,214,194,20,0,0,14609,13780,606,32,2,0,12,177,10,167,6669
2010,Coffee County,Alabama,48349,23740,24609,3243,3064,3345,3196,3075,6260,6745,6616,3297,2476,3922,2200,910,37.9,36666,35000,8372,7032,36666,17831,18835,7032,2974,4058,48349,47148,1201,47148,37460,8377,417,87,0,5,0,536,69,93,51,7,279,8,1,31,29,44,20,24,0,0,314,1201,202,571,188,21,48349,38563,8632,1040,843,127,419,48349,2712,1473,488,12,739,45637,35316,8325,348,473,0,80,1095,28,1067,21958
2010,Colbert County,Alabama,54446,26172,28274,3063,3596,3240,3758,2803,6080,7335,8320,3750,3219,5069,3090,1123,41.6,42307,40215,11073,9282,42307,19869,22438,9282,3866,5416,54446,53822,624,53822,44325,8745,337,122,0,0,0,262,66,70,47,18,0,31,1,33,30,0,0,0,0,0,153,624,189,208,0,63,54446,44841,9042,608,273,0,306,54446,1081,518,91,57,415,53365,43572,8707,337,262,0,16,471,0,471,25666
2010,Conecuh County,Alabama,13382,6815,6567,819,789,936,1200,721,1256,1403,2057,1019,861,1256,759,306,43.4,10180,9528,2906,2321,10180,4820,5360,2321,1016,1305,13382,13283,99,13283,6972,6189,122,0,118,0,0,0,0,0,0,0,0,0,1,35,0,0,0,0,0,0,0,99,0,99,0,0,13382,7071,6189,221,0,0,0,13382,42,36,6,0,0,13340,6930,6189,122,0,0,0,99,0,99,7130
