year,county,state,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_total_population_sex_ratio_males_per_1,sex_and_age_total_population_under_5_years,sex_and_age_total_population_5_to_9_years,sex_and_age_total_population_10_to_14_years,sex_and_age_total_population_15_to_19_years,sex_and_age_total_population_20_to_24_years,sex_and_age_total_population_25_to_34_years,sex_and_age_total_population_35_to_44_years,sex_and_age_total_population_45_to_54_years,sex_and_age_total_population_55_to_59_years,sex_and_age_total_population_60_to_64_years,sex_and_age_total_population_65_to_74_years,sex_and_age_total_population_75_to_84_years,sex_and_age_total_population_85_years_and_over,sex_and_age_total_population_median_age_years,sex_and_age_total_population_under_18_years,sex_and_age_total_population_16_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_21_years_and_over,sex_and_age_total_population_62_years_and_over,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_18_years_and_over.1,sex_and_age_total_population_18_years_and_over_mal,sex_and_age_total_population_18_years_and_over_fem,sex_and_age_total_population_18_years_and_over_sex,sex_and_age_total_population_65_years_and_over.1,sex_and_age_total_population_65_years_and_over_mal,sex_and_age_total_population_65_years_and_over_fem,sex_and_age_total_population_65_years_and_over_sex,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_total_population_one_race.1,race_total_population_one_race_white,race_total_population_one_race_black_or_african_am,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and.1,race_total_population_one_race_american_indian_and.2,race_total_population_one_race_american_indian_and.3,race_total_population_one_race_american_indian_and.4,race_total_population_one_race_asian,race_total_population_one_race_asian_asian_indian,state_fips,county_fips,race_total_population_one_race_asian_chinese,race_total_population_one_race_asian_filipino,race_total_population_one_race_asian_japanese,race_total_population_one_race_asian_korean,race_total_population_one_race_asian_vietnamese,race_total_population_one_race_asian_other_asian,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and.1,race_total_population_one_race_native_hawaiian_and.2,race_total_population_one_race_native_hawaiian_and.3,race_total_population_one_race_native_hawaiian_and.4,race_total_population_one_race_some_other_race,race_total_population_two_or_more_races.1,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_.1,race_total_population_two_or_more_races_white_and_.2,race_total_population_two_or_more_races_white_and_.3,race_total_population_two_or_more_races_black_or_a,race_total_population_two_or_more_races_black_or_a.1,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe.1,race_alone_or_in_combination_with_one_or_more_othe.2,race_alone_or_in_combination_with_one_or_more_othe.3,race_alone_or_in_combination_with_one_or_more_othe.4,race_alone_or_in_combination_with_one_or_more_othe.5,race_alone_or_in_combination_with_one_or_more_othe.6,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa.1,hispanic_or_latino_and_race_total_population_hispa.2,hispanic_or_latino_and_race_total_population_hispa.3,hispanic_or_latino_and_race_total_population_hispa.4,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h.1,hispanic_or_latino_and_race_total_population_not_h.2,hispanic_or_latino_and_race_total_population_not_h.3,hispanic_or_latino_and_race_total_population_not_h.4,hispanic_or_latino_and_race_total_population_not_h.5,hispanic_or_latino_and_race_total_population_not_h.6,hispanic_or_latino_and_race_total_population_not_h.7,hispanic_or_latino_and_race_total_population_not_h.8,hispanic_or_latino_and_race_total_population_not_h.9,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_.1,citizen_voting_age_population_citizen_18_and_over_.2
2022,Autauga County,Alabama,58761,28663,30098,95.2,3370,3314,4376,3924,3589,7416,7933,7881,4280,3502,5301,2973,902,39.0,13766,47146,44995,43332,11133,9176,44995,21711,23284,93.2,9176,4023,5153,78.1,58761,56281,2480,56281,43747,11496,59,10,0,0,7,658,73,1,1,129,177,46,233,0,0,0,0,0,0,0,321,2480,578,392,260,824,39,62,58761,45906,12478,495,1165,0,1302,58761,1864,832,509,168,355,56897,42635,11496,59,636,0,141,1930,363,1567,24457,44357,21341,23016
2022,Baldwin County,Alabama,233420,114077,119343,95.6,12104,12165,16137,14320,11672,25738,28170,29977,15824,17814,29682,15151,4666,43.7,49396,189569,184024,176205,60392,49499,184024,88794,95230,93.2,49499,22897,26602,86.1,233420,222782,10638,222782,195998,19445,848,158,0,0,9,2046,436,1,3,379,206,283,226,163,353,31,18,13,0,0,4414,10638,1475,2589,1308,3527,58,342,233420,206045,21883,3740,3757,791,8525,233420,11210,5950,967,518,3775,222210,192161,19318,512,2046,22,992,7159,961,6198,125113,180460,86975,93485
2022,Barbour County,Alabama,24877,12973,11904,109.0,1299,1616,1338,1455,1494,3368,3101,3056,1558,1666,2870,1582,474,40.6,5151,20399,19726,18691,5988,4926,19726,10437,9289,112.4,4926,2123,2803,75.7,24877,24268,609,24268,11309,11668,74,5,0,0,0,126,34,1,5,12,11,21,14,20,14,3,0,3,0,0,1088,609,71,113,17,175,126,13,24877,11772,11954,370,169,33,1283,24877,1202,975,33,0,194,23675,11084,11662,63,126,3,290,447,46,401,11673,19305,10237,9068
2022,Bibb County,Alabama,22251,11897,10354,114.9,1157,1438,1302,1308,1121,3297,3022,2942,1460,1470,2205,1199,330,40.3,4715,18046,17536,16882,4562,3734,17536,9437,8099,116.5,3734,1668,2066,80.7,22251,21673,578,21673,16872,4603,21,15,0,0,0,69,45,1,7,0,0,0,24,0,0,0,0,0,0,0,108,578,60,267,115,87,0,22,22251,17414,4699,301,198,0,230,22251,650,163,157,19,311,21601,16520,4598,15,69,0,17,382,33,349,9046,17419,9388,8031
2022,Blount County,Alabama,59077,29864,29213,102.2,3410,3525,4135,3705,3485,7014,7131,7741,4135,4005,6295,3486,1010,40.8,13564,47261,45513,43634,13238,10791,45513,22682,22831,99.3,10791,4838,5953,81.3,59077,56973,2104,56973,53941,729,227,52,0,0,0,100,63,1,9,6,13,0,18,0,0,117,48,69,0,0,1859,2104,250,570,56,874,54,0,59077,55825,1117,944,294,374,2747,59077,5721,5058,55,56,552,53356,50614,729,75,100,117,87,1634,481,1153,24677,43701,21603,22098
2022,Bullock County,Alabama,10328,5542,4786,115.8,562,602,751,892,365,1383,1263,1425,637,734,1049,418,247,39.2,2175,8376,8153,7521,2159,1714,8153,4503,3650,123.4,1714,746,968,-666666666.0,10328,10125,203,10125,2397,7117,0,0,0,0,0,43,0,1,11,0,0,0,0,0,43,0,0,0,0,0,568,203,20,6,0,137,0,0,10328,2560,7177,6,83,0,705,10328,907,525,0,0,382,9421,2125,7117,0,43,0,0,136,70,66,4541,7877,4310,3567
2022,Butler County,Alabama,18981,8928,10053,88.8,1054,1080,1363,1060,1158,2122,2394,2170,1188,1371,2296,1305,420,41.6,4234,15203,14747,13998,4879,4021,14747,6695,8052,83.1,4021,1648,2373,69.4,18981,18608,373,18608,9777,8462,69,4,0,0,0,243,177,1,13,0,14,0,52,0,0,0,0,0,0,0,57,373,84,59,56,134,12,4,18981,10118,8570,164,299,0,211,18981,322,264,9,0,49,18659,9655,8462,69,243,0,8,222,8,214,9835,14609,6594,8015
2022,Calhoun County,Alabama,116162,56185,59977,93.7,6503,6467,7156,8811,8294,14795,13837,13965,7742,7798,12550,6772,1472,39.2,24599,94627,91563,85268,25337,20794,91563,43660,47903,91.1,20794,8792,12002,73.3,116162,112390,3772,112390,83306,25631,258,5,0,0,0,765,65,1,15,76,98,50,254,66,156,207,183,24,0,0,2223,3772,964,843,495,846,39,134,116162,86677,26921,1330,1598,353,3341,116162,4736,3164,752,108,712,111426,81851,25204,174,708,207,427,2855,206,2649,53167,90157,42902,47255
2022,Chambers County,Alabama,34612,16485,18127,90.9,2086,1611,2296,1784,2129,4333,3928,4538,2836,2241,3992,2239,599,42.2,7191,28036,27421,26495,8010,6830,27421,12958,14463,89.6,6830,2918,3912,74.6,34612,34080,532,34080,19642,14114,21,0,0,0,0,60,0,1,17,0,0,2,40,0,18,3,0,0,0,3,240,532,125,168,48,85,29,0,34612,20106,14335,266,137,3,335,34612,1129,490,179,77,383,33483,18794,14107,10,60,3,63,446,9,437,16427,27182,12803,14379
2022,Cherokee County,Alabama,25069,12261,12808,95.7,1151,1082,1634,1339,1340,2609,2702,3364,1956,2065,3478,1751,598,46.8,4726,20956,20343,19691,6908,5827,20343,9956,10387,95.9,5827,2670,3157,84.6,25069,24245,824,24245,22884,1008,120,5,0,0,0,27,0,1,19,0,6,0,0,21,0,0,0,0,0,0,206,824,341,320,3,135,0,0,25069,23693,1349,465,30,13,353,25069,479,399,6,0,74,24590,22749,1000,113,21,0,16,691,107,584,14687,20008,9772,10236
