year,county,state,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_total_population_sex_ratio_males_per_1,sex_and_age_total_population_under_5_years,sex_and_age_total_population_5_to_9_years,sex_and_age_total_population_10_to_14_years,sex_and_age_total_population_15_to_19_years,sex_and_age_total_population_20_to_24_years,sex_and_age_total_population_25_to_34_years,sex_and_age_total_population_35_to_44_years,sex_and_age_total_population_45_to_54_years,sex_and_age_total_population_55_to_59_years,sex_and_age_total_population_60_to_64_years,sex_and_age_total_population_65_to_74_years,sex_and_age_total_population_75_to_84_years,sex_and_age_total_population_85_years_and_over,sex_and_age_total_population_median_age_years,sex_and_age_total_population_under_18_years,sex_and_age_total_population_16_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_21_years_and_over,sex_and_age_total_population_62_years_and_over,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_18_years_and_over.1,sex_and_age_total_population_18_years_and_over_mal,sex_and_age_total_population_18_years_and_over_fem,sex_and_age_total_population_18_years_and_over_sex,sex_and_age_total_population_65_years_and_over.1,sex_and_age_total_population_65_years_and_over_mal,sex_and_age_total_population_65_years_and_over_fem,sex_and_age_total_population_65_years_and_over_sex,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_total_population_one_race.1,race_total_population_one_race_white,race_total_population_one_race_black_or_african_am,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and.1,race_total_population_one_race_american_indian_and.2,race_total_population_one_race_american_indian_and.3,race_total_population_one_race_american_indian_and.4,race_total_population_one_race_american_indian_and.5,race_total_population_one_race_american_indian_and.6,state_fips,county_fips,race_total_population_one_race_american_indian_and.7,race_total_population_one_race_asian,race_total_population_one_race_asian_asian_indian,race_total_population_one_race_asian_chinese,race_total_population_one_race_asian_filipino,race_total_population_one_race_asian_japanese,race_total_population_one_race_asian_korean,race_total_population_one_race_asian_vietnamese,race_total_population_one_race_asian_other_asian,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and.1,race_total_population_one_race_native_hawaiian_and.2,race_total_population_one_race_native_hawaiian_and.3,race_total_population_one_race_native_hawaiian_and.4,race_total_population_one_race_some_other_race,race_total_population_two_or_more_races.1,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_.1,race_total_population_two_or_more_races_white_and_.2,race_total_population_two_or_more_races_white_and_.3,race_total_population_two_or_more_races_black_or_a,race_total_population_two_or_more_races_black_or_a.1,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe.1,race_alone_or_in_combination_with_one_or_more_othe.2,race_alone_or_in_combination_with_one_or_more_othe.3,race_alone_or_in_combination_with_one_or_more_othe.4,race_alone_or_in_combination_with_one_or_more_othe.5,race_alone_or_in_combination_with_one_or_more_othe.6,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa.1,hispanic_or_latino_and_race_total_population_hispa.2,hispanic_or_latino_and_race_total_population_hispa.3,hispanic_or_latino_and_race_total_population_hispa.4,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h.1,hispanic_or_latino_and_race_total_population_not_h.2,hispanic_or_latino_and_race_total_population_not_h.3,hispanic_or_latino_and_race_total_population_not_h.4,hispanic_or_latino_and_race_total_population_not_h.5,hispanic_or_latino_and_race_total_population_not_h.6,hispanic_or_latino_and_race_total_population_not_h.7,hispanic_or_latino_and_race_total_population_not_h.8,hispanic_or_latino_and_race_total_population_not_h.9,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_.1,citizen_voting_age_population_citizen_18_and_over_.2
2023,Autauga County,Alabama,59285,28669,30616,93.6,3430,3411,4338,3922,3417,7605,7902,7904,4364,3518,5459,3218,797,39.2,13926,47508,45359,43847,11491,9474,45359,21673,23686,91.5,9474,4136,5338,77.5,59285,56563,2722,56563,43616,11829,42,0,0,0,0,0,0,1,1,42,616,104,161,236,50,50,0,15,0,0,0,0,0,460,2722,585,410,317,1102,4,75,59285,46172,12687,466,1104,12,1708,59285,2188,1042,595,264,287,57097,42497,11829,42,599,0,218,1912,397,1515,24731,44761,21386,23375
2023,Baldwin County,Alabama,239945,117316,122629,95.7,12448,13152,16079,14603,11675,26412,29266,30466,15646,18872,30909,15607,4810,43.7,51128,195048,188817,181431,62873,51326,188817,90876,97941,92.8,51326,23808,27518,86.5,239945,226661,13284,226661,198721,19144,980,206,0,80,0,7,0,1,3,687,2272,326,488,305,194,175,157,627,104,15,26,63,0,5440,13284,2062,2502,1237,5572,80,399,239945,211303,22320,3768,4058,969,11596,239945,13393,7144,932,882,4435,226552,195347,19051,608,2259,78,961,8248,1594,6654,128518,184665,88784,95881
2023,Barbour County,Alabama,24757,12906,11851,108.9,1380,1684,1201,1425,1439,3400,3109,2949,1603,1686,2828,1660,393,40.7,5181,20253,19576,18706,5871,4881,19576,10442,9134,114.3,4881,2120,2761,76.8,24757,24026,731,24026,10891,11616,46,0,0,0,0,0,0,1,5,46,136,23,47,7,10,44,5,0,0,0,0,0,0,1337,731,125,151,10,349,20,13,24757,11573,11812,234,173,40,1715,24757,1490,1004,15,38,433,23267,10807,11611,34,136,0,298,381,58,323,11702,19201,10230,8971
2023,Bibb County,Alabama,22152,11824,10328,114.5,1069,1387,1221,1348,1196,3111,3059,2991,1661,1353,2175,1355,226,41.3,4458,18176,17694,16957,4498,3756,17694,9482,8212,115.5,3756,1647,2109,78.1,22152,21527,625,21527,16634,4587,175,20,0,0,0,0,0,1,7,155,51,28,0,0,0,23,0,0,0,0,0,0,0,80,625,93,210,105,167,0,13,22152,17239,4693,422,156,0,297,22152,744,352,134,0,258,21408,16333,4585,24,51,0,20,395,44,351,9090,17469,9352,8117
2023,Blount County,Alabama,59292,29934,29358,102.0,3397,3601,4159,3810,3334,7023,7118,7676,3972,4183,6501,3549,969,40.9,13738,47389,45554,43584,13557,11019,45554,22687,22867,99.2,11019,4939,6080,81.2,59292,56238,3054,56238,53062,747,235,7,0,25,0,0,0,1,9,203,51,18,6,27,0,0,0,0,88,0,81,7,0,2055,3054,329,584,79,1645,51,0,59292,55852,1225,985,310,408,3717,59292,5962,5427,43,130,362,53330,50374,747,60,51,88,134,1876,575,1301,24793,43866,21697,22169
2023,Bullock County,Alabama,10157,5554,4603,120.7,552,664,662,689,212,1681,1059,1446,705,670,1101,529,187,40.4,2105,8254,8052,7590,2237,1817,8052,4445,3607,123.2,1817,799,1018,-666666666.0,10157,9936,221,9936,2327,7234,0,0,0,0,0,0,0,1,11,0,47,0,0,0,0,0,0,47,0,0,0,0,0,328,221,18,10,0,132,0,0,10157,2487,7313,10,108,0,460,10157,577,328,0,0,249,9580,2143,7234,0,47,0,0,156,67,89,4554,7847,4292,3555
2023,Butler County,Alabama,18807,8656,10151,85.3,1066,1034,1362,1060,1121,2095,2256,2304,1166,1317,2337,1347,342,42.2,4219,15120,14588,13930,4835,4026,14588,6637,7951,83.5,4026,1679,2347,71.5,18807,18429,378,18429,9622,8411,69,0,0,0,0,0,0,1,13,69,249,190,0,17,0,42,0,0,0,0,0,0,0,78,378,121,66,43,133,5,2,18807,9993,8547,148,292,0,213,18807,300,243,6,0,51,18507,9531,8411,69,249,0,8,239,5,234,9841,14452,6543,7909
2023,Calhoun County,Alabama,116141,56151,59990,93.6,6504,6330,7411,8905,8364,14638,13983,13912,7629,7526,12821,6367,1751,39.0,24829,94387,91312,85003,25307,20939,91312,43410,47902,90.6,20939,8940,11999,74.5,116141,111826,4315,111826,82465,25515,302,131,34,0,0,0,0,1,15,137,925,91,79,165,42,250,92,206,198,161,37,0,0,2421,4315,1299,840,309,1062,43,185,116141,86322,27268,1498,1612,345,3850,116141,5150,3511,753,116,770,110991,81098,25029,188,858,198,444,3176,310,2866,53271,89916,42639,47277
2023,Chambers County,Alabama,34450,16080,18370,87.5,1985,1838,2141,1814,2188,4431,3755,4385,2540,2489,4037,2203,644,41.5,7141,27797,27309,26393,8246,6884,27309,12742,14567,87.5,6884,2898,3986,72.7,34450,33722,728,33722,19089,13697,16,0,0,8,0,0,0,1,17,8,201,0,7,0,6,156,0,32,3,0,0,0,3,716,728,117,181,163,182,28,0,34450,19768,13889,271,375,3,908,34450,1270,586,68,64,552,33180,18575,13684,8,201,3,93,616,80,536,16427,26764,12398,14366
2023,Cherokee County,Alabama,25224,12423,12801,97.0,1178,1098,1584,1342,1245,2734,2705,3335,1987,2013,3650,1874,479,47.4,4747,21189,20477,19850,7175,6003,20477,10084,10393,97.0,6003,2880,3123,92.2,25224,24272,952,24272,23017,948,103,8,4,0,0,0,0,1,19,91,39,0,0,6,0,0,27,6,0,0,0,0,0,165,952,428,329,6,170,0,0,25224,23958,1376,451,45,8,346,25224,437,343,6,0,88,24787,22884,942,95,33,0,17,816,117,699,14663,20158,9926,10232
